filename,h2b_id,predicted_class_id,predicted_class_name,probability,maximum_radius,first_x_position,first_y_position
20220217_h2b halo_Cell9_2_immediately_after_irradiation_crop.trxyt,4_cluster0,0,Immobile,1.0,0.40071609699812816,0.82050401,11.146117
20220217_h2b halo_Cell9_2_immediately_after_irradiation_crop.trxyt,20_cluster0,0,Immobile,0.9999974,0.43896214361747066,0.81694479,11.165225
20220217_h2b halo_Cell9_2_immediately_after_irradiation_crop.trxyt,25_cluster0,1,Hybrid,0.999943,0.46080150836654854,1.1141823,6.644158
20220217_h2b halo_Cell9_2_immediately_after_irradiation_crop.trxyt,28_cluster1,1,Hybrid,0.988367,0.44061549300760006,1.3687499,6.5667959
20220217_h2b halo_Cell9_2_immediately_after_irradiation_crop.trxyt,32_cluster1,1,Hybrid,0.87953764,0.4267060899966019,1.2505328,6.5907053
20220217_h2b halo_Cell9_2_immediately_after_irradiation_crop.trxyt,32_cluster0,0,Immobile,0.9999999,0.4267060899966019,1.0378,6.6111847
20220217_h2b halo_Cell9_2_immediately_after_irradiation_crop.trxyt,48_cluster1,1,Hybrid,0.9999989,0.32762750343855596,1.2150544,6.6308494
20220217_h2b halo_Cell9_2_immediately_after_irradiation_crop.trxyt,48_cluster0,0,Immobile,0.9999999,0.32762750343855596,0.93699385,6.5895332
20220217_h2b halo_Cell9_2_immediately_after_irradiation_crop.trxyt,114_cluster1,1,Hybrid,0.97957724,0.48712285788078136,1.462539,3.6204336
20220217_h2b halo_Cell9_2_immediately_after_irradiation_crop.trxyt,114_cluster0,0,Immobile,1.0,0.48712285788078136,1.5061027,4.0443402
20220217_h2b halo_Cell9_2_immediately_after_irradiation_crop.trxyt,239_cluster0,1,Hybrid,0.9999504,0.6045090837505497,1.3235751,4.3078282
20220217_h2b halo_Cell9_2_immediately_after_irradiation_crop.trxyt,14,0,Immobile,0.99999917,0.24318229782745257,1.5459475,3.7213754
20220217_h2b halo_Cell9_2_immediately_after_irradiation_crop.trxyt,17,0,Immobile,0.97283,0.3403693215605848,0.97811527,6.694354
20220217_h2b halo_Cell9_2_immediately_after_irradiation_crop.trxyt,24,0,Immobile,0.9999949,0.16820758813362136,1.5850881,3.619549
20220217_h2b halo_Cell9_2_immediately_after_irradiation_crop.trxyt,26,0,Immobile,0.9999999,0.13395480648730018,1.4904256,3.7018817
20220217_h2b halo_Cell9_2_immediately_after_irradiation_crop.trxyt,31,0,Immobile,0.99995005,0.20293633478766224,1.5238628,3.768279
20220217_h2b halo_Cell9_2_immediately_after_irradiation_crop.trxyt,33,0,Immobile,1.0,0.11947768817318967,0.84985851,11.089851
20220217_h2b halo_Cell9_2_immediately_after_irradiation_crop.trxyt,35,0,Immobile,1.0,0.18117140673155346,1.4077956,3.6590526
20220217_h2b halo_Cell9_2_immediately_after_irradiation_crop.trxyt,36,0,Immobile,0.8680714,0.2133661962083498,1.5098343,3.6711637
20220217_h2b halo_Cell9_2_immediately_after_irradiation_crop.trxyt,38,2,Mobile,0.9873969,0.26757893061947124,1.45803,3.7152613
20220217_h2b halo_Cell9_2_immediately_after_irradiation_crop.trxyt,39,0,Immobile,0.9999924,0.15866373619290008,1.663318,9.7920567
20220217_h2b halo_Cell9_2_immediately_after_irradiation_crop.trxyt,42,0,Immobile,1.0,0.1896422910703731,1.5929329,9.8365968
20220217_h2b halo_Cell9_2_immediately_after_irradiation_crop.trxyt,53,0,Immobile,1.0,0.26589539131171486,1.3717109,3.6563836
20220217_h2b halo_Cell9_2_immediately_after_irradiation_crop.trxyt,55,0,Immobile,0.9999999,0.21541535000890707,1.6046315,3.641903
20220217_h2b halo_Cell9_2_immediately_after_irradiation_crop.trxyt,56,0,Immobile,1.0,0.14760900452943246,0.91975424,6.7116513
20220217_h2b halo_Cell9_2_immediately_after_irradiation_crop.trxyt,59,0,Immobile,1.0,0.1411503679998745,1.4425708,3.6514134
20220217_h2b halo_Cell9_2_immediately_after_irradiation_crop.trxyt,61,0,Immobile,0.9981627,0.23020902428725482,1.4159525,3.7250832
20220217_h2b halo_Cell9_2_immediately_after_irradiation_crop.trxyt,66,0,Immobile,0.99987304,0.23233895735557747,0.83854743,6.6049748
20220217_h2b halo_Cell9_2_immediately_after_irradiation_crop.trxyt,67,0,Immobile,1.0,0.16841013649736167,1.452897,3.7875467
20220217_h2b halo_Cell9_2_immediately_after_irradiation_crop.trxyt,68,0,Immobile,0.9999993,0.20990660896179497,1.4591427,3.774574
20220217_h2b halo_Cell9_2_immediately_after_irradiation_crop.trxyt,76,0,Immobile,1.0,0.1154381059041341,0.95360289,6.5807352
20220217_h2b halo_Cell9_2_immediately_after_irradiation_crop.trxyt,77,0,Immobile,0.9999999,0.11845479876780027,1.4643874,3.6339181
20220217_h2b halo_Cell9_2_immediately_after_irradiation_crop.trxyt,84,0,Immobile,0.9999999,0.09897483714545821,1.4433811,3.6697934
20220217_h2b halo_Cell9_2_immediately_after_irradiation_crop.trxyt,86,0,Immobile,0.9999888,0.15857757373208295,0.94678132,6.6835966
20220217_h2b halo_Cell9_2_immediately_after_irradiation_crop.trxyt,87,0,Immobile,0.9999975,0.16912887695674575,0.91202412,6.6328961
20220217_h2b halo_Cell9_2_immediately_after_irradiation_crop.trxyt,96,0,Immobile,0.9999999,0.17008026776548457,0.91253493,6.6160505
20220217_h2b halo_Cell9_2_immediately_after_irradiation_crop.trxyt,101,0,Immobile,0.9996087,0.20296942141396299,0.93786396,6.653896
20220217_h2b halo_Cell9_2_immediately_after_irradiation_crop.trxyt,104,0,Immobile,0.9999577,0.14549326525368791,1.4880875,3.6713605
20220217_h2b halo_Cell9_2_immediately_after_irradiation_crop.trxyt,113,0,Immobile,0.9999987,0.16807554277484305,0.91292999,6.6881035
20220217_h2b halo_Cell9_2_immediately_after_irradiation_crop.trxyt,115,0,Immobile,0.9999957,0.16423135073698944,0.98794391,6.7439848
20220217_h2b halo_Cell9_2_immediately_after_irradiation_crop.trxyt,185,0,Immobile,1.0,0.05737843872832358,1.1123085,6.5861296
20220217_h2b halo_Cell9_2_immediately_after_irradiation_crop.trxyt,189,0,Immobile,1.0,0.08790492011941081,1.396479,1.6248759
20220217_h2b halo_Cell9_2_immediately_after_irradiation_crop.trxyt,222,0,Immobile,0.999997,0.15050958638110076,1.0185134,7.1321176
20220217_h2b halo_Cell9_2_immediately_after_irradiation_crop.trxyt,224,0,Immobile,0.9999999,0.16501171138890242,0.95459988,7.0694982
20220217_h2b halo_Cell9_2_immediately_after_irradiation_crop.trxyt,230,0,Immobile,1.0,0.050526695002542844,1.6655443,3.6845949
20220217_h2b halo_Cell9_2_immediately_after_irradiation_crop.trxyt,242,2,Mobile,0.99945873,0.25201081605203,1.6293731,4.0811862
20220217_h2b halo_Cell9_2_immediately_after_irradiation_crop.trxyt,269,0,Immobile,1.0,0.043463243699705736,1.186566,7.1012297
