filename,h2b_id,predicted_class_id,predicted_class_name,probability,maximum_radius,first_x_position,first_y_position
20220601_H2B Halo_h2b halo_Field12_15s_after_crop.trxyt,3_cluster1,1,Hybrid,0.99999976,0.7276155964257297,1.3155608,7.0707654
20220601_H2B Halo_h2b halo_Field12_15s_after_crop.trxyt,19_cluster0,1,Hybrid,0.8532057,0.25677783582540725,0.82457271,11.378326
20220601_H2B Halo_h2b halo_Field12_15s_after_crop.trxyt,244_cluster0,1,Hybrid,0.8687746,0.6533636122501942,0.89380775,14.715107
20220601_H2B Halo_h2b halo_Field12_15s_after_crop.trxyt,400_cluster1,1,Hybrid,1.0,0.5375651736357188,0.94555068,8.8094485
20220601_H2B Halo_h2b halo_Field12_15s_after_crop.trxyt,2,0,Immobile,1.0,0.039551009377219525,1.0024584,3.725844
20220601_H2B Halo_h2b halo_Field12_15s_after_crop.trxyt,18,0,Immobile,0.99999976,0.14763795419192222,0.82154836,11.340037
20220601_H2B Halo_h2b halo_Field12_15s_after_crop.trxyt,46,0,Immobile,1.0,0.061885366421114155,0.97983596,7.8651156
20220601_H2B Halo_h2b halo_Field12_15s_after_crop.trxyt,60,0,Immobile,1.0,0.046084336899537615,1.0040948,9.7904059
20220601_H2B Halo_h2b halo_Field12_15s_after_crop.trxyt,111,2,Mobile,0.99953985,0.2660776632512816,0.96143198,14.069649
20220601_H2B Halo_h2b halo_Field12_15s_after_crop.trxyt,194,0,Immobile,1.0,0.13555355095975943,0.92876163,9.0728807
20220601_H2B Halo_h2b halo_Field12_15s_after_crop.trxyt,195,0,Immobile,1.0,0.14037295907763916,0.83274179,9.2090678
20220601_H2B Halo_h2b halo_Field12_15s_after_crop.trxyt,198,2,Mobile,0.9999697,0.6047596288512512,1.1912117,10.432949
20220601_H2B Halo_h2b halo_Field12_15s_after_crop.trxyt,207,0,Immobile,0.99999166,0.22702455148719014,1.1977838,16.293459
20220601_H2B Halo_h2b halo_Field12_15s_after_crop.trxyt,209,0,Immobile,0.9999989,0.20489672395877778,1.2799129,16.299895
20220601_H2B Halo_h2b halo_Field12_15s_after_crop.trxyt,231,0,Immobile,0.9999771,0.18075282928687472,1.5703689,7.7008038
20220601_H2B Halo_h2b halo_Field12_15s_after_crop.trxyt,240,2,Mobile,0.9999641,1.1747312729489456,1.1530463,2.1866929
20220601_H2B Halo_h2b halo_Field12_15s_after_crop.trxyt,253,0,Immobile,0.9999982,0.26990239500643615,1.2991182,12.276453
20220601_H2B Halo_h2b halo_Field12_15s_after_crop.trxyt,270,0,Immobile,1.0,0.18345300335780973,1.6967135,12.262384
20220601_H2B Halo_h2b halo_Field12_15s_after_crop.trxyt,273,0,Immobile,1.0,0.08044921322428475,0.80149169,7.3319037
20220601_H2B Halo_h2b halo_Field12_15s_after_crop.trxyt,285,2,Mobile,0.9999994,0.7289362077993025,1.6886615,9.2335505
20220601_H2B Halo_h2b halo_Field12_15s_after_crop.trxyt,297,2,Mobile,0.99999964,0.40835816882364473,1.2218493,13.193583
20220601_H2B Halo_h2b halo_Field12_15s_after_crop.trxyt,305,0,Immobile,1.0,0.16429900808991446,1.1246508,6.5076328
20220601_H2B Halo_h2b halo_Field12_15s_after_crop.trxyt,306,0,Immobile,0.99999905,0.13613105866987157,1.1526025,6.4016504
20220601_H2B Halo_h2b halo_Field12_15s_after_crop.trxyt,308,0,Immobile,1.0,0.15063646203571734,1.1396409,6.3194402
20220601_H2B Halo_h2b halo_Field12_15s_after_crop.trxyt,309,0,Immobile,0.9999999,0.10407064244060359,1.100434,6.3712006
20220601_H2B Halo_h2b halo_Field12_15s_after_crop.trxyt,318,2,Mobile,0.99999225,0.7668425594010126,0.87840436,11.07748
20220601_H2B Halo_h2b halo_Field12_15s_after_crop.trxyt,330,0,Immobile,0.999653,0.17630200599383433,1.1775444,6.3985132
20220601_H2B Halo_h2b halo_Field12_15s_after_crop.trxyt,331,0,Immobile,0.99961555,0.19598041016514897,1.1230695,6.3089122
20220601_H2B Halo_h2b halo_Field12_15s_after_crop.trxyt,333,0,Immobile,0.9999883,0.13372640644259468,1.0983992,6.3880731
20220601_H2B Halo_h2b halo_Field12_15s_after_crop.trxyt,341,0,Immobile,1.0,0.08788490321716239,1.1123487,6.4548416
20220601_H2B Halo_h2b halo_Field12_15s_after_crop.trxyt,359,0,Immobile,1.0,0.11588267727947946,0.87917865,7.943571
20220601_H2B Halo_h2b halo_Field12_15s_after_crop.trxyt,394,0,Immobile,1.0,0.13330372564170878,1.1622089,10.850719
20220601_H2B Halo_h2b halo_Field12_15s_after_crop.trxyt,398,0,Immobile,0.9961584,0.3149931054672317,1.049383,10.977669
20220601_H2B Halo_h2b halo_Field12_15s_after_crop.trxyt,402,0,Immobile,0.99987817,0.18261338781806788,0.91690385,8.6960846
