filename,h2b_id,predicted_class_id,predicted_class_name,probability,maximum_radius,first_x_position,first_y_position
20220210 H2B Halo_Field2_cell3_1min_after_irradiation_crop.trxyt,381_cluster1,0,Immobile,1.0,0.30125139991756106,2.0891487,6.9147871
20220210 H2B Halo_Field2_cell3_1min_after_irradiation_crop.trxyt,433_cluster0,0,Immobile,0.9999927,0.27896939633452633,1.1561922,2.5652271
20220210 H2B Halo_Field2_cell3_1min_after_irradiation_crop.trxyt,171,0,Immobile,0.99934524,0.2751764636676072,1.4092908,3.1771472
20220210 H2B Halo_Field2_cell3_1min_after_irradiation_crop.trxyt,193,0,Immobile,0.66336316,0.19462073171522593,1.1424881,4.9791599
20220210 H2B Halo_Field2_cell3_1min_after_irradiation_crop.trxyt,199,0,Immobile,1.0,0.14980833525959075,1.1246536,5.0269814
20220210 H2B Halo_Field2_cell3_1min_after_irradiation_crop.trxyt,203,0,Immobile,0.95855534,0.28381907128001455,1.172874,4.9416754
20220210 H2B Halo_Field2_cell3_1min_after_irradiation_crop.trxyt,207,0,Immobile,1.0,0.1395406881156176,2.0999285,4.0223382
20220210 H2B Halo_Field2_cell3_1min_after_irradiation_crop.trxyt,216,0,Immobile,1.0,0.15758732091653124,2.1650552,4.0029548
20220210 H2B Halo_Field2_cell3_1min_after_irradiation_crop.trxyt,229,0,Immobile,1.0,0.11081400068190818,2.1619305,3.9907272
20220210 H2B Halo_Field2_cell3_1min_after_irradiation_crop.trxyt,236,0,Immobile,1.0,0.16683151648828234,2.2182239,4.0522374
20220210 H2B Halo_Field2_cell3_1min_after_irradiation_crop.trxyt,243,0,Immobile,0.9999999,0.2052564233555922,2.186157,4.0123497
20220210 H2B Halo_Field2_cell3_1min_after_irradiation_crop.trxyt,350,0,Immobile,0.9999999,0.2069721572200472,2.1772989,6.9558571
20220210 H2B Halo_Field2_cell3_1min_after_irradiation_crop.trxyt,359,0,Immobile,0.9999999,0.14731789223261402,2.0863723,6.9435813
20220210 H2B Halo_Field2_cell3_1min_after_irradiation_crop.trxyt,371,0,Immobile,0.9999964,0.18934454074097284,1.9805178,6.9910123
20220210 H2B Halo_Field2_cell3_1min_after_irradiation_crop.trxyt,373,0,Immobile,1.0,0.15434681150869325,2.0803927,6.9831604
20220210 H2B Halo_Field2_cell3_1min_after_irradiation_crop.trxyt,435,0,Immobile,0.99061525,0.23772525294715935,1.1637039,2.6061077
20220210 H2B Halo_Field2_cell3_1min_after_irradiation_crop.trxyt,442,0,Immobile,0.99998915,0.132863161308026,1.0478368,2.5485743
