filename,h2b_id,predicted_class_id,predicted_class_name,probability,maximum_radius,first_x_position,first_y_position
20220210 H2B Halo_Field6_1min_after_irradiation_crop.trxyt,179_cluster0,1,Hybrid,0.99999094,0.4431140160043834,1.1789418,5.8180294
20220210 H2B Halo_Field6_1min_after_irradiation_crop.trxyt,290_cluster1,1,Hybrid,0.99998784,0.5030879067290834,1.8489894,9.78897
20220210 H2B Halo_Field6_1min_after_irradiation_crop.trxyt,300_cluster0,0,Immobile,0.99999976,0.28019474322356414,1.0538357,8.4865135
20220210 H2B Halo_Field6_1min_after_irradiation_crop.trxyt,300_cluster1,0,Immobile,0.99997735,0.28019474322356414,1.1525167,8.3557088
20220210 H2B Halo_Field6_1min_after_irradiation_crop.trxyt,2,2,Mobile,0.63143855,0.1885648674961484,1.3300108,9.9589457
20220210 H2B Halo_Field6_1min_after_irradiation_crop.trxyt,15,0,Immobile,0.82875335,0.18957104509228218,1.1757894,9.0050224
20220210 H2B Halo_Field6_1min_after_irradiation_crop.trxyt,16,0,Immobile,0.9998549,0.27881658876919446,1.6453016,10.355499
20220210 H2B Halo_Field6_1min_after_irradiation_crop.trxyt,26,0,Immobile,0.99999666,0.24379227937557824,1.3705862,9.0855659
20220210 H2B Halo_Field6_1min_after_irradiation_crop.trxyt,28,0,Immobile,0.9999273,0.17251926151812674,1.2453662,9.0813334
20220210 H2B Halo_Field6_1min_after_irradiation_crop.trxyt,34,0,Immobile,0.99999666,0.18701100189595815,1.1558813,8.9693598
20220210 H2B Halo_Field6_1min_after_irradiation_crop.trxyt,85,0,Immobile,0.99998486,0.19991245088148402,0.97476444,12.333487
20220210 H2B Halo_Field6_1min_after_irradiation_crop.trxyt,113,0,Immobile,0.9999999,0.1578613611156313,1.2706687,9.0934291
20220210 H2B Halo_Field6_1min_after_irradiation_crop.trxyt,126,0,Immobile,0.9995383,0.24935661851673413,1.3625545,9.0496414
20220210 H2B Halo_Field6_1min_after_irradiation_crop.trxyt,129,0,Immobile,0.9990375,0.22233407263721394,1.3554199,9.0706989
20220210 H2B Halo_Field6_1min_after_irradiation_crop.trxyt,143,0,Immobile,0.9999995,0.15823812180321734,1.7303961,9.2114927
20220210 H2B Halo_Field6_1min_after_irradiation_crop.trxyt,152,0,Immobile,0.9999703,0.1535456216895814,1.1903859,4.2824549
20220210 H2B Halo_Field6_1min_after_irradiation_crop.trxyt,154,0,Immobile,0.99994993,0.20451853064663852,1.2869198,4.288742
