filename,h2b_id,predicted_class_id,predicted_class_name,probability,maximum_radius,first_x_position,first_y_position
20220210 H2B Halo_Field8_cell2_after_irradiation_crop.trxyt,17_cluster0,1,Hybrid,0.9340442,0.21183739821440878,1.5533571,1.946732
20220210 H2B Halo_Field8_cell2_after_irradiation_crop.trxyt,144_cluster0,1,Hybrid,0.82084817,0.2072114036816024,1.0039302,4.3789796
20220210 H2B Halo_Field8_cell2_after_irradiation_crop.trxyt,647_cluster1,1,Hybrid,0.9999999,0.6643271558671076,1.8262742,9.0194325
20220210 H2B Halo_Field8_cell2_after_irradiation_crop.trxyt,5,0,Immobile,1.0,0.22948583414799273,1.4784854,2.0305467
20220210 H2B Halo_Field8_cell2_after_irradiation_crop.trxyt,16,0,Immobile,0.9999939,0.20029215080062435,1.5988829,1.8284839
20220210 H2B Halo_Field8_cell2_after_irradiation_crop.trxyt,41,0,Immobile,1.0,0.13702797284773657,1.8051828,12.83455
20220210 H2B Halo_Field8_cell2_after_irradiation_crop.trxyt,42,0,Immobile,0.99616677,0.20554140384808112,1.8871159,12.864595
20220210 H2B Halo_Field8_cell2_after_irradiation_crop.trxyt,43,0,Immobile,1.0,0.15575937631011358,0.88489387,1.1376113
20220210 H2B Halo_Field8_cell2_after_irradiation_crop.trxyt,60,0,Immobile,0.9999987,0.08116319512217367,1.8706918,12.865402
20220210 H2B Halo_Field8_cell2_after_irradiation_crop.trxyt,66,0,Immobile,0.99818915,0.2513931517926649,1.8997108,12.936795
20220210 H2B Halo_Field8_cell2_after_irradiation_crop.trxyt,87,2,Mobile,0.9999969,1.0490446502435486,1.5439211,8.876472
20220210 H2B Halo_Field8_cell2_after_irradiation_crop.trxyt,88,0,Immobile,0.9999999,0.1476833159117508,1.847153,12.947329
20220210 H2B Halo_Field8_cell2_after_irradiation_crop.trxyt,95,0,Immobile,0.99999976,0.14439099928697063,1.120888,7.7978121
20220210 H2B Halo_Field8_cell2_after_irradiation_crop.trxyt,131,0,Immobile,0.999982,0.18915989803203528,1.5536836,4.8126627
20220210 H2B Halo_Field8_cell2_after_irradiation_crop.trxyt,134,2,Mobile,0.99315554,0.3494799330352461,1.3527747,4.8042432
20220210 H2B Halo_Field8_cell2_after_irradiation_crop.trxyt,138,0,Immobile,0.9999435,0.18835364541468197,1.4383065,11.454719
20220210 H2B Halo_Field8_cell2_after_irradiation_crop.trxyt,146,0,Immobile,0.99997234,0.1393987594220622,1.3776358,11.515641
20220210 H2B Halo_Field8_cell2_after_irradiation_crop.trxyt,152,0,Immobile,0.9999999,0.19821717494066982,0.9070938,4.308387
20220210 H2B Halo_Field8_cell2_after_irradiation_crop.trxyt,153,2,Mobile,0.99308395,0.23667132720538855,1.3990858,11.567683
20220210 H2B Halo_Field8_cell2_after_irradiation_crop.trxyt,162,0,Immobile,0.99999964,0.09496335545293262,1.000821,4.4137028
20220210 H2B Halo_Field8_cell2_after_irradiation_crop.trxyt,265,2,Mobile,0.99999976,0.2759364675975438,1.6198282,12.005172
20220210 H2B Halo_Field8_cell2_after_irradiation_crop.trxyt,270,2,Mobile,0.613026,0.1510124974971353,1.0038256,10.61808
20220210 H2B Halo_Field8_cell2_after_irradiation_crop.trxyt,272,0,Immobile,0.9999987,0.14670031671966513,1.352507,1.9039792
20220210 H2B Halo_Field8_cell2_after_irradiation_crop.trxyt,281,0,Immobile,0.99999714,0.1949284834233786,0.85622042,6.5332944
20220210 H2B Halo_Field8_cell2_after_irradiation_crop.trxyt,282,0,Immobile,0.9999995,0.11447839083853337,0.9123153,6.5190287
20220210 H2B Halo_Field8_cell2_after_irradiation_crop.trxyt,289,0,Immobile,0.9999999,0.1214706915362156,0.93374517,6.6749526
20220210 H2B Halo_Field8_cell2_after_irradiation_crop.trxyt,338,0,Immobile,0.9999753,0.24101981267875044,1.4297001,1.8578489
20220210 H2B Halo_Field8_cell2_after_irradiation_crop.trxyt,356,0,Immobile,0.9999864,0.2043505721390081,1.4127153,1.8897108
20220210 H2B Halo_Field8_cell2_after_irradiation_crop.trxyt,403,0,Immobile,0.8997368,0.2869322017697049,1.7198769,8.2296077
20220210 H2B Halo_Field8_cell2_after_irradiation_crop.trxyt,498,2,Mobile,0.9999839,0.335167847508096,1.7734062,11.77297
20220210 H2B Halo_Field8_cell2_after_irradiation_crop.trxyt,628,0,Immobile,0.99999976,0.20286768014765177,1.810259,7.8996016
20220210 H2B Halo_Field8_cell2_after_irradiation_crop.trxyt,636,2,Mobile,0.9752076,0.6002896123025364,1.8307531,9.2201556
20220210 H2B Halo_Field8_cell2_after_irradiation_crop.trxyt,639,0,Immobile,0.9861748,0.2021743363191778,1.3074229,8.9477102
20220210 H2B Halo_Field8_cell2_after_irradiation_crop.trxyt,650,2,Mobile,0.97432625,0.24234736212975372,1.1951171,1.6933987
20220210 H2B Halo_Field8_cell2_after_irradiation_crop.trxyt,653,0,Immobile,0.96862006,0.3156057436988434,1.2973093,1.5598951
