filename,h2b_id,predicted_class_id,predicted_class_name,probability,maximum_radius,first_x_position,first_y_position
20220301_H2B Halo_Field26_2min_crop.rpt_tracked copy.trxyt,2_cluster0,1,Hybrid,1.0,0.5803544803284029,2.0233707,8.5350049
20220301_H2B Halo_Field26_2min_crop.rpt_tracked copy.trxyt,34_cluster1,1,Hybrid,0.9999546,1.0160975257542262,1.8622564,2.5014922
20220301_H2B Halo_Field26_2min_crop.rpt_tracked copy.trxyt,132_cluster2,1,Hybrid,0.9865188,1.552774353592398,1.9571567,10.317261
20220301_H2B Halo_Field26_2min_crop.rpt_tracked copy.trxyt,316_cluster0,0,Immobile,1.0,0.5865597661570758,1.1857546,11.768116
20220301_H2B Halo_Field26_2min_crop.rpt_tracked copy.trxyt,1,0,Immobile,1.0,0.17646045648728229,2.5278313,3.8768201
20220301_H2B Halo_Field26_2min_crop.rpt_tracked copy.trxyt,6,0,Immobile,0.9999975,0.058262503188331954,1.4479678,0.81898054
20220301_H2B Halo_Field26_2min_crop.rpt_tracked copy.trxyt,8,0,Immobile,1.0,0.1414266387942526,2.2227428,5.3507985
20220301_H2B Halo_Field26_2min_crop.rpt_tracked copy.trxyt,15,0,Immobile,0.9999995,0.13267870409847238,2.2342203,5.4154476
20220301_H2B Halo_Field26_2min_crop.rpt_tracked copy.trxyt,16,0,Immobile,1.0,0.08147310868958173,1.4152699,0.80804186
20220301_H2B Halo_Field26_2min_crop.rpt_tracked copy.trxyt,24,0,Immobile,0.99998546,0.1564822328726807,2.2250826,5.4721111
20220301_H2B Halo_Field26_2min_crop.rpt_tracked copy.trxyt,47,0,Immobile,0.99994445,0.18874328209610558,2.1707186,11.291852
20220301_H2B Halo_Field26_2min_crop.rpt_tracked copy.trxyt,49,0,Immobile,0.99999523,0.12663843770613262,2.2205329,5.2826122
20220301_H2B Halo_Field26_2min_crop.rpt_tracked copy.trxyt,68,0,Immobile,1.0,0.1094264022618399,2.44064,3.8464377
20220301_H2B Halo_Field26_2min_crop.rpt_tracked copy.trxyt,80,2,Mobile,0.73781794,0.2685522755715158,2.3232318,11.250576
20220301_H2B Halo_Field26_2min_crop.rpt_tracked copy.trxyt,84,0,Immobile,0.9999993,0.1263047964296287,2.2647247,5.4170111
20220301_H2B Halo_Field26_2min_crop.rpt_tracked copy.trxyt,91,0,Immobile,0.9999993,0.1915566852945885,2.3367496,2.6437045
20220301_H2B Halo_Field26_2min_crop.rpt_tracked copy.trxyt,93,0,Immobile,0.9971495,0.2514584912907885,2.2590461,11.357242
20220301_H2B Halo_Field26_2min_crop.rpt_tracked copy.trxyt,95,0,Immobile,0.99999976,0.10700277148471453,2.2732324,5.45579
20220301_H2B Halo_Field26_2min_crop.rpt_tracked copy.trxyt,100,0,Immobile,0.9999999,0.10518913804495213,2.2510201,2.7495057
20220301_H2B Halo_Field26_2min_crop.rpt_tracked copy.trxyt,101,0,Immobile,0.99986756,0.20906831188470376,2.3028706,5.4293343
20220301_H2B Halo_Field26_2min_crop.rpt_tracked copy.trxyt,110,0,Immobile,1.0,0.15818409552543528,2.216312,2.7750179
20220301_H2B Halo_Field26_2min_crop.rpt_tracked copy.trxyt,130,0,Immobile,1.0,0.1230794765125362,2.3007646,2.6894876
