filename,h2b_id,predicted_class_id,predicted_class_name,probability,maximum_radius,first_x_position,first_y_position
20220301_H2B Halo_Field27_2min_crop.mldatx_tracked copy.trxyt,30_cluster0,1,Hybrid,0.8271003,0.3198718641963166,0.85468663,4.1336719
20220301_H2B Halo_Field27_2min_crop.mldatx_tracked copy.trxyt,30_cluster4,0,Immobile,0.99999976,0.3198718641963166,0.8679077,4.1545747
20220301_H2B Halo_Field27_2min_crop.mldatx_tracked copy.trxyt,30_cluster1,0,Immobile,1.0,0.3198718641963166,1.0118458,4.20034
20220301_H2B Halo_Field27_2min_crop.mldatx_tracked copy.trxyt,97_cluster0,1,Hybrid,0.7466677,0.28833510836136494,1.5539612,12.353352
20220301_H2B Halo_Field27_2min_crop.mldatx_tracked copy.trxyt,99_cluster0,0,Immobile,0.9999747,0.3537077092985821,1.3829042,12.481299
20220301_H2B Halo_Field27_2min_crop.mldatx_tracked copy.trxyt,99_cluster1,0,Immobile,0.9999999,0.3537077092985821,1.4235722,12.155577
20220301_H2B Halo_Field27_2min_crop.mldatx_tracked copy.trxyt,1,0,Immobile,0.9994461,0.22660535625126993,0.96753911,4.2703382
20220301_H2B Halo_Field27_2min_crop.mldatx_tracked copy.trxyt,50,0,Immobile,0.99998546,0.15352663095991695,0.9815604,13.117393
20220301_H2B Halo_Field27_2min_crop.mldatx_tracked copy.trxyt,53,0,Immobile,0.9999999,0.06799581956679382,1.558086,12.172692
20220301_H2B Halo_Field27_2min_crop.mldatx_tracked copy.trxyt,55,0,Immobile,0.99998784,0.13553428263712528,1.5794504,12.131158
20220301_H2B Halo_Field27_2min_crop.mldatx_tracked copy.trxyt,73,0,Immobile,1.0,0.0912120678049241,1.5452505,12.795835
20220301_H2B Halo_Field27_2min_crop.mldatx_tracked copy.trxyt,75,0,Immobile,1.0,0.1731043595171426,1.0196663,12.568265
20220301_H2B Halo_Field27_2min_crop.mldatx_tracked copy.trxyt,85,0,Immobile,0.9999976,0.21199623644075394,0.83533241,9.1246314
20220301_H2B Halo_Field27_2min_crop.mldatx_tracked copy.trxyt,86,0,Immobile,1.0,0.1367328620478998,1.581915,12.782458
20220301_H2B Halo_Field27_2min_crop.mldatx_tracked copy.trxyt,91,0,Immobile,0.9985323,0.296557537756436,1.263875,12.267172
20220301_H2B Halo_Field27_2min_crop.mldatx_tracked copy.trxyt,98,2,Mobile,0.9999968,0.3238262727576165,1.4559607,12.170043
20220301_H2B Halo_Field27_2min_crop.mldatx_tracked copy.trxyt,106,0,Immobile,1.0,0.07040847992638681,0.81659101,2.8766153
20220301_H2B Halo_Field27_2min_crop.mldatx_tracked copy.trxyt,121,0,Immobile,0.9999664,0.16894215694438022,0.97651755,12.671967
20220301_H2B Halo_Field27_2min_crop.mldatx_tracked copy.trxyt,134,0,Immobile,1.0,0.14947166041564544,1.5187241,12.291027
20220301_H2B Halo_Field27_2min_crop.mldatx_tracked copy.trxyt,136,0,Immobile,1.0,0.15447048381778308,1.2848152,8.0028698
