filename,h2b_id,predicted_class_id,predicted_class_name,probability,maximum_radius,first_x_position,first_y_position
20220301_H2B Halo_Field29_2min_Crop.mldatx_tracked copy.trxyt,5_cluster1,0,Immobile,0.9999962,0.726809154158676,1.1035198,7.6553922
20220301_H2B Halo_Field29_2min_Crop.mldatx_tracked copy.trxyt,6_cluster0,1,Hybrid,1.0,0.5520634106553429,1.5825589,14.353431
20220301_H2B Halo_Field29_2min_Crop.mldatx_tracked copy.trxyt,7_cluster1,0,Immobile,0.9999999,0.5318185345499162,1.6993909,4.7280569
20220301_H2B Halo_Field29_2min_Crop.mldatx_tracked copy.trxyt,7_cluster0,0,Immobile,0.5977516,0.5318185345499162,1.4824152,4.67118
20220301_H2B Halo_Field29_2min_Crop.mldatx_tracked copy.trxyt,8_cluster0,1,Hybrid,1.0,0.9184461451918071,1.7069985,16.408562
20220301_H2B Halo_Field29_2min_Crop.mldatx_tracked copy.trxyt,20_cluster2,0,Immobile,0.99993205,0.8532938137948095,1.8917233,19.014737
20220301_H2B Halo_Field29_2min_Crop.mldatx_tracked copy.trxyt,20_cluster1,0,Immobile,1.0,0.8532938137948095,1.8651331,19.845672
20220301_H2B Halo_Field29_2min_Crop.mldatx_tracked copy.trxyt,20_cluster0,0,Immobile,1.0,0.8532938137948095,1.270337,18.992281
20220301_H2B Halo_Field29_2min_Crop.mldatx_tracked copy.trxyt,25_cluster1,0,Immobile,1.0,0.30415336339978233,1.1634045,5.8703176
20220301_H2B Halo_Field29_2min_Crop.mldatx_tracked copy.trxyt,25_cluster0,0,Immobile,0.99999905,0.30415336339978233,1.2135231,6.0288081
20220301_H2B Halo_Field29_2min_Crop.mldatx_tracked copy.trxyt,111_cluster1,1,Hybrid,0.99963784,0.8070032451762265,1.6203664,14.529181
20220301_H2B Halo_Field29_2min_Crop.mldatx_tracked copy.trxyt,116_cluster1,0,Immobile,1.0,0.8716761174539308,1.5938808,14.534876
20220301_H2B Halo_Field29_2min_Crop.mldatx_tracked copy.trxyt,125_cluster0,0,Immobile,0.9999354,0.42575027350168543,1.6094665,14.540344
20220301_H2B Halo_Field29_2min_Crop.mldatx_tracked copy.trxyt,135_cluster1,1,Hybrid,1.0,0.9672282092821761,1.443382,13.672303
20220301_H2B Halo_Field29_2min_Crop.mldatx_tracked copy.trxyt,137_cluster1,0,Immobile,1.0,0.9582464153300079,1.3574908,15.367595
20220301_H2B Halo_Field29_2min_Crop.mldatx_tracked copy.trxyt,137_cluster0,0,Immobile,0.99999976,0.9582464153300079,1.6854052,14.57665
20220301_H2B Halo_Field29_2min_Crop.mldatx_tracked copy.trxyt,152_cluster1,0,Immobile,0.9999981,0.6385041373345346,0.93895569,4.9052986
20220301_H2B Halo_Field29_2min_Crop.mldatx_tracked copy.trxyt,152_cluster0,0,Immobile,1.0,0.6385041373345346,1.4506225,4.6989104
20220301_H2B Halo_Field29_2min_Crop.mldatx_tracked copy.trxyt,203_cluster0,1,Hybrid,1.0,0.5459117564050986,1.2701557,4.3975419
20220301_H2B Halo_Field29_2min_Crop.mldatx_tracked copy.trxyt,10,0,Immobile,1.0,0.1728001949446482,1.0840927,17.837856
20220301_H2B Halo_Field29_2min_Crop.mldatx_tracked copy.trxyt,35,2,Mobile,0.99999964,0.3514803887687621,1.2863751,15.650259
20220301_H2B Halo_Field29_2min_Crop.mldatx_tracked copy.trxyt,36,2,Mobile,0.9999988,0.6019280643815506,1.834029,1.6655372
20220301_H2B Halo_Field29_2min_Crop.mldatx_tracked copy.trxyt,42,0,Immobile,0.9854556,0.17729050322597673,1.7861328,1.7734151
20220301_H2B Halo_Field29_2min_Crop.mldatx_tracked copy.trxyt,46,0,Immobile,1.0,0.07596389866504794,0.94306527,10.90258
20220301_H2B Halo_Field29_2min_Crop.mldatx_tracked copy.trxyt,51,0,Immobile,0.99976295,0.2753818414245938,1.2901848,4.5490864
20220301_H2B Halo_Field29_2min_Crop.mldatx_tracked copy.trxyt,59,0,Immobile,0.9998566,0.2549945120442596,1.8614457,1.6668065
20220301_H2B Halo_Field29_2min_Crop.mldatx_tracked copy.trxyt,77,0,Immobile,1.0,0.14965479710617352,1.754972,1.5850013
20220301_H2B Halo_Field29_2min_Crop.mldatx_tracked copy.trxyt,167,0,Immobile,0.9055316,0.18735643906866367,1.0534472,4.7993968
20220301_H2B Halo_Field29_2min_Crop.mldatx_tracked copy.trxyt,212,0,Immobile,1.0,0.07819133029569178,1.4315595,14.107295
20220301_H2B Halo_Field29_2min_Crop.mldatx_tracked copy.trxyt,226,0,Immobile,1.0,0.14395883605353801,1.2945903,18.458356
20220301_H2B Halo_Field29_2min_Crop.mldatx_tracked copy.trxyt,231,0,Immobile,0.9999989,0.11757331472557907,1.1926746,18.541593
20220301_H2B Halo_Field29_2min_Crop.mldatx_tracked copy.trxyt,235,0,Immobile,0.99999774,0.1121590412327514,1.2576014,18.47813
20220301_H2B Halo_Field29_2min_Crop.mldatx_tracked copy.trxyt,236,0,Immobile,1.0,0.13299284547632564,1.2151646,18.54873
20220301_H2B Halo_Field29_2min_Crop.mldatx_tracked copy.trxyt,239,0,Immobile,1.0,0.08791344902669934,1.0915395,6.3880236
20220301_H2B Halo_Field29_2min_Crop.mldatx_tracked copy.trxyt,260,0,Immobile,0.99260825,0.1814570781840432,1.6655537,14.633155
20220301_H2B Halo_Field29_2min_Crop.mldatx_tracked copy.trxyt,264,0,Immobile,1.0,0.1266140644902056,1.7875278,5.7459236
20220301_H2B Halo_Field29_2min_Crop.mldatx_tracked copy.trxyt,308,0,Immobile,1.0,0.1984662647097899,0.96912069,14.174203
20220301_H2B Halo_Field29_2min_Crop.mldatx_tracked copy.trxyt,312,0,Immobile,1.0,0.11916908358815205,1.6436671,4.4639973
20220301_H2B Halo_Field29_2min_Crop.mldatx_tracked copy.trxyt,314,0,Immobile,1.0,0.20003834044275137,1.227822,4.2701718
20220301_H2B Halo_Field29_2min_Crop.mldatx_tracked copy.trxyt,319,2,Mobile,0.9999957,0.7581441560766391,1.8231631,8.3050707
