filename,h2b_id,predicted_class_id,predicted_class_name,probability,maximum_radius,first_x_position,first_y_position
20220601_H2B Halo_h2b halo_Field6_2mins_after_crop.trxyt,100_cluster0,1,Hybrid,1.0,0.8373606632081185,1.4147741,1.8976422
20220601_H2B Halo_h2b halo_Field6_2mins_after_crop.trxyt,104_cluster0,1,Hybrid,0.85717636,0.21238810721361054,1.2434053,4.7913635
20220601_H2B Halo_h2b halo_Field6_2mins_after_crop.trxyt,107_cluster0,1,Hybrid,0.5722957,0.2090571230172509,1.3262745,4.9643516
20220601_H2B Halo_h2b halo_Field6_2mins_after_crop.trxyt,108_cluster0,1,Hybrid,1.0,0.9340225176940652,1.0251012,1.2083932
20220601_H2B Halo_h2b halo_Field6_2mins_after_crop.trxyt,116_cluster0,0,Immobile,1.0,0.5761187229515979,1.4391937,1.8701277
20220601_H2B Halo_h2b halo_Field6_2mins_after_crop.trxyt,116_cluster1,1,Hybrid,0.9995788,0.5761187229515979,1.3276444,2.1844403
20220601_H2B Halo_h2b halo_Field6_2mins_after_crop.trxyt,119_cluster1,1,Hybrid,1.0,0.5292148749401641,0.84449824,3.7040514
20220601_H2B Halo_h2b halo_Field6_2mins_after_crop.trxyt,170_cluster0,1,Hybrid,1.0,0.6616259543000881,1.4865822,3.3733183
20220601_H2B Halo_h2b halo_Field6_2mins_after_crop.trxyt,202_cluster0,0,Immobile,0.99998665,0.625611271080597,1.7397336,5.3846505
20220601_H2B Halo_h2b halo_Field6_2mins_after_crop.trxyt,212_cluster0,1,Hybrid,0.99970716,0.8350720788861873,0.97364213,5.5559338
20220601_H2B Halo_h2b halo_Field6_2mins_after_crop.trxyt,212_cluster1,0,Immobile,1.0,0.8350720788861873,1.7457304,5.3053286
20220601_H2B Halo_h2b halo_Field6_2mins_after_crop.trxyt,1,0,Immobile,0.9713193,0.24275711651799198,1.5915407,3.4840632
20220601_H2B Halo_h2b halo_Field6_2mins_after_crop.trxyt,10,2,Mobile,0.9993456,0.3232213638178175,1.4139371,1.7974113
20220601_H2B Halo_h2b halo_Field6_2mins_after_crop.trxyt,12,0,Immobile,0.9415451,0.3673630379129208,1.4897414,2.4305735
20220601_H2B Halo_h2b halo_Field6_2mins_after_crop.trxyt,22,0,Immobile,1.0,0.09448736001524238,1.1679381,4.1377584
20220601_H2B Halo_h2b halo_Field6_2mins_after_crop.trxyt,26,0,Immobile,0.9400156,0.42044507171602097,1.4949597,3.8813524
20220601_H2B Halo_h2b halo_Field6_2mins_after_crop.trxyt,30,2,Mobile,0.999739,0.2750383479630613,1.5484378,2.5929655
20220601_H2B Halo_h2b halo_Field6_2mins_after_crop.trxyt,94,0,Immobile,0.9999994,0.17317568439858982,1.5429015,1.9507013
20220601_H2B Halo_h2b halo_Field6_2mins_after_crop.trxyt,97,0,Immobile,0.9999865,0.09319171284813903,1.4818327,1.8851795
20220601_H2B Halo_h2b halo_Field6_2mins_after_crop.trxyt,99,0,Immobile,0.99996793,0.13722048854762867,1.2427674,4.880299
20220601_H2B Halo_h2b halo_Field6_2mins_after_crop.trxyt,106,0,Immobile,1.0,0.03339933333047228,1.0133177,1.2288251
20220601_H2B Halo_h2b halo_Field6_2mins_after_crop.trxyt,112,0,Immobile,0.9999938,0.20641183309418057,1.4173414,4.2595242
20220601_H2B Halo_h2b halo_Field6_2mins_after_crop.trxyt,113,0,Immobile,1.0,0.15960655274155772,0.93430647,3.6580451
20220601_H2B Halo_h2b halo_Field6_2mins_after_crop.trxyt,114,0,Immobile,1.0,0.10245304598949873,0.83043716,3.7217261
20220601_H2B Halo_h2b halo_Field6_2mins_after_crop.trxyt,122,0,Immobile,0.999571,0.3198638559809721,1.1947005,5.0038679
20220601_H2B Halo_h2b halo_Field6_2mins_after_crop.trxyt,129,2,Mobile,1.0,0.3659525182920456,1.2787466,1.819028
20220601_H2B Halo_h2b halo_Field6_2mins_after_crop.trxyt,142,0,Immobile,0.9999999,0.14377660312126583,1.4567462,1.8523662
