filename,h2b_id,predicted_class_id,predicted_class_name,probability,maximum_radius,first_x_position,first_y_position
No_treatment_Field2_1s_2min001-crop.mldatx_tracked copy.trxyt,19_cluster0,1,Hybrid,0.67610383,0.2582934296257654,1.751264,12.555063
No_treatment_Field2_1s_2min001-crop.mldatx_tracked copy.trxyt,77_cluster0,0,Immobile,0.9999999,0.3817730878645191,1.3854112,12.365461
No_treatment_Field2_1s_2min001-crop.mldatx_tracked copy.trxyt,145_cluster0,1,Hybrid,0.99262416,0.23358721732083265,1.7200091,12.150082
No_treatment_Field2_1s_2min001-crop.mldatx_tracked copy.trxyt,4,0,Immobile,0.99960774,0.2679932546856363,1.2062131,11.008057
No_treatment_Field2_1s_2min001-crop.mldatx_tracked copy.trxyt,6,0,Immobile,0.9999999,0.14776757188642595,1.2284494,10.921359
No_treatment_Field2_1s_2min001-crop.mldatx_tracked copy.trxyt,7,0,Immobile,0.9999988,0.12308076976038929,1.5538065,9.7659005
No_treatment_Field2_1s_2min001-crop.mldatx_tracked copy.trxyt,8,0,Immobile,0.9999994,0.11942909804905133,1.2485758,10.933072
No_treatment_Field2_1s_2min001-crop.mldatx_tracked copy.trxyt,9,0,Immobile,0.9998685,0.26621271900645593,1.1482681,10.899897
No_treatment_Field2_1s_2min001-crop.mldatx_tracked copy.trxyt,12,0,Immobile,0.9781381,0.3023419610531088,1.279553,11.036603
No_treatment_Field2_1s_2min001-crop.mldatx_tracked copy.trxyt,18,0,Immobile,0.99975306,0.20716390334708426,1.1710358,10.965993
No_treatment_Field2_1s_2min001-crop.mldatx_tracked copy.trxyt,21,0,Immobile,0.99999976,0.11068450492047237,1.6644841,12.50741
No_treatment_Field2_1s_2min001-crop.mldatx_tracked copy.trxyt,22,0,Immobile,0.9999994,0.11118663904844908,1.2027621,11.052118
No_treatment_Field2_1s_2min001-crop.mldatx_tracked copy.trxyt,30,0,Immobile,0.9999999,0.13972139619986582,1.203197,11.03068
No_treatment_Field2_1s_2min001-crop.mldatx_tracked copy.trxyt,56,0,Immobile,0.999894,0.17094646241349942,1.4822482,12.282429
No_treatment_Field2_1s_2min001-crop.mldatx_tracked copy.trxyt,78,0,Immobile,0.99996495,0.191427387601252,1.0173916,11.644858
No_treatment_Field2_1s_2min001-crop.mldatx_tracked copy.trxyt,107,0,Immobile,0.99999917,0.19284461202724837,1.7220672,2.1872524
No_treatment_Field2_1s_2min001-crop.mldatx_tracked copy.trxyt,110,0,Immobile,0.9999995,0.1823619365032077,1.4667669,3.2750962
No_treatment_Field2_1s_2min001-crop.mldatx_tracked copy.trxyt,112,0,Immobile,0.9999988,0.07456662840875967,1.6001783,3.246116
No_treatment_Field2_1s_2min001-crop.mldatx_tracked copy.trxyt,115,0,Immobile,0.9999987,0.19276134661318867,1.7490932,3.2319547
No_treatment_Field2_1s_2min001-crop.mldatx_tracked copy.trxyt,119,0,Immobile,0.99999833,0.19975005114056882,1.6615935,3.3355496
No_treatment_Field2_1s_2min001-crop.mldatx_tracked copy.trxyt,128,0,Immobile,1.0,0.10389554284669769,1.6006391,3.2036839
No_treatment_Field2_1s_2min001-crop.mldatx_tracked copy.trxyt,131,0,Immobile,0.9999975,0.18648140584095746,1.7074797,3.1524952
No_treatment_Field2_1s_2min001-crop.mldatx_tracked copy.trxyt,132,0,Immobile,0.9984023,0.15881654951074864,1.6471948,3.1528964
No_treatment_Field2_1s_2min001-crop.mldatx_tracked copy.trxyt,140,0,Immobile,0.8344361,0.24789492736102928,1.6213386,3.1779537
