filename,h2b_id,predicted_class_id,predicted_class_name,probability,maximum_radius,first_x_position,first_y_position
20220210 H2B Halo_Field8_cell1_30s_after_irradiation_crop.trxyt,53_cluster1,1,Hybrid,0.9398889,0.4569625514930625,1.1315828,8.0076567
20220210 H2B Halo_Field8_cell1_30s_after_irradiation_crop.trxyt,53_cluster0,0,Immobile,0.96929395,0.4569625514930625,1.1332255,8.2789537
20220210 H2B Halo_Field8_cell1_30s_after_irradiation_crop.trxyt,211_cluster1,0,Immobile,0.99966633,0.26084194266691435,1.7597669,6.4238871
20220210 H2B Halo_Field8_cell1_30s_after_irradiation_crop.trxyt,264_cluster0,1,Hybrid,0.9567711,0.34713622616714923,1.283592,6.2702402
20220210 H2B Halo_Field8_cell1_30s_after_irradiation_crop.trxyt,278_cluster0,1,Hybrid,0.9751232,0.6961317144565587,0.99414816,7.719082
20220210 H2B Halo_Field8_cell1_30s_after_irradiation_crop.trxyt,278_cluster1,0,Immobile,0.99999285,0.6961317144565587,1.4045215,7.6126538
20220210 H2B Halo_Field8_cell1_30s_after_irradiation_crop.trxyt,373_cluster0,0,Immobile,1.0,0.36142129062534484,1.1476706,14.355625
20220210 H2B Halo_Field8_cell1_30s_after_irradiation_crop.trxyt,384_cluster0,1,Hybrid,0.99973446,0.23798238691594262,1.2396714,14.353711
20220210 H2B Halo_Field8_cell1_30s_after_irradiation_crop.trxyt,424_cluster0,1,Hybrid,0.97454417,0.4720976110046786,1.2878506,11.842076
20220210 H2B Halo_Field8_cell1_30s_after_irradiation_crop.trxyt,432_cluster0,0,Immobile,0.99999964,0.32639462323160284,1.5398272,8.5642239
20220210 H2B Halo_Field8_cell1_30s_after_irradiation_crop.trxyt,437_cluster0,0,Immobile,0.9999994,0.24737571977137612,1.0738475,3.1825747
20220210 H2B Halo_Field8_cell1_30s_after_irradiation_crop.trxyt,1,0,Immobile,0.99999297,0.21981261080374823,1.347081,10.940634
20220210 H2B Halo_Field8_cell1_30s_after_irradiation_crop.trxyt,7,0,Immobile,1.0,0.09792068556055944,1.2311035,7.899101
20220210 H2B Halo_Field8_cell1_30s_after_irradiation_crop.trxyt,11,0,Immobile,0.99963737,0.21955199557098085,1.3025788,7.9144608
20220210 H2B Halo_Field8_cell1_30s_after_irradiation_crop.trxyt,14,0,Immobile,1.0,0.12843691429842113,1.2814004,7.8624811
20220210 H2B Halo_Field8_cell1_30s_after_irradiation_crop.trxyt,16,2,Mobile,0.99987864,0.89481057218665,1.7646162,8.4878223
20220210 H2B Halo_Field8_cell1_30s_after_irradiation_crop.trxyt,17,0,Immobile,0.9999982,0.12860694816851845,1.0194924,3.26158
20220210 H2B Halo_Field8_cell1_30s_after_irradiation_crop.trxyt,18,2,Mobile,0.9999938,0.21087001766408195,1.3267071,8.902374
20220210 H2B Halo_Field8_cell1_30s_after_irradiation_crop.trxyt,21,0,Immobile,1.0,0.1253442262739147,0.9662953,12.060045
20220210 H2B Halo_Field8_cell1_30s_after_irradiation_crop.trxyt,22,0,Immobile,0.99998724,0.23305141718352493,1.1662834,15.935721
20220210 H2B Halo_Field8_cell1_30s_after_irradiation_crop.trxyt,23,2,Mobile,0.5207313,0.17126207158970966,0.97079401,12.108279
20220210 H2B Halo_Field8_cell1_30s_after_irradiation_crop.trxyt,24,0,Immobile,1.0,0.14625863974005035,1.2542201,15.903984
20220210 H2B Halo_Field8_cell1_30s_after_irradiation_crop.trxyt,31,0,Immobile,0.9999838,0.22884773021421898,1.1384913,7.8573961
20220210 H2B Halo_Field8_cell1_30s_after_irradiation_crop.trxyt,37,0,Immobile,0.9993592,0.20626733956671314,1.218588,7.8286379
20220210 H2B Halo_Field8_cell1_30s_after_irradiation_crop.trxyt,45,0,Immobile,0.9995722,0.21707393193157506,1.5464043,0.83773972
20220210 H2B Halo_Field8_cell1_30s_after_irradiation_crop.trxyt,57,0,Immobile,0.99684465,0.2715246370226467,1.7386877,3.0825423
20220210 H2B Halo_Field8_cell1_30s_after_irradiation_crop.trxyt,75,0,Immobile,0.9999932,0.17597050380452967,1.6944077,1.8328137
20220210 H2B Halo_Field8_cell1_30s_after_irradiation_crop.trxyt,92,0,Immobile,0.999728,0.2764190708854405,1.0817152,8.0036742
20220210 H2B Halo_Field8_cell1_30s_after_irradiation_crop.trxyt,121,0,Immobile,1.0,0.10330708602632241,1.6703418,13.299884
20220210 H2B Halo_Field8_cell1_30s_after_irradiation_crop.trxyt,150,0,Immobile,0.9999995,0.11531721124376769,0.9749134,14.770357
20220210 H2B Halo_Field8_cell1_30s_after_irradiation_crop.trxyt,154,0,Immobile,0.9772569,0.28389476613438985,1.5921028,3.0052873
20220210 H2B Halo_Field8_cell1_30s_after_irradiation_crop.trxyt,173,0,Immobile,0.9973793,0.2085785483214151,1.0413906,14.796991
20220210 H2B Halo_Field8_cell1_30s_after_irradiation_crop.trxyt,176,0,Immobile,0.9996339,0.21113436253790965,1.061559,14.772831
20220210 H2B Halo_Field8_cell1_30s_after_irradiation_crop.trxyt,179,0,Immobile,0.99999666,0.12248201138110422,1.069094,11.251645
20220210 H2B Halo_Field8_cell1_30s_after_irradiation_crop.trxyt,182,0,Immobile,0.9999963,0.14158623337867518,0.9493925,14.76438
20220210 H2B Halo_Field8_cell1_30s_after_irradiation_crop.trxyt,192,2,Mobile,0.98608464,0.22045622718161648,0.94864498,14.60957
20220210 H2B Halo_Field8_cell1_30s_after_irradiation_crop.trxyt,194,0,Immobile,1.0,0.18140652806737578,0.90701566,14.718624
20220210 H2B Halo_Field8_cell1_30s_after_irradiation_crop.trxyt,198,0,Immobile,0.9999852,0.28945791197092874,1.5809869,8.2135347
20220210 H2B Halo_Field8_cell1_30s_after_irradiation_crop.trxyt,205,0,Immobile,0.9999999,0.06957093488404557,1.4737414,16.167891
20220210 H2B Halo_Field8_cell1_30s_after_irradiation_crop.trxyt,225,0,Immobile,0.9998609,0.2180681054012713,1.2196091,6.6756257
20220210 H2B Halo_Field8_cell1_30s_after_irradiation_crop.trxyt,236,0,Immobile,0.9999653,0.1813549734108501,1.544907,5.0192503
20220210 H2B Halo_Field8_cell1_30s_after_irradiation_crop.trxyt,237,0,Immobile,0.9998728,0.205925685952774,0.99497118,6.4477081
20220210 H2B Halo_Field8_cell1_30s_after_irradiation_crop.trxyt,240,0,Immobile,0.9999987,0.22376884515669307,1.2358111,14.719931
20220210 H2B Halo_Field8_cell1_30s_after_irradiation_crop.trxyt,259,0,Immobile,0.9998847,0.19860099413895219,1.2524744,6.3357443
20220210 H2B Halo_Field8_cell1_30s_after_irradiation_crop.trxyt,265,0,Immobile,0.99162513,0.19575210356021713,1.4102416,6.2324355
20220210 H2B Halo_Field8_cell1_30s_after_irradiation_crop.trxyt,272,0,Immobile,0.9999999,0.0948366335401363,0.89097363,3.1648754
20220210 H2B Halo_Field8_cell1_30s_after_irradiation_crop.trxyt,276,0,Immobile,1.0,0.18434412017633642,0.96799167,3.10425
20220210 H2B Halo_Field8_cell1_30s_after_irradiation_crop.trxyt,283,0,Immobile,0.9999604,0.2180497875350235,0.85161773,3.1840341
20220210 H2B Halo_Field8_cell1_30s_after_irradiation_crop.trxyt,296,2,Mobile,0.99706155,0.27173988036828606,1.1643919,8.0820032
20220210 H2B Halo_Field8_cell1_30s_after_irradiation_crop.trxyt,298,0,Immobile,0.9999999,0.17402026328195214,0.98154886,3.2251917
20220210 H2B Halo_Field8_cell1_30s_after_irradiation_crop.trxyt,299,0,Immobile,0.9993332,0.21094542085278833,1.2085404,14.553649
20220210 H2B Halo_Field8_cell1_30s_after_irradiation_crop.trxyt,308,0,Immobile,0.9999962,0.27665204074386524,1.2026131,11.246395
