filename,h2b_id,predicted_class_id,predicted_class_name,probability,maximum_radius,first_x_position,first_y_position
20220301_H2B Halo_Field7_30s_crop.mldatx_tracked copy.trxyt,1_cluster1,1,Hybrid,0.9786659,0.38567195822560174,1.0036643,4.2950834
20220301_H2B Halo_Field7_30s_crop.mldatx_tracked copy.trxyt,1_cluster0,0,Immobile,1.0,0.38567195822560174,1.2356066,4.126105
20220301_H2B Halo_Field7_30s_crop.mldatx_tracked copy.trxyt,3_cluster0,1,Hybrid,1.0,0.46339790973634026,1.1350069,12.52169
20220301_H2B Halo_Field7_30s_crop.mldatx_tracked copy.trxyt,5_cluster0,0,Immobile,0.9999194,0.4676469159726813,1.3556822,6.0662405
20220301_H2B Halo_Field7_30s_crop.mldatx_tracked copy.trxyt,5_cluster2,0,Immobile,0.99129057,0.4676469159726813,1.53578,6.1077831
20220301_H2B Halo_Field7_30s_crop.mldatx_tracked copy.trxyt,5_cluster1,0,Immobile,0.99999225,0.4676469159726813,1.4381986,5.8103554
20220301_H2B Halo_Field7_30s_crop.mldatx_tracked copy.trxyt,7_cluster0,1,Hybrid,1.0,0.8980661267843767,1.7813534,16.231819
20220301_H2B Halo_Field7_30s_crop.mldatx_tracked copy.trxyt,56_cluster1,1,Hybrid,0.8085399,0.7765293255063075,1.1217407,6.3475292
20220301_H2B Halo_Field7_30s_crop.mldatx_tracked copy.trxyt,56_cluster0,1,Hybrid,0.8208053,0.7765293255063075,1.3848756,6.0453061
20220301_H2B Halo_Field7_30s_crop.mldatx_tracked copy.trxyt,258_cluster0,0,Immobile,0.9999994,0.48104369284909104,1.3466,15.560231
20220301_H2B Halo_Field7_30s_crop.mldatx_tracked copy.trxyt,258_cluster1,1,Hybrid,0.7412029,0.48104369284909104,1.0548625,15.806455
20220301_H2B Halo_Field7_30s_crop.mldatx_tracked copy.trxyt,326_cluster0,0,Immobile,0.99999976,0.29290320661495545,1.0516701,17.898075
20220301_H2B Halo_Field7_30s_crop.mldatx_tracked copy.trxyt,370_cluster1,0,Immobile,1.0,0.3252480053471726,1.4296554,1.1447352
20220301_H2B Halo_Field7_30s_crop.mldatx_tracked copy.trxyt,370_cluster0,0,Immobile,0.99867517,0.3252480053471726,1.5908978,1.0881489
20220301_H2B Halo_Field7_30s_crop.mldatx_tracked copy.trxyt,9,0,Immobile,0.9999851,0.19410781080279263,1.0516938,15.545776
20220301_H2B Halo_Field7_30s_crop.mldatx_tracked copy.trxyt,37,0,Immobile,1.0,0.07515261956319326,1.8690983,15.440633
20220301_H2B Halo_Field7_30s_crop.mldatx_tracked copy.trxyt,40,0,Immobile,0.9999989,0.21063462047906775,0.95689833,15.52931
20220301_H2B Halo_Field7_30s_crop.mldatx_tracked copy.trxyt,66,2,Mobile,0.9932672,0.48106013688682403,1.5232503,5.9548067
20220301_H2B Halo_Field7_30s_crop.mldatx_tracked copy.trxyt,71,2,Mobile,0.9928718,0.43927727471478645,1.5019905,6.04928
20220301_H2B Halo_Field7_30s_crop.mldatx_tracked copy.trxyt,103,2,Mobile,0.99992204,0.35641977790746954,1.6052586,14.225408
20220301_H2B Halo_Field7_30s_crop.mldatx_tracked copy.trxyt,123,0,Immobile,0.9999645,0.356190616403324,1.4103229,8.0468589
20220301_H2B Halo_Field7_30s_crop.mldatx_tracked copy.trxyt,186,0,Immobile,0.9558577,0.3192109099576838,1.0918722,2.5505295
20220301_H2B Halo_Field7_30s_crop.mldatx_tracked copy.trxyt,197,0,Immobile,0.99999976,0.08610668233609979,1.6302856,1.9902959
20220301_H2B Halo_Field7_30s_crop.mldatx_tracked copy.trxyt,212,0,Immobile,0.99999917,0.13780782913048728,0.8850458,3.3057305
20220301_H2B Halo_Field7_30s_crop.mldatx_tracked copy.trxyt,213,0,Immobile,0.99999654,0.23197295368933496,0.83180858,3.3894551
20220301_H2B Halo_Field7_30s_crop.mldatx_tracked copy.trxyt,229,2,Mobile,0.9999666,0.7736089926080494,1.2385506,14.25759
20220301_H2B Halo_Field7_30s_crop.mldatx_tracked copy.trxyt,231,2,Mobile,0.8667417,0.5354343325185731,1.5759742,13.67911
20220301_H2B Halo_Field7_30s_crop.mldatx_tracked copy.trxyt,256,0,Immobile,0.99999964,0.10889781099875195,1.8200046,7.1194383
20220301_H2B Halo_Field7_30s_crop.mldatx_tracked copy.trxyt,259,0,Immobile,1.0,0.06758850038616071,1.8866245,7.1012513
20220301_H2B Halo_Field7_30s_crop.mldatx_tracked copy.trxyt,263,0,Immobile,1.0,0.057461299520721036,1.8891642,7.1228023
20220301_H2B Halo_Field7_30s_crop.mldatx_tracked copy.trxyt,265,0,Immobile,0.99999964,0.14149956804856306,1.8725719,7.1475966
20220301_H2B Halo_Field7_30s_crop.mldatx_tracked copy.trxyt,317,0,Immobile,0.9999995,0.1656416384639133,1.1134253,17.782242
20220301_H2B Halo_Field7_30s_crop.mldatx_tracked copy.trxyt,341,0,Immobile,0.99999976,0.1985169771393869,1.1058216,17.920977
20220301_H2B Halo_Field7_30s_crop.mldatx_tracked copy.trxyt,359,2,Mobile,0.60051864,0.2586125606181772,1.4988237,11.641163
20220301_H2B Halo_Field7_30s_crop.mldatx_tracked copy.trxyt,362,0,Immobile,0.9999893,0.2594915691390571,1.2838008,18.646721
