filename,h2b_id,predicted_class_id,predicted_class_name,probability,maximum_radius,first_x_position,first_y_position
20220301_H2B Halo_Field20_no_ir_crop.mldatx_tracked copy.trxyt,21_cluster0,1,Hybrid,0.602684,0.258633158008887,1.1712902,8.7668722
20220301_H2B Halo_Field20_no_ir_crop.mldatx_tracked copy.trxyt,1,0,Immobile,0.99998915,0.18117801069186676,0.99069143,10.088614
20220301_H2B Halo_Field20_no_ir_crop.mldatx_tracked copy.trxyt,2,0,Immobile,0.9999975,0.14538031685565242,1.1570039,8.812997
20220301_H2B Halo_Field20_no_ir_crop.mldatx_tracked copy.trxyt,4,0,Immobile,0.9999995,0.13907119742423305,1.4583273,12.951203
20220301_H2B Halo_Field20_no_ir_crop.mldatx_tracked copy.trxyt,7,0,Immobile,1.0,0.143756738925088,0.91846271,9.9529876
20220301_H2B Halo_Field20_no_ir_crop.mldatx_tracked copy.trxyt,42,0,Immobile,0.99999774,0.150247072006745,1.085607,1.2100637
20220301_H2B Halo_Field20_no_ir_crop.mldatx_tracked copy.trxyt,73,2,Mobile,0.8403747,0.18941681920687448,1.4605359,9.0710911
20220301_H2B Halo_Field20_no_ir_crop.mldatx_tracked copy.trxyt,79,0,Immobile,1.0,0.0953267144679287,1.2847669,10.270704
20220301_H2B Halo_Field20_no_ir_crop.mldatx_tracked copy.trxyt,99,0,Immobile,1.0,0.09227168524639656,0.81027927,8.2344367
20220301_H2B Halo_Field20_no_ir_crop.mldatx_tracked copy.trxyt,102,2,Mobile,0.99999666,2.0719533527082357,1.2604263,5.4413823
20220301_H2B Halo_Field20_no_ir_crop.mldatx_tracked copy.trxyt,124,0,Immobile,1.0,0.13146715211599458,1.5783167,13.033188
20220301_H2B Halo_Field20_no_ir_crop.mldatx_tracked copy.trxyt,172,0,Immobile,0.9958703,0.22184010734916704,1.5540531,12.978535
20220301_H2B Halo_Field20_no_ir_crop.mldatx_tracked copy.trxyt,186,0,Immobile,0.99994147,0.1840904712058983,1.4319782,12.961714
20220301_H2B Halo_Field20_no_ir_crop.mldatx_tracked copy.trxyt,196,0,Immobile,1.0,0.07699298081175948,1.5190305,4.0462467
20220301_H2B Halo_Field20_no_ir_crop.mldatx_tracked copy.trxyt,200,0,Immobile,0.99999917,0.17543800991598132,1.5738225,4.0511138
20220301_H2B Halo_Field20_no_ir_crop.mldatx_tracked copy.trxyt,204,0,Immobile,1.0,0.09501817353796056,1.5630199,4.1247103
20220301_H2B Halo_Field20_no_ir_crop.mldatx_tracked copy.trxyt,219,0,Immobile,0.99999964,0.18820090932415912,1.3715507,12.989901
20220301_H2B Halo_Field20_no_ir_crop.mldatx_tracked copy.trxyt,220,0,Immobile,1.0,0.06479060219854445,1.1684844,8.3848508
20220301_H2B Halo_Field20_no_ir_crop.mldatx_tracked copy.trxyt,232,0,Immobile,0.9999999,0.12073916326660906,0.96329563,10.103287
20220301_H2B Halo_Field20_no_ir_crop.mldatx_tracked copy.trxyt,233,2,Mobile,0.9999969,0.8581627389435407,1.5595734,4.6228072
20220301_H2B Halo_Field20_no_ir_crop.mldatx_tracked copy.trxyt,259,0,Immobile,0.9999999,0.16597078104973206,0.97298244,9.0021132
20220301_H2B Halo_Field20_no_ir_crop.mldatx_tracked copy.trxyt,260,0,Immobile,0.99999607,0.15096084375771113,1.4270023,11.351599
20220301_H2B Halo_Field20_no_ir_crop.mldatx_tracked copy.trxyt,272,0,Immobile,1.0,0.08222585030250537,1.1978999,8.8385864
20220301_H2B Halo_Field20_no_ir_crop.mldatx_tracked copy.trxyt,289,0,Immobile,1.0,0.08351791215626213,0.83744181,12.55938
20220301_H2B Halo_Field20_no_ir_crop.mldatx_tracked copy.trxyt,295,0,Immobile,1.0,0.09041718116000108,0.87098813,12.485723
20220301_H2B Halo_Field20_no_ir_crop.mldatx_tracked copy.trxyt,297,0,Immobile,0.89144814,0.20449474895409941,1.3531684,8.6553021
20220301_H2B Halo_Field20_no_ir_crop.mldatx_tracked copy.trxyt,322,0,Immobile,0.9085337,0.3801566807831866,0.9264369,13.337202
20220301_H2B Halo_Field20_no_ir_crop.mldatx_tracked copy.trxyt,338,0,Immobile,0.9999906,0.32748542308017287,1.2757426,13.226069
20220301_H2B Halo_Field20_no_ir_crop.mldatx_tracked copy.trxyt,340,0,Immobile,1.0,0.09416402128137896,1.0435361,8.0125409
20220301_H2B Halo_Field20_no_ir_crop.mldatx_tracked copy.trxyt,344,0,Immobile,1.0,0.08172069573394564,1.110877,12.092152
