filename,h2b_id,predicted_class_id,predicted_class_name,probability,maximum_radius,first_x_position,first_y_position
20220301_H2B Halo_Field24_noo_ir_crop.mldatx_tracked copy.trxyt,17,0,Immobile,0.99999106,0.1804246319105781,1.0076658,7.7391632
20220301_H2B Halo_Field24_noo_ir_crop.mldatx_tracked copy.trxyt,19,0,Immobile,0.9999944,0.09985713597931743,0.8740779,10.331269
20220301_H2B Halo_Field24_noo_ir_crop.mldatx_tracked copy.trxyt,37,0,Immobile,0.99999833,0.15101348752479163,0.84849622,11.869626
20220301_H2B Halo_Field24_noo_ir_crop.mldatx_tracked copy.trxyt,39,0,Immobile,0.99998343,0.2065991847932852,1.2489846,14.721056
20220301_H2B Halo_Field24_noo_ir_crop.mldatx_tracked copy.trxyt,46,0,Immobile,0.99981385,0.21536144820002026,1.3150846,1.8870501
20220301_H2B Halo_Field24_noo_ir_crop.mldatx_tracked copy.trxyt,49,0,Immobile,1.0,0.06428044669734323,1.5596801,17.106879
20220301_H2B Halo_Field24_noo_ir_crop.mldatx_tracked copy.trxyt,50,0,Immobile,0.8941608,0.28456737338677746,1.5431561,17.083102
20220301_H2B Halo_Field24_noo_ir_crop.mldatx_tracked copy.trxyt,51,0,Immobile,0.9977276,0.26277589605656365,1.09139,3.7993339
20220301_H2B Halo_Field24_noo_ir_crop.mldatx_tracked copy.trxyt,53,0,Immobile,0.9999993,0.14379758040220528,0.94358697,8.1602966
20220301_H2B Halo_Field24_noo_ir_crop.mldatx_tracked copy.trxyt,66,0,Immobile,1.0,0.192117723677646,0.85754442,8.0835585
20220301_H2B Halo_Field24_noo_ir_crop.mldatx_tracked copy.trxyt,67,0,Immobile,0.99840564,0.21963329936752884,0.9314176,7.9821093
