filename,h2b_id,predicted_class_id,predicted_class_name,probability,maximum_radius,first_x_position,first_y_position
20220301_H2B Halo_Field26_no_ir_crop.rpt_tracked copy.trxyt,1_cluster0,0,Immobile,0.99999976,0.5271224899537452,1.3680505,4.693281
20220301_H2B Halo_Field26_no_ir_crop.rpt_tracked copy.trxyt,16_cluster1,1,Hybrid,0.99999964,0.7799377538149562,1.3816065,5.1054348
20220301_H2B Halo_Field26_no_ir_crop.rpt_tracked copy.trxyt,16_cluster0,0,Immobile,0.9999982,0.7799377538149562,1.2598675,5.1875066
20220301_H2B Halo_Field26_no_ir_crop.rpt_tracked copy.trxyt,58_cluster1,1,Hybrid,1.0,1.1070302720910297,0.91052033,11.058881
20220301_H2B Halo_Field26_no_ir_crop.rpt_tracked copy.trxyt,101_cluster0,0,Immobile,0.9999999,0.3328736679165386,1.651601,10.437123
20220301_H2B Halo_Field26_no_ir_crop.rpt_tracked copy.trxyt,117_cluster1,1,Hybrid,0.99927586,0.8942883247562381,0.84213972,4.5102706
20220301_H2B Halo_Field26_no_ir_crop.rpt_tracked copy.trxyt,325_cluster0,0,Immobile,0.9999999,0.5846273046469548,0.83582187,2.7172175
20220301_H2B Halo_Field26_no_ir_crop.rpt_tracked copy.trxyt,325_cluster1,0,Immobile,0.99999833,0.5846273046469548,0.83441911,2.2671803
20220301_H2B Halo_Field26_no_ir_crop.rpt_tracked copy.trxyt,334_cluster0,1,Hybrid,0.5303935,0.2867802185341418,1.2210158,13.189534
20220301_H2B Halo_Field26_no_ir_crop.rpt_tracked copy.trxyt,2,0,Immobile,1.0,0.09141910256817215,2.1482914,0.9618086
20220301_H2B Halo_Field26_no_ir_crop.rpt_tracked copy.trxyt,40,0,Immobile,0.99999964,0.09903096493445859,2.1711345,2.0550265
20220301_H2B Halo_Field26_no_ir_crop.rpt_tracked copy.trxyt,69,0,Immobile,0.9999989,0.14847427142626407,1.6378449,10.4327
20220301_H2B Halo_Field26_no_ir_crop.rpt_tracked copy.trxyt,74,0,Immobile,0.9999926,0.09994891234150521,1.6646885,10.403365
20220301_H2B Halo_Field26_no_ir_crop.rpt_tracked copy.trxyt,76,0,Immobile,0.999974,0.1711847944365683,1.3441894,5.3386826
20220301_H2B Halo_Field26_no_ir_crop.rpt_tracked copy.trxyt,83,0,Immobile,0.99999976,0.11331825255928551,1.6651817,10.395642
20220301_H2B Halo_Field26_no_ir_crop.rpt_tracked copy.trxyt,105,0,Immobile,1.0,0.12045492645807382,2.129457,2.0498807
20220301_H2B Halo_Field26_no_ir_crop.rpt_tracked copy.trxyt,115,0,Immobile,1.0,0.11668028261124498,1.6417812,10.303807
20220301_H2B Halo_Field26_no_ir_crop.rpt_tracked copy.trxyt,119,0,Immobile,1.0,0.11654518491228978,1.6373375,10.334233
20220301_H2B Halo_Field26_no_ir_crop.rpt_tracked copy.trxyt,156,0,Immobile,1.0,0.12512529696080663,2.6059294,6.6658187
20220301_H2B Halo_Field26_no_ir_crop.rpt_tracked copy.trxyt,198,0,Immobile,1.0,0.09150377030620097,2.2197275,6.3629465
20220301_H2B Halo_Field26_no_ir_crop.rpt_tracked copy.trxyt,205,0,Immobile,0.9999925,0.14136616891268575,1.3815259,1.3604317
20220301_H2B Halo_Field26_no_ir_crop.rpt_tracked copy.trxyt,211,0,Immobile,1.0,0.07264169160328245,2.3028204,0.90316779
20220301_H2B Halo_Field26_no_ir_crop.rpt_tracked copy.trxyt,221,0,Immobile,0.9999993,0.07528834447175035,2.3230804,0.93479514
20220301_H2B Halo_Field26_no_ir_crop.rpt_tracked copy.trxyt,226,0,Immobile,1.0,0.16536508040539447,0.82531012,4.4265022
20220301_H2B Halo_Field26_no_ir_crop.rpt_tracked copy.trxyt,230,0,Immobile,1.0,0.0836776765288831,2.2807117,0.95303293
20220301_H2B Halo_Field26_no_ir_crop.rpt_tracked copy.trxyt,243,0,Immobile,0.99484986,0.2188046544068474,2.05209,2.0275168
20220301_H2B Halo_Field26_no_ir_crop.rpt_tracked copy.trxyt,250,0,Immobile,0.9999995,0.09521145760931302,2.6671536,6.5218044
20220301_H2B Halo_Field26_no_ir_crop.rpt_tracked copy.trxyt,261,2,Mobile,0.99850523,0.2581002829080049,1.0336381,9.3198291
20220301_H2B Halo_Field26_no_ir_crop.rpt_tracked copy.trxyt,263,2,Mobile,0.9999956,1.3596429188071149,1.7028028,11.239787
20220301_H2B Halo_Field26_no_ir_crop.rpt_tracked copy.trxyt,269,2,Mobile,0.9999385,0.9867544040428757,2.4718829,11.509512
20220301_H2B Halo_Field26_no_ir_crop.rpt_tracked copy.trxyt,277,0,Immobile,0.9999999,0.18639160319319642,1.9829105,1.9581091
20220301_H2B Halo_Field26_no_ir_crop.rpt_tracked copy.trxyt,285,0,Immobile,1.0,0.11530765876775054,2.4516493,7.7150832
20220301_H2B Halo_Field26_no_ir_crop.rpt_tracked copy.trxyt,299,0,Immobile,1.0,0.06000775798986302,2.6477297,6.449908
20220301_H2B Halo_Field26_no_ir_crop.rpt_tracked copy.trxyt,302,0,Immobile,1.0,0.20184627728694932,1.1991244,5.8912049
20220301_H2B Halo_Field26_no_ir_crop.rpt_tracked copy.trxyt,304,0,Immobile,0.9999987,0.1398812670137783,2.0666445,9.2928723
20220301_H2B Halo_Field26_no_ir_crop.rpt_tracked copy.trxyt,315,0,Immobile,1.0,0.2160120248434333,1.1095867,9.1699631
20220301_H2B Halo_Field26_no_ir_crop.rpt_tracked copy.trxyt,318,0,Immobile,1.0,0.04761292144890917,2.6980617,6.6780372
20220301_H2B Halo_Field26_no_ir_crop.rpt_tracked copy.trxyt,321,2,Mobile,0.999977,0.1835939342712612,1.5428378,5.854579
20220301_H2B Halo_Field26_no_ir_crop.rpt_tracked copy.trxyt,327,0,Immobile,1.0,0.16306244643646434,0.83782319,2.1116171
20220301_H2B Halo_Field26_no_ir_crop.rpt_tracked copy.trxyt,335,0,Immobile,1.0,0.1435647019331007,2.2710097,5.6721234
20220301_H2B Halo_Field26_no_ir_crop.rpt_tracked copy.trxyt,344,0,Immobile,1.0,0.1044967051414064,2.0187084,7.7169425
20220301_H2B Halo_Field26_no_ir_crop.rpt_tracked copy.trxyt,346,0,Immobile,0.9990977,0.21084038846153486,0.99015713,1.5423928
20220301_H2B Halo_Field26_no_ir_crop.rpt_tracked copy.trxyt,347,0,Immobile,1.0,0.09653562100017662,2.252561,12.741575
20220301_H2B Halo_Field26_no_ir_crop.rpt_tracked copy.trxyt,357,0,Immobile,1.0,0.03992616426163306,0.81858213,6.4423337
20220301_H2B Halo_Field26_no_ir_crop.rpt_tracked copy.trxyt,358,0,Immobile,0.99999976,0.12804350556779537,2.4760359,4.4280799
20220301_H2B Halo_Field26_no_ir_crop.rpt_tracked copy.trxyt,360,0,Immobile,1.0,0.1361228864577887,2.2828848,3.6500695
20220301_H2B Halo_Field26_no_ir_crop.rpt_tracked copy.trxyt,362,0,Immobile,1.0,0.10905708183267915,1.4993641,9.7941341
20220301_H2B Halo_Field26_no_ir_crop.rpt_tracked copy.trxyt,367,0,Immobile,1.0,0.11650684713980387,0.91708464,11.782366
20220301_H2B Halo_Field26_no_ir_crop.rpt_tracked copy.trxyt,368,0,Immobile,0.999997,0.18500771621151388,2.3444522,3.5500633
20220301_H2B Halo_Field26_no_ir_crop.rpt_tracked copy.trxyt,379,0,Immobile,0.9999999,0.10264417375910873,2.0887237,10.237197
20220301_H2B Halo_Field26_no_ir_crop.rpt_tracked copy.trxyt,380,0,Immobile,0.9999995,0.05418048280515782,1.5558885,7.9408958
20220301_H2B Halo_Field26_no_ir_crop.rpt_tracked copy.trxyt,390,0,Immobile,0.9999958,0.15929424261240518,1.3896908,6.1114456
