filename,h2b_id,predicted_class_id,predicted_class_name,probability,maximum_radius,first_x_position,first_y_position
20220301_H2B Halo_Field27_no_ir_Crop.mldatx_tracked copy.trxyt,47_cluster0,0,Immobile,0.9999976,0.25664114665756727,0.81429467,7.3684203
20220301_H2B Halo_Field27_no_ir_Crop.mldatx_tracked copy.trxyt,84_cluster0,0,Immobile,0.9998466,0.1996409863475935,1.3946893,3.2436655
20220301_H2B Halo_Field27_no_ir_Crop.mldatx_tracked copy.trxyt,24,0,Immobile,1.0,0.08902881880385699,1.5318577,8.4511538
20220301_H2B Halo_Field27_no_ir_Crop.mldatx_tracked copy.trxyt,30,0,Immobile,0.99989736,0.22162838532219561,0.94819436,5.3468055
20220301_H2B Halo_Field27_no_ir_Crop.mldatx_tracked copy.trxyt,32,0,Immobile,0.99999976,0.19799405014759922,1.5051894,8.5368447
20220301_H2B Halo_Field27_no_ir_Crop.mldatx_tracked copy.trxyt,37,0,Immobile,0.9999999,0.17627454749498664,0.92652971,7.4331418
20220301_H2B Halo_Field27_no_ir_Crop.mldatx_tracked copy.trxyt,53,0,Immobile,0.999985,0.17529702976642245,1.0154273,6.1704396
20220301_H2B Halo_Field27_no_ir_Crop.mldatx_tracked copy.trxyt,55,0,Immobile,0.99998105,0.12718349999602957,1.4066311,12.3421
20220301_H2B Halo_Field27_no_ir_Crop.mldatx_tracked copy.trxyt,56,0,Immobile,1.0,0.18155467907746217,0.81751311,8.2669417
20220301_H2B Halo_Field27_no_ir_Crop.mldatx_tracked copy.trxyt,71,0,Immobile,0.9999994,0.15036754422630563,1.3598568,3.1129837
20220301_H2B Halo_Field27_no_ir_Crop.mldatx_tracked copy.trxyt,79,2,Mobile,0.7997837,0.42710862401951094,1.3052029,3.1466059
20220301_H2B Halo_Field27_no_ir_Crop.mldatx_tracked copy.trxyt,92,0,Immobile,0.99999547,0.15733419283855582,1.5515517,14.322786
20220301_H2B Halo_Field27_no_ir_Crop.mldatx_tracked copy.trxyt,95,0,Immobile,1.0,0.20412247249261908,1.4588881,3.3265121
20220301_H2B Halo_Field27_no_ir_Crop.mldatx_tracked copy.trxyt,97,0,Immobile,0.99999285,0.22976635588144753,1.4837307,3.1949158
20220301_H2B Halo_Field27_no_ir_Crop.mldatx_tracked copy.trxyt,98,0,Immobile,0.9999881,0.18476468675723734,1.518268,3.3186353
20220301_H2B Halo_Field27_no_ir_Crop.mldatx_tracked copy.trxyt,99,2,Mobile,0.9665238,0.29343869444979476,1.458467,3.2933059
20220301_H2B Halo_Field27_no_ir_Crop.mldatx_tracked copy.trxyt,129,2,Mobile,0.99999785,0.7750769687894736,1.3178651,7.0333405
20220301_H2B Halo_Field27_no_ir_Crop.mldatx_tracked copy.trxyt,130,0,Immobile,0.98626953,0.2401730488237596,1.2405071,2.5839942
20220301_H2B Halo_Field27_no_ir_Crop.mldatx_tracked copy.trxyt,132,0,Immobile,0.9999932,0.18442369816630427,0.81264373,2.4929227
20220301_H2B Halo_Field27_no_ir_Crop.mldatx_tracked copy.trxyt,137,0,Immobile,0.9992465,0.1901494697293428,0.84699885,5.9861612
20220301_H2B Halo_Field27_no_ir_Crop.mldatx_tracked copy.trxyt,150,0,Immobile,0.99574834,0.1641006513269146,0.86151202,6.034789
20220301_H2B Halo_Field27_no_ir_Crop.mldatx_tracked copy.trxyt,155,0,Immobile,1.0,0.11523901781189386,1.2335823,6.4865534
20220301_H2B Halo_Field27_no_ir_Crop.mldatx_tracked copy.trxyt,171,0,Immobile,0.9999999,0.12999706379472573,1.0018482,2.1067298
20220301_H2B Halo_Field27_no_ir_Crop.mldatx_tracked copy.trxyt,174,0,Immobile,0.9999994,0.18448613636995184,0.81276936,5.5411972
20220301_H2B Halo_Field27_no_ir_Crop.mldatx_tracked copy.trxyt,186,0,Immobile,1.0,0.138147792724314,1.1063694,3.4227674
20220301_H2B Halo_Field27_no_ir_Crop.mldatx_tracked copy.trxyt,187,0,Immobile,0.9999999,0.08615444118616283,1.3721349,9.8524273
20220301_H2B Halo_Field27_no_ir_Crop.mldatx_tracked copy.trxyt,203,0,Immobile,1.0,0.0952461828322289,0.86949308,3.6123377
20220301_H2B Halo_Field27_no_ir_Crop.mldatx_tracked copy.trxyt,204,0,Immobile,0.9999993,0.11459615691086761,1.3104323,8.1676579
20220301_H2B Halo_Field27_no_ir_Crop.mldatx_tracked copy.trxyt,209,0,Immobile,1.0,0.11814038319499405,1.2334506,7.2024071
20220301_H2B Halo_Field27_no_ir_Crop.mldatx_tracked copy.trxyt,218,0,Immobile,1.0,0.14931192549012956,1.0740688,2.0168271
