filename,h2b_id,predicted_class_id,predicted_class_name,probability,maximum_radius,first_x_position,first_y_position
20220601_H2B Halo_h2b halo_Field1_before_crop.mldatx_tracked.trxyt,77_cluster0,1,Hybrid,0.99287075,0.2720395339544053,1.3986299,7.0691819
20220601_H2B Halo_h2b halo_Field1_before_crop.mldatx_tracked.trxyt,107_cluster0,1,Hybrid,0.999962,0.4059525352041327,1.1642222,4.184622
20220601_H2B Halo_h2b halo_Field1_before_crop.mldatx_tracked.trxyt,177_cluster1,1,Hybrid,1.0,0.5066179525382113,1.7231174,9.7896351
20220601_H2B Halo_h2b halo_Field1_before_crop.mldatx_tracked.trxyt,234_cluster0,1,Hybrid,0.99862003,0.4298121499042897,1.4222811,1.3198622
20220601_H2B Halo_h2b halo_Field1_before_crop.mldatx_tracked.trxyt,1,0,Immobile,0.9999999,0.04771435449055129,1.2151751,7.668423
20220601_H2B Halo_h2b halo_Field1_before_crop.mldatx_tracked.trxyt,20,0,Immobile,1.0,0.10428275030573778,0.85810036,5.6154509
20220601_H2B Halo_h2b halo_Field1_before_crop.mldatx_tracked.trxyt,48,0,Immobile,0.99999976,0.1453797248281979,0.91778743,3.8512728
20220601_H2B Halo_h2b halo_Field1_before_crop.mldatx_tracked.trxyt,50,0,Immobile,0.9999999,0.12271019304136886,1.3055782,8.0110043
20220601_H2B Halo_h2b halo_Field1_before_crop.mldatx_tracked.trxyt,51,0,Immobile,1.0,0.08591722186436206,1.3239864,7.0331022
20220601_H2B Halo_h2b halo_Field1_before_crop.mldatx_tracked.trxyt,52,0,Immobile,1.0,0.135565157862926,1.3199681,8.0731961
20220601_H2B Halo_h2b halo_Field1_before_crop.mldatx_tracked.trxyt,53,0,Immobile,0.99999964,0.0715190835559294,1.5868792,5.0109409
20220601_H2B Halo_h2b halo_Field1_before_crop.mldatx_tracked.trxyt,55,0,Immobile,0.99999964,0.06405145258471892,0.86083617,3.8462716
20220601_H2B Halo_h2b halo_Field1_before_crop.mldatx_tracked.trxyt,61,0,Immobile,1.0,0.043351398030722174,0.94612439,1.5883236
20220601_H2B Halo_h2b halo_Field1_before_crop.mldatx_tracked.trxyt,62,0,Immobile,1.0,0.08963945543436747,1.0028838,7.9031709
20220601_H2B Halo_h2b halo_Field1_before_crop.mldatx_tracked.trxyt,81,0,Immobile,1.0,0.08369056164138221,1.5350019,6.9587858
20220601_H2B Halo_h2b halo_Field1_before_crop.mldatx_tracked.trxyt,94,0,Immobile,1.0,0.14053414997860886,1.3819843,7.8278883
