filename,h2b_id,predicted_class_id,predicted_class_name,probability,maximum_radius,first_x_position,first_y_position
20220601_H2B Halo_h2b halo_Field3_before_Crop.rpt_tracked.trxyt,23_cluster0,1,Hybrid,0.96639556,0.20443813560833013,1.1470155,2.2344674
20220601_H2B Halo_h2b halo_Field3_before_Crop.rpt_tracked.trxyt,28_cluster0,1,Hybrid,0.76255065,0.3318178979985859,1.0791345,2.2801182
20220601_H2B Halo_h2b halo_Field3_before_Crop.rpt_tracked.trxyt,62_cluster0,1,Hybrid,0.8494508,0.4571816526935003,1.2760931,8.177267
20220601_H2B Halo_h2b halo_Field3_before_Crop.rpt_tracked.trxyt,132_cluster1,0,Immobile,1.0,0.2706394322815691,1.4238405,8.5526271
20220601_H2B Halo_h2b halo_Field3_before_Crop.rpt_tracked.trxyt,274_cluster1,1,Hybrid,1.0,0.772499484780047,1.7457871,11.195927
20220601_H2B Halo_h2b halo_Field3_before_Crop.rpt_tracked.trxyt,312_cluster0,0,Immobile,0.96322346,0.37101127811024887,1.1143847,12.645379
20220601_H2B Halo_h2b halo_Field3_before_Crop.rpt_tracked.trxyt,312_cluster1,0,Immobile,0.9999995,0.37101127811024887,1.2058805,12.473008
20220601_H2B Halo_h2b halo_Field3_before_Crop.rpt_tracked.trxyt,19,0,Immobile,0.99469876,0.26014118353555626,1.0946264,2.1949858
20220601_H2B Halo_h2b halo_Field3_before_Crop.rpt_tracked.trxyt,22,2,Mobile,0.9999616,0.42205955920262483,1.0536255,2.3630077
20220601_H2B Halo_h2b halo_Field3_before_Crop.rpt_tracked.trxyt,24,0,Immobile,0.8819862,0.3039949335688999,1.2856252,2.3475262
20220601_H2B Halo_h2b halo_Field3_before_Crop.rpt_tracked.trxyt,30,0,Immobile,0.99999106,0.19704483564366765,1.1446713,10.130303
20220601_H2B Halo_h2b halo_Field3_before_Crop.rpt_tracked.trxyt,35,0,Immobile,0.9999999,0.09535652171496266,1.0109986,11.595373
20220601_H2B Halo_h2b halo_Field3_before_Crop.rpt_tracked.trxyt,36,0,Immobile,0.99999094,0.20922568329098618,1.228845,3.9461471
20220601_H2B Halo_h2b halo_Field3_before_Crop.rpt_tracked.trxyt,53,0,Immobile,1.0,0.14563388255416923,0.83297061,11.068303
20220601_H2B Halo_h2b halo_Field3_before_Crop.rpt_tracked.trxyt,54,0,Immobile,0.9999999,0.14023026531138041,1.598495,8.1475235
20220601_H2B Halo_h2b halo_Field3_before_Crop.rpt_tracked.trxyt,64,0,Immobile,1.0,0.07744979886687918,1.3221527,3.9974843
20220601_H2B Halo_h2b halo_Field3_before_Crop.rpt_tracked.trxyt,73,0,Immobile,1.0,0.1504860908984777,1.0866189,1.4854711
20220601_H2B Halo_h2b halo_Field3_before_Crop.rpt_tracked.trxyt,79,0,Immobile,1.0,0.09623011300523374,0.80298928,4.2055243
20220601_H2B Halo_h2b halo_Field3_before_Crop.rpt_tracked.trxyt,82,0,Immobile,1.0,0.06931540857968727,0.84006983,4.1839887
20220601_H2B Halo_h2b halo_Field3_before_Crop.rpt_tracked.trxyt,83,0,Immobile,1.0,0.11106135106692155,1.1735873,8.1754236
20220601_H2B Halo_h2b halo_Field3_before_Crop.rpt_tracked.trxyt,85,0,Immobile,0.9999999,0.16602433807912034,1.0706347,5.540657
20220601_H2B Halo_h2b halo_Field3_before_Crop.rpt_tracked.trxyt,86,0,Immobile,1.0,0.09317658637104068,1.0834811,3.3835045
20220601_H2B Halo_h2b halo_Field3_before_Crop.rpt_tracked.trxyt,99,0,Immobile,1.0,0.1201048705075376,0.81463842,11.260803
20220601_H2B Halo_h2b halo_Field3_before_Crop.rpt_tracked.trxyt,101,2,Mobile,0.99994004,0.2971577809864173,0.88624124,2.0875028
20220601_H2B Halo_h2b halo_Field3_before_Crop.rpt_tracked.trxyt,134,0,Immobile,0.99999905,0.211644123270196,1.2973798,2.5998032
20220601_H2B Halo_h2b halo_Field3_before_Crop.rpt_tracked.trxyt,141,0,Immobile,0.9998932,0.2695996519453243,1.309131,2.6510724
