filename,h2b_id,predicted_class_id,predicted_class_name,probability,maximum_radius,first_x_position,first_y_position
20220601_H2B Halo_h2b halo_Field8_before-crop.mldatx_tracked.trxyt,97_cluster0,0,Immobile,0.9983581,0.20693634609610487,1.3802619,0.96285963
20220601_H2B Halo_h2b halo_Field8_before-crop.mldatx_tracked.trxyt,117_cluster0,0,Immobile,0.9999989,0.36341081455688673,1.0495708,4.3537791
20220601_H2B Halo_h2b halo_Field8_before-crop.mldatx_tracked.trxyt,127_cluster0,0,Immobile,0.99999857,0.35184417250342254,0.90553496,4.6827395
20220601_H2B Halo_h2b halo_Field8_before-crop.mldatx_tracked.trxyt,159_cluster0,0,Immobile,0.99999976,0.34676696607123064,0.99863599,4.3577086
20220601_H2B Halo_h2b halo_Field8_before-crop.mldatx_tracked.trxyt,159_cluster1,0,Immobile,0.99996233,0.34676696607123064,1.0402134,4.236718
20220601_H2B Halo_h2b halo_Field8_before-crop.mldatx_tracked.trxyt,203_cluster0,0,Immobile,1.0,0.46963205127632524,1.3291572,11.297878
20220601_H2B Halo_h2b halo_Field8_before-crop.mldatx_tracked.trxyt,249_cluster0,1,Hybrid,0.99422014,0.3374544301796654,0.93794782,7.7234192
20220601_H2B Halo_h2b halo_Field8_before-crop.mldatx_tracked.trxyt,2,0,Immobile,0.9996542,0.23516463560135947,1.5850774,3.0357581
20220601_H2B Halo_h2b halo_Field8_before-crop.mldatx_tracked.trxyt,11,0,Immobile,0.9999999,0.09263955628995638,1.0471093,2.0833884
20220601_H2B Halo_h2b halo_Field8_before-crop.mldatx_tracked.trxyt,25,0,Immobile,1.0,0.0898393122115374,0.88241073,4.7955432
20220601_H2B Halo_h2b halo_Field8_before-crop.mldatx_tracked.trxyt,31,0,Immobile,1.0,0.12140125678962282,1.1461039,2.2989568
20220601_H2B Halo_h2b halo_Field8_before-crop.mldatx_tracked.trxyt,33,0,Immobile,0.99986994,0.2065508896440636,1.1227531,3.4893881
20220601_H2B Halo_h2b halo_Field8_before-crop.mldatx_tracked.trxyt,38,0,Immobile,1.0,0.03415442270189909,1.1244698,1.8113969
20220601_H2B Halo_h2b halo_Field8_before-crop.mldatx_tracked.trxyt,50,0,Immobile,1.0,0.0830386683795566,1.4285782,10.793966
20220601_H2B Halo_h2b halo_Field8_before-crop.mldatx_tracked.trxyt,62,0,Immobile,1.0,0.06618928811744482,0.89998427,3.4730734
20220601_H2B Halo_h2b halo_Field8_before-crop.mldatx_tracked.trxyt,63,0,Immobile,1.0,0.15475396866397337,1.0569773,13.272591
20220601_H2B Halo_h2b halo_Field8_before-crop.mldatx_tracked.trxyt,75,0,Immobile,0.87197304,0.19001559959582265,1.5818119,10.05395
20220601_H2B Halo_h2b halo_Field8_before-crop.mldatx_tracked.trxyt,89,0,Immobile,1.0,0.0998810012429286,1.6349158,8.1875846
20220601_H2B Halo_h2b halo_Field8_before-crop.mldatx_tracked.trxyt,93,0,Immobile,0.99999976,0.1767730320230151,1.3901305,11.684185
20220601_H2B Halo_h2b halo_Field8_before-crop.mldatx_tracked.trxyt,94,0,Immobile,1.0,0.12089489227597652,1.5907651,1.7368212
20220601_H2B Halo_h2b halo_Field8_before-crop.mldatx_tracked.trxyt,101,0,Immobile,1.0,0.1732532996386502,1.7394398,6.2781396
20220601_H2B Halo_h2b halo_Field8_before-crop.mldatx_tracked.trxyt,104,0,Immobile,1.0,0.11411714376100553,1.0404168,1.9838498
20220601_H2B Halo_h2b halo_Field8_before-crop.mldatx_tracked.trxyt,110,0,Immobile,1.0,0.15618377652765353,1.6289498,12.95099
20220601_H2B Halo_h2b halo_Field8_before-crop.mldatx_tracked.trxyt,111,0,Immobile,1.0,0.1513276383127216,0.98933965,14.503134
20220601_H2B Halo_h2b halo_Field8_before-crop.mldatx_tracked.trxyt,118,0,Immobile,0.99999857,0.1379514437803278,1.049338,10.666457
20220601_H2B Halo_h2b halo_Field8_before-crop.mldatx_tracked.trxyt,120,0,Immobile,1.0,0.031238920752189668,0.83166783,7.4099662
20220601_H2B Halo_h2b halo_Field8_before-crop.mldatx_tracked.trxyt,126,2,Mobile,0.9999658,0.27445583031818044,1.0529353,4.518314
20220601_H2B Halo_h2b halo_Field8_before-crop.mldatx_tracked.trxyt,140,2,Mobile,1.0,0.7021103257086235,1.4691327,12.681736
20220601_H2B Halo_h2b halo_Field8_before-crop.mldatx_tracked.trxyt,147,0,Immobile,0.99999905,0.08353612981488928,1.1517196,8.1601523
20220601_H2B Halo_h2b halo_Field8_before-crop.mldatx_tracked.trxyt,160,0,Immobile,1.0,0.0709492177346587,0.94629515,1.475978
20220601_H2B Halo_h2b halo_Field8_before-crop.mldatx_tracked.trxyt,165,0,Immobile,0.9999999,0.16389176567445826,0.99903016,4.436014
20220601_H2B Halo_h2b halo_Field8_before-crop.mldatx_tracked.trxyt,166,0,Immobile,1.0,0.0600504273626758,1.5488018,13.001156
20220601_H2B Halo_h2b halo_Field8_before-crop.mldatx_tracked.trxyt,175,0,Immobile,0.99999976,0.09720522030945784,1.1296821,10.647462
20220601_H2B Halo_h2b halo_Field8_before-crop.mldatx_tracked.trxyt,176,0,Immobile,0.9999703,0.2598057827072538,1.0301227,4.800035
20220601_H2B Halo_h2b halo_Field8_before-crop.mldatx_tracked.trxyt,186,0,Immobile,1.0,0.16981278717896936,1.7051548,12.037191
20220601_H2B Halo_h2b halo_Field8_before-crop.mldatx_tracked.trxyt,194,0,Immobile,0.9999839,0.1302415750691383,1.6989825,11.963061
20220601_H2B Halo_h2b halo_Field8_before-crop.mldatx_tracked.trxyt,199,0,Immobile,1.0,0.10005198550393686,1.5935097,1.2534723
20220601_H2B Halo_h2b halo_Field8_before-crop.mldatx_tracked.trxyt,204,2,Mobile,0.9804836,0.44925002995454555,1.2787009,11.27037
20220601_H2B Halo_h2b halo_Field8_before-crop.mldatx_tracked.trxyt,210,0,Immobile,0.9999989,0.09794249039186073,1.5673688,10.394345
20220601_H2B Halo_h2b halo_Field8_before-crop.mldatx_tracked.trxyt,211,0,Immobile,0.9999999,0.06891761953876502,1.5850353,10.357974
20220601_H2B Halo_h2b halo_Field8_before-crop.mldatx_tracked.trxyt,213,0,Immobile,0.9999999,0.14436929466548531,1.5835363,10.320833
20220601_H2B Halo_h2b halo_Field8_before-crop.mldatx_tracked.trxyt,214,0,Immobile,1.0,0.10971960100679368,1.4895823,10.314735
20220601_H2B Halo_h2b halo_Field8_before-crop.mldatx_tracked.trxyt,215,0,Immobile,0.99999917,0.14545505516485233,1.5449549,10.318178
20220601_H2B Halo_h2b halo_Field8_before-crop.mldatx_tracked.trxyt,216,0,Immobile,0.99999976,0.16670997112953326,1.4980767,10.432112
20220601_H2B Halo_h2b halo_Field8_before-crop.mldatx_tracked.trxyt,220,0,Immobile,1.0,0.08337353704557589,1.4738433,10.352236
20220601_H2B Halo_h2b halo_Field8_before-crop.mldatx_tracked.trxyt,221,0,Immobile,0.99999905,0.057121665524474965,1.515733,10.425627
20220601_H2B Halo_h2b halo_Field8_before-crop.mldatx_tracked.trxyt,224,0,Immobile,1.0,0.11784051765521937,1.5580445,10.387029
20220601_H2B Halo_h2b halo_Field8_before-crop.mldatx_tracked.trxyt,226,0,Immobile,0.99999976,0.05129473358581695,1.3437,11.542879
20220601_H2B Halo_h2b halo_Field8_before-crop.mldatx_tracked.trxyt,227,0,Immobile,1.0,0.11672378809073197,1.5442126,10.378229
