filename,h2b_id,predicted_class_id,predicted_class_name,probability,maximum_radius,first_x_position,first_y_position
20220601_H2B Halo_h2b halo_Field9_before-crop.rpt_tracked.trxyt,57_cluster0,0,Immobile,0.9999994,0.2467338179582407,1.5496651,10.06503
20220601_H2B Halo_h2b halo_Field9_before-crop.rpt_tracked.trxyt,57_cluster1,1,Hybrid,0.9299017,0.2467338179582407,1.5108283,9.9988461
20220601_H2B Halo_h2b halo_Field9_before-crop.rpt_tracked.trxyt,3,0,Immobile,1.0,0.07118281073756472,0.97627009,8.8406281
20220601_H2B Halo_h2b halo_Field9_before-crop.rpt_tracked.trxyt,8,0,Immobile,0.9973743,0.3259245431623913,0.98864756,6.5376409
20220601_H2B Halo_h2b halo_Field9_before-crop.rpt_tracked.trxyt,12,2,Mobile,0.99999964,0.6617937840426876,1.2237659,8.8441905
20220601_H2B Halo_h2b halo_Field9_before-crop.rpt_tracked.trxyt,21,0,Immobile,0.6655728,0.24248568670550424,1.4256989,10.433697
20220601_H2B Halo_h2b halo_Field9_before-crop.rpt_tracked.trxyt,30,0,Immobile,1.0,0.14180669221404849,1.3775724,10.797217
20220601_H2B Halo_h2b halo_Field9_before-crop.rpt_tracked.trxyt,34,0,Immobile,1.0,0.06455371348489633,1.4907997,9.5088903
20220601_H2B Halo_h2b halo_Field9_before-crop.rpt_tracked.trxyt,36,0,Immobile,0.9999999,0.10446602783475656,0.83559191,3.7822438
20220601_H2B Halo_h2b halo_Field9_before-crop.rpt_tracked.trxyt,43,0,Immobile,0.99999976,0.0651981267808024,1.4811939,0.99219816
20220601_H2B Halo_h2b halo_Field9_before-crop.rpt_tracked.trxyt,50,0,Immobile,0.9999974,0.09257888841685293,1.5153924,0.93559526
20220601_H2B Halo_h2b halo_Field9_before-crop.rpt_tracked.trxyt,52,0,Immobile,1.0,0.10069484858102762,1.1524116,1.0125216
20220601_H2B Halo_h2b halo_Field9_before-crop.rpt_tracked.trxyt,54,2,Mobile,0.99997425,0.7709886420364414,1.5589305,11.169404
20220601_H2B Halo_h2b halo_Field9_before-crop.rpt_tracked.trxyt,69,0,Immobile,1.0,0.09317476780373488,1.6257666,9.5503761
20220601_H2B Halo_h2b halo_Field9_before-crop.rpt_tracked.trxyt,76,2,Mobile,0.9999877,0.6628016463769533,1.0562981,10.666951
20220601_H2B Halo_h2b halo_Field9_before-crop.rpt_tracked.trxyt,82,0,Immobile,1.0,0.09766693259071894,1.4131259,3.7489801
20220601_H2B Halo_h2b halo_Field9_before-crop.rpt_tracked.trxyt,97,0,Immobile,1.0,0.05341995407120827,1.405507,4.966667
20220601_H2B Halo_h2b halo_Field9_before-crop.rpt_tracked.trxyt,98,0,Immobile,0.99999845,0.10351139601227498,1.4811279,3.6444324
20220601_H2B Halo_h2b halo_Field9_before-crop.rpt_tracked.trxyt,116,0,Immobile,0.9999813,0.18755815867095713,1.4784467,10.57163
20220601_H2B Halo_h2b halo_Field9_before-crop.rpt_tracked.trxyt,117,0,Immobile,1.0,0.08928304097071335,0.89776336,1.7515848
20220601_H2B Halo_h2b halo_Field9_before-crop.rpt_tracked.trxyt,122,0,Immobile,1.0,0.1437194852086746,0.9788817,4.3609618
20220601_H2B Halo_h2b halo_Field9_before-crop.rpt_tracked.trxyt,123,0,Immobile,0.9999945,0.20665622794885732,1.5669576,2.4427714
20220601_H2B Halo_h2b halo_Field9_before-crop.rpt_tracked.trxyt,125,0,Immobile,1.0,0.08404148458213935,1.3174534,4.8545165
20220601_H2B Halo_h2b halo_Field9_before-crop.rpt_tracked.trxyt,126,0,Immobile,0.9999697,0.20297469812057833,1.7152557,2.4826953
20220601_H2B Halo_h2b halo_Field9_before-crop.rpt_tracked.trxyt,127,0,Immobile,1.0,0.14296595908467222,1.1313518,11.669397
20220601_H2B Halo_h2b halo_Field9_before-crop.rpt_tracked.trxyt,128,0,Immobile,0.9999995,0.17485837890016478,1.1113818,4.0928243
20220601_H2B Halo_h2b halo_Field9_before-crop.rpt_tracked.trxyt,136,0,Immobile,1.0,0.07977145550633954,0.82807988,8.3087006
20220601_H2B Halo_h2b halo_Field9_before-crop.rpt_tracked.trxyt,137,0,Immobile,1.0,0.14033414234960812,1.5171642,11.572452
20220601_H2B Halo_h2b halo_Field9_before-crop.rpt_tracked.trxyt,143,0,Immobile,1.0,0.12836361898863569,0.97774306,1.6787616
20220601_H2B Halo_h2b halo_Field9_before-crop.rpt_tracked.trxyt,144,0,Immobile,0.999997,0.1381976898368783,1.5636055,11.432669
20220601_H2B Halo_h2b halo_Field9_before-crop.rpt_tracked.trxyt,148,0,Immobile,0.9999999,0.14488695579437244,1.7560418,0.88289276
20220601_H2B Halo_h2b halo_Field9_before-crop.rpt_tracked.trxyt,149,0,Immobile,1.0,0.11174072493594213,1.6848819,11.50505
20220601_H2B Halo_h2b halo_Field9_before-crop.rpt_tracked.trxyt,158,0,Immobile,1.0,0.11551832451563673,1.6942348,2.3530987
20220601_H2B Halo_h2b halo_Field9_before-crop.rpt_tracked.trxyt,161,0,Immobile,0.99998116,0.17109556194376577,1.0083641,7.7288518
20220601_H2B Halo_h2b halo_Field9_before-crop.rpt_tracked.trxyt,165,0,Immobile,1.0,0.10444639938308069,1.6035047,2.3710905
20220601_H2B Halo_h2b halo_Field9_before-crop.rpt_tracked.trxyt,166,0,Immobile,1.0,0.14051449979856181,1.6921082,2.3666876
20220601_H2B Halo_h2b halo_Field9_before-crop.rpt_tracked.trxyt,167,0,Immobile,0.9996125,0.16215510497693222,1.6556834,2.3788077
20220601_H2B Halo_h2b halo_Field9_before-crop.rpt_tracked.trxyt,168,0,Immobile,0.71981275,0.18408507449682085,1.6259406,5.7170283
20220601_H2B Halo_h2b halo_Field9_before-crop.rpt_tracked.trxyt,175,0,Immobile,1.0,0.09955106862959107,0.95304445,4.8171172
20220601_H2B Halo_h2b halo_Field9_before-crop.rpt_tracked.trxyt,178,0,Immobile,0.9999752,0.17847243643011107,1.6876986,3.1375899
20220601_H2B Halo_h2b halo_Field9_before-crop.rpt_tracked.trxyt,190,0,Immobile,0.99999964,0.15575752884573524,1.6818114,5.3381318
20220601_H2B Halo_h2b halo_Field9_before-crop.rpt_tracked.trxyt,191,0,Immobile,0.9999999,0.07374434063906167,1.7553728,5.3138192
20220601_H2B Halo_h2b halo_Field9_before-crop.rpt_tracked.trxyt,195,0,Immobile,0.9999347,0.18982547859894833,1.7436679,5.2446929
20220601_H2B Halo_h2b halo_Field9_before-crop.rpt_tracked.trxyt,197,0,Immobile,1.0,0.17539085279321204,0.81403682,8.7269353
20220601_H2B Halo_h2b halo_Field9_before-crop.rpt_tracked.trxyt,205,0,Immobile,0.99999976,0.15035493733635436,0.95838098,8.7607203
20220601_H2B Halo_h2b halo_Field9_before-crop.rpt_tracked.trxyt,206,0,Immobile,1.0,0.1929338634522472,1.5189529,11.36093
