31/3/2023, 11:17, number of trained h2bs:24576
train history, test history, train_acc, test_acc
tf.Tensor(0.15353028, shape=(), dtype=float32)	tf.Tensor(0.28666002, shape=(), dtype=float32)	tf.Tensor(0.94391286, shape=(), dtype=float32)	tf.Tensor(0.88071895, shape=(), dtype=float32)
tf.Tensor(0.04942829, shape=(), dtype=float32)	tf.Tensor(0.14101084, shape=(), dtype=float32)	tf.Tensor(0.9837133, shape=(), dtype=float32)	tf.Tensor(0.95261437, shape=(), dtype=float32)
tf.Tensor(0.022421602, shape=(), dtype=float32)	tf.Tensor(0.04685285, shape=(), dtype=float32)	tf.Tensor(0.99363804, shape=(), dtype=float32)	tf.Tensor(0.98223037, shape=(), dtype=float32)
tf.Tensor(0.009416181, shape=(), dtype=float32)	tf.Tensor(0.07566117, shape=(), dtype=float32)	tf.Tensor(0.9979133, shape=(), dtype=float32)	tf.Tensor(0.97365195, shape=(), dtype=float32)
tf.Tensor(0.006043313, shape=(), dtype=float32)	tf.Tensor(0.019738927, shape=(), dtype=float32)	tf.Tensor(0.999033, shape=(), dtype=float32)	tf.Tensor(0.9928513, shape=(), dtype=float32)
tf.Tensor(0.0026971027, shape=(), dtype=float32)	tf.Tensor(0.028733272, shape=(), dtype=float32)	tf.Tensor(0.9998982, shape=(), dtype=float32)	tf.Tensor(0.9877451, shape=(), dtype=float32)
tf.Tensor(0.002915395, shape=(), dtype=float32)	tf.Tensor(0.033804547, shape=(), dtype=float32)	tf.Tensor(0.99954194, shape=(), dtype=float32)	tf.Tensor(0.9871324, shape=(), dtype=float32)
tf.Tensor(0.015455566, shape=(), dtype=float32)	tf.Tensor(0.14681557, shape=(), dtype=float32)	tf.Tensor(0.9940452, shape=(), dtype=float32)	tf.Tensor(0.96221405, shape=(), dtype=float32)
tf.Tensor(0.0044270684, shape=(), dtype=float32)	tf.Tensor(0.021071961, shape=(), dtype=float32)	tf.Tensor(0.9986767, shape=(), dtype=float32)	tf.Tensor(0.99264705, shape=(), dtype=float32)
tf.Tensor(0.0028851684, shape=(), dtype=float32)	tf.Tensor(0.014166151, shape=(), dtype=float32)	tf.Tensor(0.99938923, shape=(), dtype=float32)	tf.Tensor(0.99509805, shape=(), dtype=float32)
tf.Tensor(0.0013662461, shape=(), dtype=float32)	tf.Tensor(0.024062043, shape=(), dtype=float32)	tf.Tensor(0.9997964, shape=(), dtype=float32)	tf.Tensor(0.9904003, shape=(), dtype=float32)
tf.Tensor(0.0024583593, shape=(), dtype=float32)	tf.Tensor(0.026989438, shape=(), dtype=float32)	tf.Tensor(0.99949104, shape=(), dtype=float32)	tf.Tensor(0.99183005, shape=(), dtype=float32)
tf.Tensor(0.0031764542, shape=(), dtype=float32)	tf.Tensor(0.022803154, shape=(), dtype=float32)	tf.Tensor(0.9990839, shape=(), dtype=float32)	tf.Tensor(0.9914216, shape=(), dtype=float32)
tf.Tensor(0.0080518965, shape=(), dtype=float32)	tf.Tensor(0.029562268, shape=(), dtype=float32)	tf.Tensor(0.9970989, shape=(), dtype=float32)	tf.Tensor(0.9906046, shape=(), dtype=float32)
tf.Tensor(0.004273013, shape=(), dtype=float32)	tf.Tensor(0.019397419, shape=(), dtype=float32)	tf.Tensor(0.998524, shape=(), dtype=float32)	tf.Tensor(0.9932598, shape=(), dtype=float32)
tf.Tensor(0.002860543, shape=(), dtype=float32)	tf.Tensor(0.020574518, shape=(), dtype=float32)	tf.Tensor(0.9991857, shape=(), dtype=float32)	tf.Tensor(0.99346405, shape=(), dtype=float32)
tf.Tensor(0.0008994433, shape=(), dtype=float32)	tf.Tensor(0.017363092, shape=(), dtype=float32)	tf.Tensor(0.9998473, shape=(), dtype=float32)	tf.Tensor(0.99346405, shape=(), dtype=float32)
tf.Tensor(0.0017205707, shape=(), dtype=float32)	tf.Tensor(0.027611561, shape=(), dtype=float32)	tf.Tensor(0.99944013, shape=(), dtype=float32)	tf.Tensor(0.99080884, shape=(), dtype=float32)
tf.Tensor(0.0023069747, shape=(), dtype=float32)	tf.Tensor(0.038182598, shape=(), dtype=float32)	tf.Tensor(0.99938923, shape=(), dtype=float32)	tf.Tensor(0.9897876, shape=(), dtype=float32)
tf.Tensor(0.003111878, shape=(), dtype=float32)	tf.Tensor(0.014785016, shape=(), dtype=float32)	tf.Tensor(0.9987785, shape=(), dtype=float32)	tf.Tensor(0.9944853, shape=(), dtype=float32)
tf.Tensor(0.00048462625, shape=(), dtype=float32)	tf.Tensor(0.016502803, shape=(), dtype=float32)	tf.Tensor(1.0, shape=(), dtype=float32)	tf.Tensor(0.9940768, shape=(), dtype=float32)
tf.Tensor(9.295227e-05, shape=(), dtype=float32)	tf.Tensor(0.018287702, shape=(), dtype=float32)	tf.Tensor(1.0, shape=(), dtype=float32)	tf.Tensor(0.9938725, shape=(), dtype=float32)
tf.Tensor(0.00012371474, shape=(), dtype=float32)	tf.Tensor(0.02798681, shape=(), dtype=float32)	tf.Tensor(1.0, shape=(), dtype=float32)	tf.Tensor(0.99183005, shape=(), dtype=float32)
tf.Tensor(0.00010432252, shape=(), dtype=float32)	tf.Tensor(0.01892978, shape=(), dtype=float32)	tf.Tensor(1.0, shape=(), dtype=float32)	tf.Tensor(0.9940768, shape=(), dtype=float32)
tf.Tensor(2.7165162e-05, shape=(), dtype=float32)	tf.Tensor(0.018427014, shape=(), dtype=float32)	tf.Tensor(1.0, shape=(), dtype=float32)	tf.Tensor(0.9944853, shape=(), dtype=float32)
tf.Tensor(1.877154e-05, shape=(), dtype=float32)	tf.Tensor(0.018785836, shape=(), dtype=float32)	tf.Tensor(1.0, shape=(), dtype=float32)	tf.Tensor(0.9940768, shape=(), dtype=float32)
tf.Tensor(1.3576745e-05, shape=(), dtype=float32)	tf.Tensor(0.019193258, shape=(), dtype=float32)	tf.Tensor(1.0, shape=(), dtype=float32)	tf.Tensor(0.9938725, shape=(), dtype=float32)
tf.Tensor(9.040752e-06, shape=(), dtype=float32)	tf.Tensor(0.020152707, shape=(), dtype=float32)	tf.Tensor(1.0, shape=(), dtype=float32)	tf.Tensor(0.9936683, shape=(), dtype=float32)
tf.Tensor(6.7342085e-06, shape=(), dtype=float32)	tf.Tensor(0.019738154, shape=(), dtype=float32)	tf.Tensor(1.0, shape=(), dtype=float32)	tf.Tensor(0.9938725, shape=(), dtype=float32)
tf.Tensor(5.8520623e-06, shape=(), dtype=float32)	tf.Tensor(0.019384658, shape=(), dtype=float32)	tf.Tensor(1.0, shape=(), dtype=float32)	tf.Tensor(0.9936683, shape=(), dtype=float32)
