filename,h2b_id,predicted_class_id,predicted_class_name,probability,maximum_radius,first_x_position,first_y_position
Field10_30s_crop.mldatx_tracked - Copie.trxyt,2,0,Immobile,0.9985422,0.13740619334332355,0.94914628,14.407571
Field10_30s_crop.mldatx_tracked - Copie.trxyt,3,0,Immobile,0.9707093,0.07720597577111511,1.4060015,3.709108
Field10_30s_crop.mldatx_tracked - Copie.trxyt,6,2,Mobile,0.99955875,0.15506964708523685,1.4586559,3.7223166
Field10_30s_crop.mldatx_tracked - Copie.trxyt,7,0,Immobile,0.99360245,0.08625834423828223,1.4609496,3.8034323
Field10_30s_crop.mldatx_tracked - Copie.trxyt,10,2,Mobile,0.9799984,0.13063082970761514,1.3459375,3.7005809
Field10_30s_crop.mldatx_tracked - Copie.trxyt,15,2,Mobile,0.9999926,0.43986070360768686,1.3023925,13.756359
Field10_30s_crop.mldatx_tracked - Copie.trxyt,19,2,Mobile,0.92607135,0.1434680155048161,1.9585448,11.485072
Field10_30s_crop.mldatx_tracked - Copie.trxyt,23,0,Immobile,0.99423015,0.043606018683663435,2.0748802,11.451088
Field10_30s_crop.mldatx_tracked - Copie.trxyt,27,0,Immobile,0.9962037,0.08162120925157877,1.9969154,11.387747
Field10_30s_crop.mldatx_tracked - Copie.trxyt,28,0,Immobile,0.9999901,0.04460044420059086,2.0715229,11.397152
Field10_30s_crop.mldatx_tracked - Copie.trxyt,29,0,Immobile,0.9968117,0.09684227545493874,2.0550349,11.48779
Field10_30s_crop.mldatx_tracked - Copie.trxyt,46,0,Immobile,0.9921598,0.08073538989228952,1.1273992,5.8669338
Field10_30s_crop.mldatx_tracked - Copie.trxyt,48,0,Immobile,0.9999821,0.08541869859960423,1.0578071,5.8665592
Field10_30s_crop.mldatx_tracked - Copie.trxyt,51,0,Immobile,1.0,0.13650762761062113,1.0515476,5.7836411
Field10_30s_crop.mldatx_tracked - Copie.trxyt,52,0,Immobile,0.9942052,0.034013481669038566,1.2241797,5.8567082
Field10_30s_crop.mldatx_tracked - Copie.trxyt,55,0,Immobile,0.99940515,0.04273528961233332,1.0254003,5.7385043
Field10_30s_crop.mldatx_tracked - Copie.trxyt,57,0,Immobile,0.99999845,0.06938726874902942,1.1427867,5.7447281
Field10_30s_crop.mldatx_tracked - Copie.trxyt,58,2,Mobile,0.9992186,0.16667878045393072,0.93389444,6.6729784
Field10_30s_crop.mldatx_tracked - Copie.trxyt,59,2,Mobile,0.99999654,0.24907984537005826,0.84587839,7.1925864
