filename,h2b_id,predicted_class_id,predicted_class_name,probability,maximum_radius,first_x_position,first_y_position
Field1_30s_after_crop.mldatx_tracked - Copie.trxyt,3,0,Immobile,1.0,0.14639529299731585,1.1665381,5.1861304
Field1_30s_after_crop.mldatx_tracked - Copie.trxyt,5,0,Immobile,0.99999964,0.1879488912162297,1.9069301,8.1889318
Field1_30s_after_crop.mldatx_tracked - Copie.trxyt,6,2,Mobile,0.9779848,0.21874047274265543,1.9318673,8.0429377
Field1_30s_after_crop.mldatx_tracked - Copie.trxyt,7,0,Immobile,1.0,0.14126806769719785,1.9881483,8.2125244
Field1_30s_after_crop.mldatx_tracked - Copie.trxyt,16,0,Immobile,0.91774905,0.02601170663163035,2.0797047,12.782253
Field1_30s_after_crop.mldatx_tracked - Copie.trxyt,17,2,Mobile,0.99999917,0.39264566747028296,0.92461399,7.9517724
Field1_30s_after_crop.mldatx_tracked - Copie.trxyt,18,2,Mobile,0.99549145,0.1354071744349226,0.945542,8.1427322
Field1_30s_after_crop.mldatx_tracked - Copie.trxyt,19,0,Immobile,0.9753921,0.09945634207027737,1.942098,12.773697
Field1_30s_after_crop.mldatx_tracked - Copie.trxyt,20,2,Mobile,0.93502223,0.12499458161981476,1.0232488,8.010572
Field1_30s_after_crop.mldatx_tracked - Copie.trxyt,23,2,Mobile,0.99983466,0.1485461362926009,1.0589753,7.907388
Field1_30s_after_crop.mldatx_tracked - Copie.trxyt,24,0,Immobile,0.9993488,0.12852605939224937,1.9301717,3.1739205
Field1_30s_after_crop.mldatx_tracked - Copie.trxyt,28,0,Immobile,0.9869055,0.1433963562466112,0.92558523,8.0962706
Field1_30s_after_crop.mldatx_tracked - Copie.trxyt,29,2,Mobile,0.99999976,0.3135291200925989,1.0128091,8.0172136
Field1_30s_after_crop.mldatx_tracked - Copie.trxyt,31,2,Mobile,0.9999987,0.17358041372931443,1.3726401,11.832585
Field1_30s_after_crop.mldatx_tracked - Copie.trxyt,34,2,Mobile,0.99570954,0.1649642691312577,1.347744,11.791703
Field1_30s_after_crop.mldatx_tracked - Copie.trxyt,38,0,Immobile,0.94313395,0.10687894439172672,1.2284569,11.551758
Field1_30s_after_crop.mldatx_tracked - Copie.trxyt,43,2,Mobile,0.999998,0.2561638984750975,1.1457325,11.610519
Field1_30s_after_crop.mldatx_tracked - Copie.trxyt,48,0,Immobile,1.0,0.1508350647383085,1.2710268,11.684305
Field1_30s_after_crop.mldatx_tracked - Copie.trxyt,49,2,Mobile,0.99931705,0.14278786759472933,1.3583824,11.721709
Field1_30s_after_crop.mldatx_tracked - Copie.trxyt,54,2,Mobile,0.9999988,0.19221237960485252,1.3856214,11.823102
Field1_30s_after_crop.mldatx_tracked - Copie.trxyt,57,0,Immobile,0.98655486,0.10668966131467461,1.2718555,11.959395
Field1_30s_after_crop.mldatx_tracked - Copie.trxyt,58,2,Mobile,0.9993119,0.16939504072519224,1.2450897,11.793138
Field1_30s_after_crop.mldatx_tracked - Copie.trxyt,59,0,Immobile,0.98289883,0.06883033646038669,1.138522,11.525319
Field1_30s_after_crop.mldatx_tracked - Copie.trxyt,60,2,Mobile,0.99999344,0.18205938104190103,1.12759,11.796577
Field1_30s_after_crop.mldatx_tracked - Copie.trxyt,61,0,Immobile,1.0,0.15930859241362433,1.9143315,11.183022
Field1_30s_after_crop.mldatx_tracked - Copie.trxyt,62,0,Immobile,0.9977737,0.049854910314732256,2.0191798,11.276962
Field1_30s_after_crop.mldatx_tracked - Copie.trxyt,63,0,Immobile,0.99999964,0.1509781990004188,2.0232032,11.314041
