filename,h2b_id,predicted_class_id,predicted_class_name,probability,maximum_radius,first_x_position,first_y_position
Field2_cell3_ir_crop.mldatx_tracked - Copie.trxyt,3,2,Mobile,0.9999995,0.2604541607135507,1.7264575,8.930868
Field2_cell3_ir_crop.mldatx_tracked - Copie.trxyt,5,2,Mobile,0.9999964,0.2508085237777217,1.3548326,1.699363
Field2_cell3_ir_crop.mldatx_tracked - Copie.trxyt,10,2,Mobile,0.99999976,0.32970733792363527,1.4481088,8.8235184
Field2_cell3_ir_crop.mldatx_tracked - Copie.trxyt,18,0,Immobile,0.9879775,0.11052180468943683,1.7576542,8.8676741
Field2_cell3_ir_crop.mldatx_tracked - Copie.trxyt,21,0,Immobile,0.9940806,0.09561645584249598,1.6980412,6.7409407
Field2_cell3_ir_crop.mldatx_tracked - Copie.trxyt,22,2,Mobile,0.9999999,0.15179276182460077,1.6460659,8.7559691
Field2_cell3_ir_crop.mldatx_tracked - Copie.trxyt,25,2,Mobile,0.9799849,0.14912022760527818,1.2423519,1.6362935
Field2_cell3_ir_crop.mldatx_tracked - Copie.trxyt,27,2,Mobile,0.9999995,0.2044808788352838,1.2743698,1.6870134
Field2_cell3_ir_crop.mldatx_tracked - Copie.trxyt,35,2,Mobile,0.9995234,0.1323048733760399,1.5299885,3.5955138
Field2_cell3_ir_crop.mldatx_tracked - Copie.trxyt,36,0,Immobile,0.9605753,0.07076669532287098,1.5687408,8.8980278
Field2_cell3_ir_crop.mldatx_tracked - Copie.trxyt,38,2,Mobile,0.99999595,0.31834053750937835,1.9332344,6.7413447
Field2_cell3_ir_crop.mldatx_tracked - Copie.trxyt,39,2,Mobile,0.9999881,0.20001558381731172,1.0683417,1.8048801
Field2_cell3_ir_crop.mldatx_tracked - Copie.trxyt,41,0,Immobile,0.9998716,0.10855514644732403,1.7321926,8.8107145
Field2_cell3_ir_crop.mldatx_tracked - Copie.trxyt,47,0,Immobile,0.9886578,0.1085257098924021,1.6047276,8.7716448
Field2_cell3_ir_crop.mldatx_tracked - Copie.trxyt,48,2,Mobile,0.9999889,0.1750164447908824,1.2132304,1.768839
Field2_cell3_ir_crop.mldatx_tracked - Copie.trxyt,53,0,Immobile,0.80020124,0.10118813119773488,1.679592,6.5950519
Field2_cell3_ir_crop.mldatx_tracked - Copie.trxyt,54,0,Immobile,0.99997914,0.10385560052544104,1.5242683,3.5864945
Field2_cell3_ir_crop.mldatx_tracked - Copie.trxyt,57,0,Immobile,0.99952435,0.08832197980123628,1.3133101,1.682774
Field2_cell3_ir_crop.mldatx_tracked - Copie.trxyt,60,0,Immobile,0.8311573,0.0988096543514345,1.3268395,1.7180675
Field2_cell3_ir_crop.mldatx_tracked - Copie.trxyt,65,0,Immobile,0.9960295,0.02923731951752733,1.0850479,3.0112957
Field2_cell3_ir_crop.mldatx_tracked - Copie.trxyt,69,0,Immobile,0.9605753,0.07658783198393843,1.1070418,3.0022905
Field2_cell3_ir_crop.mldatx_tracked - Copie.trxyt,70,2,Mobile,0.9329951,0.12655253970604527,1.6732572,8.7735325
Field2_cell3_ir_crop.mldatx_tracked - Copie.trxyt,71,2,Mobile,0.99999547,0.20067563459478516,1.5693142,8.707091
Field2_cell3_ir_crop.mldatx_tracked - Copie.trxyt,79,0,Immobile,0.9324604,0.06499433947352637,1.056679,3.0087986
Field2_cell3_ir_crop.mldatx_tracked - Copie.trxyt,83,0,Immobile,0.9999733,0.14667084650076054,1.6813066,8.8950193
Field2_cell3_ir_crop.mldatx_tracked - Copie.trxyt,87,2,Mobile,0.76141256,0.12386253976994017,1.0948328,1.7941469
Field2_cell3_ir_crop.mldatx_tracked - Copie.trxyt,88,0,Immobile,0.99756783,0.05391921700108388,1.5638703,8.8509257
Field2_cell3_ir_crop.mldatx_tracked - Copie.trxyt,89,2,Mobile,0.9996983,0.1827413265428757,1.1550476,1.7628852
Field2_cell3_ir_crop.mldatx_tracked - Copie.trxyt,90,2,Mobile,0.9999901,0.6283842376572235,1.3245687,3.6489724
Field2_cell3_ir_crop.mldatx_tracked - Copie.trxyt,91,2,Mobile,0.9999237,0.18841606653091061,1.6338239,8.7787058
Field2_cell3_ir_crop.mldatx_tracked - Copie.trxyt,96,0,Immobile,0.98030925,0.07519728852053109,1.3360442,1.7638404
Field2_cell3_ir_crop.mldatx_tracked - Copie.trxyt,97,2,Mobile,0.9999999,0.3999463772575643,1.5055021,8.7010788
Field2_cell3_ir_crop.mldatx_tracked - Copie.trxyt,103,2,Mobile,0.9999994,0.20393367661082837,1.8278443,8.9444208
Field2_cell3_ir_crop.mldatx_tracked - Copie.trxyt,104,2,Mobile,0.99999905,0.18265271532679175,1.1118823,3.0299307
Field2_cell3_ir_crop.mldatx_tracked - Copie.trxyt,106,2,Mobile,0.999995,0.15601061851303555,1.8181285,8.8210329
Field2_cell3_ir_crop.mldatx_tracked - Copie.trxyt,109,0,Immobile,0.9996363,0.09163223705497976,1.2380801,1.6856462
Field2_cell3_ir_crop.mldatx_tracked - Copie.trxyt,112,0,Immobile,0.9455938,0.08674764957006045,1.6895829,6.8075039
Field2_cell3_ir_crop.mldatx_tracked - Copie.trxyt,118,0,Immobile,0.90578324,0.11584557583598167,1.7086519,8.7502254
Field2_cell3_ir_crop.mldatx_tracked - Copie.trxyt,119,2,Mobile,0.9999999,0.21423595313317514,1.6691725,8.9355563
Field2_cell3_ir_crop.mldatx_tracked - Copie.trxyt,122,2,Mobile,0.9999995,0.15242421591682837,1.6478105,8.9134083
Field2_cell3_ir_crop.mldatx_tracked - Copie.trxyt,126,0,Immobile,0.9060182,0.13713693947088063,1.2754484,1.7278508
Field2_cell3_ir_crop.mldatx_tracked - Copie.trxyt,127,2,Mobile,0.9999994,0.22255368866505015,1.5956748,8.7800685
Field2_cell3_ir_crop.mldatx_tracked - Copie.trxyt,128,0,Immobile,0.6559228,0.14018991716553672,1.3569777,2.8624664
Field2_cell3_ir_crop.mldatx_tracked - Copie.trxyt,135,2,Mobile,0.8294744,0.14080342345358643,1.1880501,1.7622482
