filename,h2b_id,predicted_class_id,predicted_class_name,probability,maximum_radius,first_x_position,first_y_position
Field9_1mins_crop.mldatx_tracked - Copie.trxyt,1,0,Immobile,0.99999905,0.14857019876092234,1.2382514,4.0851177
Field9_1mins_crop.mldatx_tracked - Copie.trxyt,2,1,Hybrid,0.99991393,0.6276179000953127,2.1126098,5.5400682
Field9_1mins_crop.mldatx_tracked - Copie.trxyt,5,2,Mobile,0.99999905,0.3882882184603853,1.1073036,1.5047712
Field9_1mins_crop.mldatx_tracked - Copie.trxyt,6,2,Mobile,0.9999995,0.4518708398593784,2.0366363,1.0307638
Field9_1mins_crop.mldatx_tracked - Copie.trxyt,7,2,Mobile,0.9999995,0.19882657017501448,1.7272746,11.213341
Field9_1mins_crop.mldatx_tracked - Copie.trxyt,8,0,Immobile,0.99662364,0.06915283160919682,2.1516445,5.9918916
Field9_1mins_crop.mldatx_tracked - Copie.trxyt,9,0,Immobile,0.9995096,0.16386614950117012,1.1281748,4.0415001
Field9_1mins_crop.mldatx_tracked - Copie.trxyt,10,2,Mobile,0.9999999,0.24357912547090307,1.6120312,1.2749395
Field9_1mins_crop.mldatx_tracked - Copie.trxyt,11,1,Hybrid,0.9882266,0.2508048364193364,2.1128576,5.977729
Field9_1mins_crop.mldatx_tracked - Copie.trxyt,12,0,Immobile,0.9999999,0.08569206068224827,1.7956303,9.3682968
Field9_1mins_crop.mldatx_tracked - Copie.trxyt,13,0,Immobile,0.97982717,0.026648763580323913,1.8856248,1.5381589
Field9_1mins_crop.mldatx_tracked - Copie.trxyt,14,2,Mobile,0.99679834,0.13806620311864867,1.887207,1.5044545
Field9_1mins_crop.mldatx_tracked - Copie.trxyt,15,2,Mobile,0.99999976,0.19473862216134746,1.8967702,1.6189115
Field9_1mins_crop.mldatx_tracked - Copie.trxyt,16,0,Immobile,0.9999989,0.09800785054678034,1.8325584,1.5665161
Field9_1mins_crop.mldatx_tracked - Copie.trxyt,20,2,Mobile,1.0,0.280466369027108,1.1690928,13.590153
Field9_1mins_crop.mldatx_tracked - Copie.trxyt,22,2,Mobile,0.99328035,0.144068864017212,1.3769145,13.515318
Field9_1mins_crop.mldatx_tracked - Copie.trxyt,23,2,Mobile,0.9988418,0.17044732924645592,1.2481561,13.585767
Field9_1mins_crop.mldatx_tracked - Copie.trxyt,29,0,Immobile,0.88380617,0.058793633636984984,1.1098781,13.499271
Field9_1mins_crop.mldatx_tracked - Copie.trxyt,30,0,Immobile,0.9999999,0.08158026333795415,1.1262823,11.09506
Field9_1mins_crop.mldatx_tracked - Copie.trxyt,31,0,Immobile,0.9832924,0.0694973030168076,1.2069686,13.514001
Field9_1mins_crop.mldatx_tracked - Copie.trxyt,32,0,Immobile,0.99999905,0.169257079823119,1.1516832,11.101342
Field9_1mins_crop.mldatx_tracked - Copie.trxyt,34,0,Immobile,0.9999871,0.1667673501540695,1.0159664,11.17446
Field9_1mins_crop.mldatx_tracked - Copie.trxyt,37,0,Immobile,0.99984276,0.21645928150672974,1.0456855,11.158359
Field9_1mins_crop.mldatx_tracked - Copie.trxyt,39,0,Immobile,0.9989711,0.24997675499055905,1.1099049,11.311961
Field9_1mins_crop.mldatx_tracked - Copie.trxyt,41,0,Immobile,1.0,0.1340693197765995,1.2743497,11.333851
Field9_1mins_crop.mldatx_tracked - Copie.trxyt,44,0,Immobile,0.8109325,0.13990444177380595,1.1815481,11.255137
Field9_1mins_crop.mldatx_tracked - Copie.trxyt,46,0,Immobile,0.90343374,0.14544727217737688,1.2333881,11.311483
Field9_1mins_crop.mldatx_tracked - Copie.trxyt,47,0,Immobile,0.9998573,0.3475317748630912,1.0871728,11.289957
Field9_1mins_crop.mldatx_tracked - Copie.trxyt,50,1,Hybrid,1.0,1.058523915564145,1.2366973,11.415085
Field9_1mins_crop.mldatx_tracked - Copie.trxyt,53,0,Immobile,1.0,0.078123508462178,1.2322059,11.252584
Field9_1mins_crop.mldatx_tracked - Copie.trxyt,54,2,Mobile,0.9999695,0.9605462857039022,1.8152948,10.645105
Field9_1mins_crop.mldatx_tracked - Copie.trxyt,56,0,Immobile,0.9843227,0.08160945392103776,1.8738133,10.701595
Field9_1mins_crop.mldatx_tracked - Copie.trxyt,57,0,Immobile,1.0,0.08416466414856066,1.2789645,11.347054
Field9_1mins_crop.mldatx_tracked - Copie.trxyt,58,0,Immobile,0.99999535,0.17034753673716585,1.8549586,4.4757882
Field9_1mins_crop.mldatx_tracked - Copie.trxyt,59,0,Immobile,1.0,0.15363115229955757,1.2353284,11.548662
Field9_1mins_crop.mldatx_tracked - Copie.trxyt,60,0,Immobile,0.9995291,0.027857921612352794,1.8305071,10.755754
Field9_1mins_crop.mldatx_tracked - Copie.trxyt,61,0,Immobile,0.9960295,0.029403446124731395,1.2838772,11.452016
Field9_1mins_crop.mldatx_tracked - Copie.trxyt,62,0,Immobile,0.99999976,0.1079068495138754,1.8738526,10.800549
Field9_1mins_crop.mldatx_tracked - Copie.trxyt,65,2,Mobile,0.9171242,0.1448505237087186,1.8859467,10.759308
Field9_1mins_crop.mldatx_tracked - Copie.trxyt,66,0,Immobile,1.0,0.09418710089730944,1.308257,11.393634
Field9_1mins_crop.mldatx_tracked - Copie.trxyt,68,0,Immobile,0.9999913,0.19356794681064832,1.4303854,11.358805
Field9_1mins_crop.mldatx_tracked - Copie.trxyt,69,0,Immobile,0.91891545,0.14049605282216993,1.7916479,10.677192
Field9_1mins_crop.mldatx_tracked - Copie.trxyt,71,0,Immobile,0.99955124,0.0871776209416154,1.3307168,11.37532
Field9_1mins_crop.mldatx_tracked - Copie.trxyt,73,2,Mobile,0.9999788,0.9688785718446304,1.883755,10.68211
Field9_1mins_crop.mldatx_tracked - Copie.trxyt,74,0,Immobile,0.99999857,0.04826549424019181,1.8554926,10.643631
Field9_1mins_crop.mldatx_tracked - Copie.trxyt,75,0,Immobile,0.94014233,0.13580679705007387,1.4147715,11.319843
Field9_1mins_crop.mldatx_tracked - Copie.trxyt,76,0,Immobile,0.99992037,0.11109173656145696,1.8396459,10.551475
Field9_1mins_crop.mldatx_tracked - Copie.trxyt,78,0,Immobile,1.0,0.1328978130643615,1.4303939,11.438962
Field9_1mins_crop.mldatx_tracked - Copie.trxyt,80,0,Immobile,0.99999857,0.08196677994096117,1.4201764,11.3309
Field9_1mins_crop.mldatx_tracked - Copie.trxyt,82,0,Immobile,0.9072789,0.0804081237351678,1.3453421,11.431521
Field9_1mins_crop.mldatx_tracked - Copie.trxyt,83,0,Immobile,0.99844426,0.1800660754656751,1.2733389,11.459039
Field9_1mins_crop.mldatx_tracked - Copie.trxyt,84,0,Immobile,0.9575792,0.0582069929991232,1.3290398,11.339383
Field9_1mins_crop.mldatx_tracked - Copie.trxyt,85,0,Immobile,0.9535353,0.15563478474441364,1.2785713,11.346709
Field9_1mins_crop.mldatx_tracked - Copie.trxyt,89,0,Immobile,0.9999968,0.07444222130726647,1.2781604,11.285141
Field9_1mins_crop.mldatx_tracked - Copie.trxyt,90,2,Mobile,0.99999976,0.20649772376375022,2.1929615,12.782598
Field9_1mins_crop.mldatx_tracked - Copie.trxyt,91,0,Immobile,0.9986217,0.27194042155656145,1.3859803,11.426023
Field9_1mins_crop.mldatx_tracked - Copie.trxyt,93,2,Mobile,1.0,0.2362887752320025,1.0158479,12.284661
Field9_1mins_crop.mldatx_tracked - Copie.trxyt,94,0,Immobile,1.0,0.0371790285585848,1.2269902,11.338864
Field9_1mins_crop.mldatx_tracked - Copie.trxyt,95,2,Mobile,0.9999745,0.5717383848180059,0.88190635,11.813305
Field9_1mins_crop.mldatx_tracked - Copie.trxyt,96,0,Immobile,1.0,0.06600585568720348,1.3620932,11.334535
Field9_1mins_crop.mldatx_tracked - Copie.trxyt,98,1,Hybrid,0.7437165,0.3661755920576879,1.3001022,11.266068
Field9_1mins_crop.mldatx_tracked - Copie.trxyt,99,0,Immobile,1.0,0.08417280065413064,1.5643262,6.8683212
Field9_1mins_crop.mldatx_tracked - Copie.trxyt,100,2,Mobile,0.99999905,0.18578129461711146,1.2917157,11.469642
Field9_1mins_crop.mldatx_tracked - Copie.trxyt,101,0,Immobile,1.0,0.16379058473187683,1.1916794,11.481417
Field9_1mins_crop.mldatx_tracked - Copie.trxyt,103,2,Mobile,0.9999478,0.15036624868447024,1.1614335,11.43273
Field9_1mins_crop.mldatx_tracked - Copie.trxyt,104,0,Immobile,0.9632987,0.09036593594070735,1.3300187,11.450808
