filename,h2b_id,predicted_class_id,predicted_class_name,probability,maximum_radius,first_x_position,first_y_position
field5_ir_crop.rpt_tracked - Copie.trxyt,1,0,Immobile,1.0,0.18642928918024135,1.9391225,4.1267916
field5_ir_crop.rpt_tracked - Copie.trxyt,3,0,Immobile,0.9999994,0.10079525097543009,1.8887298,4.1117043
field5_ir_crop.rpt_tracked - Copie.trxyt,13,2,Mobile,0.9999988,0.25666301849679657,0.97973713,3.8083583
field5_ir_crop.rpt_tracked - Copie.trxyt,16,0,Immobile,0.9979214,0.03781738539944285,1.0916673,1.8774963
field5_ir_crop.rpt_tracked - Copie.trxyt,20,2,Mobile,0.9999212,0.16349861280894726,1.1428663,3.1041582
field5_ir_crop.rpt_tracked - Copie.trxyt,21,2,Mobile,0.9968549,0.15986889785311462,0.9975279,1.7990037
field5_ir_crop.rpt_tracked - Copie.trxyt,27,0,Immobile,0.99999857,0.09949941668497347,1.1927263,2.2325758
field5_ir_crop.rpt_tracked - Copie.trxyt,32,2,Mobile,0.99999845,0.20894937102800765,1.1271788,2.3493747
field5_ir_crop.rpt_tracked - Copie.trxyt,36,0,Immobile,0.8640053,0.12603682984417672,1.2057782,2.2043799
field5_ir_crop.rpt_tracked - Copie.trxyt,38,0,Immobile,0.98161155,0.07784905305692556,1.1909545,2.3274689
field5_ir_crop.rpt_tracked - Copie.trxyt,39,2,Mobile,0.981094,0.12036907487328313,1.1470702,2.2975853
field5_ir_crop.rpt_tracked - Copie.trxyt,44,0,Immobile,0.9682179,0.09051236208413758,1.2174745,2.2626437
field5_ir_crop.rpt_tracked - Copie.trxyt,48,0,Immobile,0.9999988,0.0896852211593977,1.6905419,4.2340002
field5_ir_crop.rpt_tracked - Copie.trxyt,50,0,Immobile,0.9786699,0.061983988853412705,1.2590226,2.3292273
field5_ir_crop.rpt_tracked - Copie.trxyt,51,0,Immobile,0.98026824,0.023046050725015203,1.7876857,4.1946631
field5_ir_crop.rpt_tracked - Copie.trxyt,52,0,Immobile,0.99999785,0.17871855201106007,1.2360384,2.2311245
field5_ir_crop.rpt_tracked - Copie.trxyt,54,2,Mobile,0.99999857,0.1920238323248966,1.5782088,5.1757371
field5_ir_crop.rpt_tracked - Copie.trxyt,57,0,Immobile,0.99970764,0.07167774411747332,1.2009906,2.2669088
field5_ir_crop.rpt_tracked - Copie.trxyt,59,0,Immobile,0.99919945,0.10737590171961302,1.1669551,2.2178225
field5_ir_crop.rpt_tracked - Copie.trxyt,60,0,Immobile,0.9551001,0.14769597490121383,1.4594322,5.052052
field5_ir_crop.rpt_tracked - Copie.trxyt,62,0,Immobile,0.9993368,0.04739330384875065,1.255261,2.2444203
field5_ir_crop.rpt_tracked - Copie.trxyt,66,0,Immobile,0.9965468,0.03336593627548912,1.2157122,2.2241947
field5_ir_crop.rpt_tracked - Copie.trxyt,67,2,Mobile,0.99304247,0.17494408094476924,1.269892,2.2862042
field5_ir_crop.rpt_tracked - Copie.trxyt,68,0,Immobile,1.0,0.147613118451241,1.2264614,2.2193566
field5_ir_crop.rpt_tracked - Copie.trxyt,73,0,Immobile,0.99999976,0.07637799004353293,1.2631689,2.3142822
field5_ir_crop.rpt_tracked - Copie.trxyt,74,2,Mobile,0.9999881,0.25089666110066117,1.1529432,2.2854966
field5_ir_crop.rpt_tracked - Copie.trxyt,76,0,Immobile,1.0,0.14415860902759167,1.1850014,2.2586803
field5_ir_crop.rpt_tracked - Copie.trxyt,78,0,Immobile,0.9991019,0.04961869152204623,1.5733667,9.620739
field5_ir_crop.rpt_tracked - Copie.trxyt,79,1,Hybrid,1.0,0.2787852564065216,1.2143635,2.2500914
field5_ir_crop.rpt_tracked - Copie.trxyt,80,0,Immobile,0.98767453,0.031159380205004264,1.4596336,11.695148
field5_ir_crop.rpt_tracked - Copie.trxyt,84,0,Immobile,1.0,0.12721579650318612,1.1777151,2.2632553
field5_ir_crop.rpt_tracked - Copie.trxyt,88,0,Immobile,1.0,0.08235454013884116,1.181044,2.2110153
field5_ir_crop.rpt_tracked - Copie.trxyt,101,0,Immobile,0.99711406,0.09034050620823372,1.5450046,10.751683
field5_ir_crop.rpt_tracked - Copie.trxyt,105,0,Immobile,0.9437474,0.09777145784455721,1.3678597,2.290656
field5_ir_crop.rpt_tracked - Copie.trxyt,106,0,Immobile,0.99996996,0.09841184612642039,1.6103766,8.7669988
field5_ir_crop.rpt_tracked - Copie.trxyt,108,0,Immobile,0.9742467,0.11657959880755302,1.5657602,8.8905882
field5_ir_crop.rpt_tracked - Copie.trxyt,109,0,Immobile,0.9994677,0.04776818510944193,1.7137377,8.776182
field5_ir_crop.rpt_tracked - Copie.trxyt,113,0,Immobile,0.99735224,0.04219074277540016,1.0917144,6.1145393
field5_ir_crop.rpt_tracked - Copie.trxyt,115,0,Immobile,0.9979214,0.03694096685808295,1.5366347,2.2327722
