filename,h2b_id,predicted_class_id,predicted_class_name,probability,maximum_radius,first_x_position,first_y_position
no_Olaparib_Field4_1min_crop.mldatx_tracked - Copie.trxyt,1,2,Mobile,1.0,0.4719643879816466,1.75477,8.1735947
no_Olaparib_Field4_1min_crop.mldatx_tracked - Copie.trxyt,5,2,Mobile,0.99999225,0.6261784399638173,1.8793269,7.9247456
no_Olaparib_Field4_1min_crop.mldatx_tracked - Copie.trxyt,6,2,Mobile,0.9999976,0.26805199499388166,2.1410207,5.0678757
no_Olaparib_Field4_1min_crop.mldatx_tracked - Copie.trxyt,7,2,Mobile,0.9999968,0.8568454225056519,1.5709853,9.1380593
no_Olaparib_Field4_1min_crop.mldatx_tracked - Copie.trxyt,9,2,Mobile,0.9999429,0.43923616717484676,2.1151519,5.9238649
no_Olaparib_Field4_1min_crop.mldatx_tracked - Copie.trxyt,11,2,Mobile,0.9999999,0.3929446972862979,1.0972839,6.0839889
no_Olaparib_Field4_1min_crop.mldatx_tracked - Copie.trxyt,13,0,Immobile,0.99999833,0.12002824231009102,2.0175248,7.1164214
no_Olaparib_Field4_1min_crop.mldatx_tracked - Copie.trxyt,15,0,Immobile,0.9564217,0.0807661467498609,2.0719839,7.1677134
no_Olaparib_Field4_1min_crop.mldatx_tracked - Copie.trxyt,16,0,Immobile,1.0,0.11166977845773685,1.9950908,7.0953763
no_Olaparib_Field4_1min_crop.mldatx_tracked - Copie.trxyt,17,0,Immobile,0.9998474,0.05868044315894349,2.070903,7.081376
no_Olaparib_Field4_1min_crop.mldatx_tracked - Copie.trxyt,18,0,Immobile,0.99999034,0.05107174652975966,2.0350294,7.0883347
no_Olaparib_Field4_1min_crop.mldatx_tracked - Copie.trxyt,21,0,Immobile,1.0,0.0492754458529805,2.0424889,7.0705753
no_Olaparib_Field4_1min_crop.mldatx_tracked - Copie.trxyt,22,0,Immobile,0.9999521,0.07126627865863358,2.0450098,4.9156875
no_Olaparib_Field4_1min_crop.mldatx_tracked - Copie.trxyt,24,0,Immobile,0.819216,0.01514278296285066,2.0434805,7.0395195
no_Olaparib_Field4_1min_crop.mldatx_tracked - Copie.trxyt,25,0,Immobile,1.0,0.12330868763087956,2.1035519,7.0980418
no_Olaparib_Field4_1min_crop.mldatx_tracked - Copie.trxyt,26,2,Mobile,0.99999976,0.3449539344509642,2.0187394,5.1203383
no_Olaparib_Field4_1min_crop.mldatx_tracked - Copie.trxyt,27,2,Mobile,0.99999714,0.1757418979822685,1.9570466,4.7411873
no_Olaparib_Field4_1min_crop.mldatx_tracked - Copie.trxyt,32,2,Mobile,0.99999213,0.6792790968180681,1.5640942,8.3598427
no_Olaparib_Field4_1min_crop.mldatx_tracked - Copie.trxyt,33,0,Immobile,0.9997929,0.23679173290089808,2.0784821,4.6124322
