filename,h2b_id,predicted_class_id,predicted_class_name,probability,maximum_radius,first_x_position,first_y_position
no_olaparib_field8_1mins after_crop.mldatx_tracked copy.trxyt,1,0,Immobile,0.99999976,0.0910361469689381,0.89103334,6.5020804
no_olaparib_field8_1mins after_crop.mldatx_tracked copy.trxyt,2,0,Immobile,0.9999999,0.0497457152134735,1.2184328,8.4753729
no_olaparib_field8_1mins after_crop.mldatx_tracked copy.trxyt,3,1,Hybrid,0.55579114,0.40917218864234645,1.2453108,9.7708788
no_olaparib_field8_1mins after_crop.mldatx_tracked copy.trxyt,4,0,Immobile,0.68780273,0.32447759757508665,1.5062641,2.3388648
no_olaparib_field8_1mins after_crop.mldatx_tracked copy.trxyt,6,0,Immobile,0.994822,0.08704568754470253,1.6920565,4.5772305
no_olaparib_field8_1mins after_crop.mldatx_tracked copy.trxyt,12,0,Immobile,0.99999464,0.15701684544130917,1.0445301,4.7911936
no_olaparib_field8_1mins after_crop.mldatx_tracked copy.trxyt,15,0,Immobile,0.8292574,0.373077100377265,0.9693433,11.729975
no_olaparib_field8_1mins after_crop.mldatx_tracked copy.trxyt,16,2,Mobile,0.9998977,0.16928304873498226,1.374662,13.749963
no_olaparib_field8_1mins after_crop.mldatx_tracked copy.trxyt,18,0,Immobile,0.9999999,0.05709319819812232,1.4329825,13.837267
no_olaparib_field8_1mins after_crop.mldatx_tracked copy.trxyt,20,0,Immobile,0.9987136,0.023611331840190555,0.89067192,6.5067817
no_olaparib_field8_1mins after_crop.mldatx_tracked copy.trxyt,22,0,Immobile,0.978848,0.021177296003032062,1.4335053,13.995966
no_olaparib_field8_1mins after_crop.mldatx_tracked copy.trxyt,23,0,Immobile,0.9975272,0.22665806993133858,1.3690977,14.055266
no_olaparib_field8_1mins after_crop.mldatx_tracked copy.trxyt,25,0,Immobile,0.9361382,0.11838341728890904,1.6485255,2.2627845
