filename,h2b_id,predicted_class_id,predicted_class_name,probability,maximum_radius,first_x_position,first_y_position
20220217_aa4_cell1_before_crop.rpt_tracked - Copie.trxyt,3,2,Mobile,0.99999976,0.32903638757415554,1.7280401,3.0132542
20220217_aa4_cell1_before_crop.rpt_tracked - Copie.trxyt,5,2,Mobile,0.99999917,0.19147985287883423,1.7520932,1.4892186
20220217_aa4_cell1_before_crop.rpt_tracked - Copie.trxyt,6,2,Mobile,0.9938263,0.12916200701947936,1.4567624,3.7470585
20220217_aa4_cell1_before_crop.rpt_tracked - Copie.trxyt,7,0,Immobile,0.9999981,0.16066248205306088,1.4649647,3.8311852
20220217_aa4_cell1_before_crop.rpt_tracked - Copie.trxyt,8,0,Immobile,0.99972576,0.10275624194495431,1.4486425,3.8146115
20220217_aa4_cell1_before_crop.rpt_tracked - Copie.trxyt,11,2,Mobile,0.99999857,0.23939058508771827,1.5605067,4.0001382
20220217_aa4_cell1_before_crop.rpt_tracked - Copie.trxyt,12,2,Mobile,0.87331563,0.14538160851861562,1.564767,3.9671002
20220217_aa4_cell1_before_crop.rpt_tracked - Copie.trxyt,13,2,Mobile,0.99999964,0.3139143619140899,1.4986689,4.1157221
20220217_aa4_cell1_before_crop.rpt_tracked - Copie.trxyt,14,2,Mobile,0.9999999,0.3022138502470725,1.659744,3.9495392
20220217_aa4_cell1_before_crop.rpt_tracked - Copie.trxyt,15,0,Immobile,0.9724046,0.0684888066093284,1.4774484,3.8620673
20220217_aa4_cell1_before_crop.rpt_tracked - Copie.trxyt,16,2,Mobile,0.98082894,0.21071077792656928,1.5525086,4.0276891
20220217_aa4_cell1_before_crop.rpt_tracked - Copie.trxyt,18,2,Mobile,0.9998828,0.14739089739227468,1.6290777,3.9840843
20220217_aa4_cell1_before_crop.rpt_tracked - Copie.trxyt,20,2,Mobile,0.9389634,0.1297006664711094,1.5329374,3.8909174
20220217_aa4_cell1_before_crop.rpt_tracked - Copie.trxyt,21,0,Immobile,0.9999794,0.1465344066978127,1.5494387,3.9094187
20220217_aa4_cell1_before_crop.rpt_tracked - Copie.trxyt,22,2,Mobile,0.99997485,0.22529595249382525,1.6984503,3.8737726
20220217_aa4_cell1_before_crop.rpt_tracked - Copie.trxyt,23,0,Immobile,0.9999969,0.16891894076722105,1.5385461,3.9419625
20220217_aa4_cell1_before_crop.rpt_tracked - Copie.trxyt,25,0,Immobile,0.9743618,0.11916137240230151,1.4435171,3.7331557
20220217_aa4_cell1_before_crop.rpt_tracked - Copie.trxyt,30,2,Mobile,0.8063738,0.20009884170479342,1.4565887,3.8443698
20220217_aa4_cell1_before_crop.rpt_tracked - Copie.trxyt,31,0,Immobile,1.0,0.073071537278615,1.465118,5.890838
20220217_aa4_cell1_before_crop.rpt_tracked - Copie.trxyt,32,0,Immobile,0.99988353,0.08282129887806626,1.9827769,3.3036325
20220217_aa4_cell1_before_crop.rpt_tracked - Copie.trxyt,33,2,Mobile,0.9999957,1.070301304762433,1.8250016,3.9061485
20220217_aa4_cell1_before_crop.rpt_tracked - Copie.trxyt,35,2,Mobile,0.9999944,0.7184694686496914,0.9012314,5.9024459
20220217_aa4_cell1_before_crop.rpt_tracked - Copie.trxyt,37,2,Mobile,0.99979573,0.12554946095368166,1.4790498,2.8588148
20220217_aa4_cell1_before_crop.rpt_tracked - Copie.trxyt,40,0,Immobile,0.99999917,0.08314732053890855,1.5389914,1.3085084
20220217_aa4_cell1_before_crop.rpt_tracked - Copie.trxyt,42,0,Immobile,0.91774905,0.015058641169109512,1.5323993,1.369674
20220217_aa4_cell1_before_crop.rpt_tracked - Copie.trxyt,43,0,Immobile,0.9927846,0.11253533515558617,1.5537557,8.6846024
20220217_aa4_cell1_before_crop.rpt_tracked - Copie.trxyt,44,0,Immobile,0.9698249,0.10088673924565109,1.5970554,1.3632639
20220217_aa4_cell1_before_crop.rpt_tracked - Copie.trxyt,48,0,Immobile,1.0,0.14513377679623726,0.8697964,2.3311063
20220217_aa4_cell1_before_crop.rpt_tracked - Copie.trxyt,50,2,Mobile,0.999998,0.20982610737942023,1.2099747,2.950316
20220217_aa4_cell1_before_crop.rpt_tracked - Copie.trxyt,52,0,Immobile,1.0,0.12859826179466702,1.5702884,16.219301
20220217_aa4_cell1_before_crop.rpt_tracked - Copie.trxyt,53,0,Immobile,0.9998838,0.25135612220220593,1.4005828,5.1945487
20220217_aa4_cell1_before_crop.rpt_tracked - Copie.trxyt,61,2,Mobile,0.99952996,0.5310477216858859,1.8485355,1.3903844
20220217_aa4_cell1_before_crop.rpt_tracked - Copie.trxyt,62,2,Mobile,0.9999354,0.13902666471493816,2.0711863,12.496991
20220217_aa4_cell1_before_crop.rpt_tracked - Copie.trxyt,63,2,Mobile,0.99999905,0.3154250021290798,2.0519154,1.4094112
20220217_aa4_cell1_before_crop.rpt_tracked - Copie.trxyt,64,2,Mobile,0.99928063,0.1622004983324651,1.6856439,1.0157638
20220217_aa4_cell1_before_crop.rpt_tracked - Copie.trxyt,69,0,Immobile,0.7903791,0.012364597853310845,0.83245655,4.6766198
20220217_aa4_cell1_before_crop.rpt_tracked - Copie.trxyt,70,2,Mobile,0.9945927,0.14050583325915725,1.2953206,2.5449857
20220217_aa4_cell1_before_crop.rpt_tracked - Copie.trxyt,82,0,Immobile,0.9691872,0.050505001343728324,1.3396303,2.0662835
20220217_aa4_cell1_before_crop.rpt_tracked - Copie.trxyt,85,0,Immobile,0.99999976,0.1010008471477346,1.8797321,11.819663
