filename,h2b_id,predicted_class_id,predicted_class_name,probability,maximum_radius,first_x_position,first_y_position
20220217_aa4_cell2_before_crop.mldatx_tracked - Copie.trxyt,1,2,Mobile,0.9999994,0.42119329060430954,0.92323955,3.4861576
20220217_aa4_cell2_before_crop.mldatx_tracked - Copie.trxyt,5,2,Mobile,0.97173303,0.13856694735127154,1.9154044,6.4157703
20220217_aa4_cell2_before_crop.mldatx_tracked - Copie.trxyt,14,2,Mobile,0.9999994,0.5067591474521204,1.5995334,3.1267888
20220217_aa4_cell2_before_crop.mldatx_tracked - Copie.trxyt,15,2,Mobile,0.99991095,0.7998359964298566,1.4937879,2.9817139
20220217_aa4_cell2_before_crop.mldatx_tracked - Copie.trxyt,17,0,Immobile,0.9965468,0.026300324531845314,0.81143153,5.1455346
20220217_aa4_cell2_before_crop.mldatx_tracked - Copie.trxyt,25,0,Immobile,0.9994629,0.043906505870115825,0.81302196,5.2097226
20220217_aa4_cell2_before_crop.mldatx_tracked - Copie.trxyt,28,0,Immobile,0.9029206,0.029211573388232853,0.80759679,5.1898814
20220217_aa4_cell2_before_crop.mldatx_tracked - Copie.trxyt,29,0,Immobile,0.99997485,0.03914871721828978,0.83299812,5.1984139
20220217_aa4_cell2_before_crop.mldatx_tracked - Copie.trxyt,30,0,Immobile,1.0,0.06539919100819289,0.80132402,5.1833555
20220217_aa4_cell2_before_crop.mldatx_tracked - Copie.trxyt,33,0,Immobile,0.99648595,0.03404939116304581,0.81752604,5.1643337
20220217_aa4_cell2_before_crop.mldatx_tracked - Copie.trxyt,34,0,Immobile,0.85985273,0.01651197296607495,0.80557064,5.1382275
20220217_aa4_cell2_before_crop.mldatx_tracked - Copie.trxyt,35,2,Mobile,0.5630177,0.004212911602740181,0.81226369,5.1488888
20220217_aa4_cell2_before_crop.mldatx_tracked - Copie.trxyt,39,0,Immobile,0.7903791,0.012556720235857731,0.82525367,5.1661452
20220217_aa4_cell2_before_crop.mldatx_tracked - Copie.trxyt,43,0,Immobile,0.9643161,0.02692386443485407,0.80198499,5.1510288
20220217_aa4_cell2_before_crop.mldatx_tracked - Copie.trxyt,46,1,Hybrid,0.9839888,0.2229012036523132,1.9359874,8.6567696
20220217_aa4_cell2_before_crop.mldatx_tracked - Copie.trxyt,48,0,Immobile,0.96763146,0.10087814435669415,1.9346863,7.1218328
20220217_aa4_cell2_before_crop.mldatx_tracked - Copie.trxyt,50,0,Immobile,0.99999964,0.1119225604459174,1.6450496,9.6941353
20220217_aa4_cell2_before_crop.mldatx_tracked - Copie.trxyt,51,0,Immobile,0.99999785,0.16609862033888237,1.3807964,4.9507513
20220217_aa4_cell2_before_crop.mldatx_tracked - Copie.trxyt,62,0,Immobile,0.9989931,0.23529732476732498,1.7940698,3.9936437
20220217_aa4_cell2_before_crop.mldatx_tracked - Copie.trxyt,66,0,Immobile,0.5251467,0.12642698860294785,1.0690673,6.2226715
20220217_aa4_cell2_before_crop.mldatx_tracked - Copie.trxyt,75,2,Mobile,0.99946994,0.13878650885047172,1.0749426,6.2603835
20220217_aa4_cell2_before_crop.mldatx_tracked - Copie.trxyt,83,0,Immobile,0.9360119,0.09904154454697273,1.0983699,6.1164107
20220217_aa4_cell2_before_crop.mldatx_tracked - Copie.trxyt,86,2,Mobile,0.99999523,0.17898985303089107,1.1731151,6.3976233
20220217_aa4_cell2_before_crop.mldatx_tracked - Copie.trxyt,90,0,Immobile,1.0,0.0847014122447791,1.0946365,5.8047583
20220217_aa4_cell2_before_crop.mldatx_tracked - Copie.trxyt,102,0,Immobile,0.9891003,0.0822432585440661,0.95114249,6.0358201
20220217_aa4_cell2_before_crop.mldatx_tracked - Copie.trxyt,104,0,Immobile,0.84675235,0.10067360187033904,0.94376505,6.0534422
20220217_aa4_cell2_before_crop.mldatx_tracked - Copie.trxyt,109,2,Mobile,0.99998164,0.16017473238056099,0.93850242,6.0758782
20220217_aa4_cell2_before_crop.mldatx_tracked - Copie.trxyt,110,2,Mobile,0.99999976,0.3172868093642691,1.0119003,6.0119059
20220217_aa4_cell2_before_crop.mldatx_tracked - Copie.trxyt,115,2,Mobile,0.9999995,0.2436402340493249,1.9696652,2.6931646
20220217_aa4_cell2_before_crop.mldatx_tracked - Copie.trxyt,116,0,Immobile,0.9939407,0.07304971401684192,0.90946264,6.3128367
20220217_aa4_cell2_before_crop.mldatx_tracked - Copie.trxyt,118,0,Immobile,0.9696991,0.06590907154679099,0.8857754,6.2307463
20220217_aa4_cell2_before_crop.mldatx_tracked - Copie.trxyt,122,2,Mobile,0.9858722,0.1708184623489405,0.97083335,6.22336
20220217_aa4_cell2_before_crop.mldatx_tracked - Copie.trxyt,125,2,Mobile,0.5630177,0.007231584499789674,0.86778847,6.24173
20220217_aa4_cell2_before_crop.mldatx_tracked - Copie.trxyt,129,2,Mobile,0.63976413,0.12256823152758989,0.93592577,6.218152
20220217_aa4_cell2_before_crop.mldatx_tracked - Copie.trxyt,133,0,Immobile,0.9044744,0.07839392519328267,1.6016236,6.4922041
20220217_aa4_cell2_before_crop.mldatx_tracked - Copie.trxyt,139,0,Immobile,0.9905408,0.057497015471862555,0.87607693,6.1562367
20220217_aa4_cell2_before_crop.mldatx_tracked - Copie.trxyt,143,0,Immobile,0.89783484,0.1549571858691622,1.4377999,4.6679396
20220217_aa4_cell2_before_crop.mldatx_tracked - Copie.trxyt,153,2,Mobile,0.9999962,0.7901425211806842,0.82245719,2.5365971
20220217_aa4_cell2_before_crop.mldatx_tracked - Copie.trxyt,154,2,Mobile,0.9978364,0.1585586697918546,0.87891337,2.7416102
20220217_aa4_cell2_before_crop.mldatx_tracked - Copie.trxyt,158,2,Mobile,0.99999964,0.3268702140526879,1.7534997,2.3434249
20220217_aa4_cell2_before_crop.mldatx_tracked - Copie.trxyt,159,2,Mobile,0.9999869,1.0521834752121138,0.88758756,7.1967409
20220217_aa4_cell2_before_crop.mldatx_tracked - Copie.trxyt,165,2,Mobile,0.9999875,0.5567658493275094,1.2390154,3.9367367
20220217_aa4_cell2_before_crop.mldatx_tracked - Copie.trxyt,168,0,Immobile,1.0,0.11987714887517147,1.5034852,5.0024644
20220217_aa4_cell2_before_crop.mldatx_tracked - Copie.trxyt,173,2,Mobile,0.9999956,0.614593790484852,0.84024542,2.5789851
20220217_aa4_cell2_before_crop.mldatx_tracked - Copie.trxyt,176,0,Immobile,1.0,0.12862607300360993,1.2967008,4.4907768
20220217_aa4_cell2_before_crop.mldatx_tracked - Copie.trxyt,178,0,Immobile,0.99999976,0.131892271725715,1.3517798,9.1832107
20220217_aa4_cell2_before_crop.mldatx_tracked - Copie.trxyt,179,0,Immobile,1.0,0.1472993343635001,1.3507824,9.1154771
20220217_aa4_cell2_before_crop.mldatx_tracked - Copie.trxyt,180,0,Immobile,1.0,0.04899039567854081,1.1961904,4.5228009
