filename,h2b_id,predicted_class_id,predicted_class_name,probability,maximum_radius,first_x_position,first_y_position
20220217_aa4_cell3_no_ir_crop.rpt_tracked - Copie.trxyt,3,2,Mobile,0.9999994,0.1856848189788319,1.1187551,1.0723762
20220217_aa4_cell3_no_ir_crop.rpt_tracked - Copie.trxyt,4,0,Immobile,0.9395775,0.05519863514291043,1.6243828,11.603438
20220217_aa4_cell3_no_ir_crop.rpt_tracked - Copie.trxyt,8,0,Immobile,1.0,0.033025341950235446,2.0691617,4.5067792
20220217_aa4_cell3_no_ir_crop.rpt_tracked - Copie.trxyt,10,0,Immobile,0.98169047,0.05318141746333986,1.8985877,12.895925
20220217_aa4_cell3_no_ir_crop.rpt_tracked - Copie.trxyt,12,2,Mobile,0.99068624,0.16723791130844043,1.9414242,14.723047
20220217_aa4_cell3_no_ir_crop.rpt_tracked - Copie.trxyt,16,2,Mobile,0.89133996,0.12108868480580672,1.2189275,1.8843163
20220217_aa4_cell3_no_ir_crop.rpt_tracked - Copie.trxyt,20,0,Immobile,0.9981249,0.11430964196501534,1.0724068,1.8071359
20220217_aa4_cell3_no_ir_crop.rpt_tracked - Copie.trxyt,28,0,Immobile,0.9999161,0.06699219988991266,1.1341784,6.4998147
20220217_aa4_cell3_no_ir_crop.rpt_tracked - Copie.trxyt,30,0,Immobile,0.99735224,0.03958574047633796,1.1547686,6.5693803
20220217_aa4_cell3_no_ir_crop.rpt_tracked - Copie.trxyt,35,2,Mobile,0.9999994,0.3140206353941249,1.7034597,1.9135328
20220217_aa4_cell3_no_ir_crop.rpt_tracked - Copie.trxyt,37,2,Mobile,0.99999344,0.17511962342184845,1.7412513,1.5659222
20220217_aa4_cell3_no_ir_crop.rpt_tracked - Copie.trxyt,39,0,Immobile,0.99940515,0.04491079522119372,1.1974441,6.5439311
20220217_aa4_cell3_no_ir_crop.rpt_tracked - Copie.trxyt,42,2,Mobile,0.9999995,0.35562969748695056,1.8980058,1.7882067
20220217_aa4_cell3_no_ir_crop.rpt_tracked - Copie.trxyt,43,0,Immobile,0.9999982,0.06998091184430233,1.2014472,6.5273917
20220217_aa4_cell3_no_ir_crop.rpt_tracked - Copie.trxyt,46,2,Mobile,0.9999999,0.24989255729713114,0.85913147,3.270878
20220217_aa4_cell3_no_ir_crop.rpt_tracked - Copie.trxyt,55,0,Immobile,0.9994252,0.10451699432417864,1.0872063,6.530568
20220217_aa4_cell3_no_ir_crop.rpt_tracked - Copie.trxyt,57,2,Mobile,0.99999976,0.19531621979554095,1.1623408,6.6036609
20220217_aa4_cell3_no_ir_crop.rpt_tracked - Copie.trxyt,58,0,Immobile,0.99964905,0.1234838854670924,1.0525505,6.5971656
20220217_aa4_cell3_no_ir_crop.rpt_tracked - Copie.trxyt,59,2,Mobile,0.9999945,0.5743089662278045,1.4430338,4.8351977
20220217_aa4_cell3_no_ir_crop.rpt_tracked - Copie.trxyt,60,0,Immobile,0.99999976,0.16778394280700942,0.96450078,8.9079555
20220217_aa4_cell3_no_ir_crop.rpt_tracked - Copie.trxyt,63,0,Immobile,0.99998987,0.03356688538336537,1.1311314,6.576558
20220217_aa4_cell3_no_ir_crop.rpt_tracked - Copie.trxyt,70,0,Immobile,0.99970335,0.02296969223759826,1.0622726,6.4789185
20220217_aa4_cell3_no_ir_crop.rpt_tracked - Copie.trxyt,71,0,Immobile,0.94358486,0.10506600379849013,0.99932608,6.6373808
20220217_aa4_cell3_no_ir_crop.rpt_tracked - Copie.trxyt,75,0,Immobile,0.9960295,0.0314769950567078,1.091053,6.5015384
20220217_aa4_cell3_no_ir_crop.rpt_tracked - Copie.trxyt,76,0,Immobile,1.0,0.13950737737911845,1.0889133,6.5172436
20220217_aa4_cell3_no_ir_crop.rpt_tracked - Copie.trxyt,77,0,Immobile,0.8992469,0.10703487183361876,0.91016232,0.81896309
20220217_aa4_cell3_no_ir_crop.rpt_tracked - Copie.trxyt,83,0,Immobile,1.0,0.07130881707012122,1.1323841,6.5228306
20220217_aa4_cell3_no_ir_crop.rpt_tracked - Copie.trxyt,84,0,Immobile,0.9987608,0.08020237140658638,1.1583234,6.5420355
20220217_aa4_cell3_no_ir_crop.rpt_tracked - Copie.trxyt,85,2,Mobile,0.99999917,0.2228808426326947,1.2527933,6.5846403
20220217_aa4_cell3_no_ir_crop.rpt_tracked - Copie.trxyt,86,0,Immobile,0.9817379,0.09865687806356965,1.1321425,6.5869991
20220217_aa4_cell3_no_ir_crop.rpt_tracked - Copie.trxyt,93,0,Immobile,0.96391666,0.05342517937545995,1.2115065,9.0212773
20220217_aa4_cell3_no_ir_crop.rpt_tracked - Copie.trxyt,97,0,Immobile,0.95026535,0.1123894146064032,1.0316281,6.5078201
20220217_aa4_cell3_no_ir_crop.rpt_tracked - Copie.trxyt,99,0,Immobile,0.99258316,0.087613311681331,1.1570043,6.5139937
20220217_aa4_cell3_no_ir_crop.rpt_tracked - Copie.trxyt,101,0,Immobile,0.99999106,0.09324758900089619,1.2609637,6.5424404
20220217_aa4_cell3_no_ir_crop.rpt_tracked - Copie.trxyt,102,0,Immobile,0.9996927,0.13736693132588373,1.1462188,6.5483684
20220217_aa4_cell3_no_ir_crop.rpt_tracked - Copie.trxyt,104,0,Immobile,0.99972206,0.09701337657467644,1.1319916,6.4249934
20220217_aa4_cell3_no_ir_crop.rpt_tracked - Copie.trxyt,106,0,Immobile,0.9925479,0.03198253998996962,1.1138332,6.5393206
20220217_aa4_cell3_no_ir_crop.rpt_tracked - Copie.trxyt,107,0,Immobile,0.9983467,0.17565336894876224,1.2896018,6.6450706
20220217_aa4_cell3_no_ir_crop.rpt_tracked - Copie.trxyt,108,0,Immobile,0.998895,0.07018442272541653,1.2420116,6.5200686
20220217_aa4_cell3_no_ir_crop.rpt_tracked - Copie.trxyt,109,0,Immobile,0.94417197,0.0825998362637606,1.136578,6.534848
20220217_aa4_cell3_no_ir_crop.rpt_tracked - Copie.trxyt,110,0,Immobile,0.9978703,0.15892530286150183,1.1529929,6.393997
20220217_aa4_cell3_no_ir_crop.rpt_tracked - Copie.trxyt,111,0,Immobile,0.9992059,0.049340971577888214,1.2478692,6.478049
20220217_aa4_cell3_no_ir_crop.rpt_tracked - Copie.trxyt,117,2,Mobile,0.99997735,0.7437426362413762,0.89673011,5.3918399
20220217_aa4_cell3_no_ir_crop.rpt_tracked - Copie.trxyt,120,0,Immobile,0.9862243,0.013183763925752932,1.6282481,10.202373
20220217_aa4_cell3_no_ir_crop.rpt_tracked - Copie.trxyt,124,2,Mobile,0.99999976,0.2193762418882232,2.0391713,10.449152
20220217_aa4_cell3_no_ir_crop.rpt_tracked - Copie.trxyt,125,2,Mobile,0.99940896,0.1449399124804479,1.6662119,11.138066
20220217_aa4_cell3_no_ir_crop.rpt_tracked - Copie.trxyt,127,2,Mobile,0.99999976,0.4684151685787306,1.4447279,10.154563
20220217_aa4_cell3_no_ir_crop.rpt_tracked - Copie.trxyt,130,2,Mobile,0.99999964,0.3725277361224123,1.4637212,10.351231
20220217_aa4_cell3_no_ir_crop.rpt_tracked - Copie.trxyt,132,2,Mobile,0.99999857,0.27754301425364625,1.5653603,14.372447
