filename,h2b_id,predicted_class_id,predicted_class_name,probability,maximum_radius,first_x_position,first_y_position
20220217_aa4_cell5_crop.mldatx_tracked - Copie.trxyt,2,0,Immobile,1.0,0.1252953767231661,1.131299,4.6665642
20220217_aa4_cell5_crop.mldatx_tracked - Copie.trxyt,3,0,Immobile,0.99999785,0.12848200263110643,1.0769981,7.2236477
20220217_aa4_cell5_crop.mldatx_tracked - Copie.trxyt,4,0,Immobile,0.9999796,0.052719290204724406,0.84360312,9.9030138
20220217_aa4_cell5_crop.mldatx_tracked - Copie.trxyt,5,0,Immobile,0.9979214,0.03736878399089384,0.81470227,9.9658134
20220217_aa4_cell5_crop.mldatx_tracked - Copie.trxyt,6,0,Immobile,0.98026824,0.026648134174685954,0.81976979,9.94107
20220217_aa4_cell5_crop.mldatx_tracked - Copie.trxyt,8,0,Immobile,1.0,0.12013748554293906,1.5283469,7.7890294
20220217_aa4_cell5_crop.mldatx_tracked - Copie.trxyt,10,0,Immobile,1.0,0.09877771890340466,1.0900222,11.63937
20220217_aa4_cell5_crop.mldatx_tracked - Copie.trxyt,13,2,Mobile,0.9999926,0.5674550140112694,1.3599863,2.6773193
20220217_aa4_cell5_crop.mldatx_tracked - Copie.trxyt,15,0,Immobile,1.0,0.16287799383563137,1.6611152,6.634221
20220217_aa4_cell5_crop.mldatx_tracked - Copie.trxyt,16,0,Immobile,0.99999905,0.14763535681379608,0.93277043,3.3456047
20220217_aa4_cell5_crop.mldatx_tracked - Copie.trxyt,18,0,Immobile,0.7504508,0.11163773695104186,0.87451521,6.6167388
20220217_aa4_cell5_crop.mldatx_tracked - Copie.trxyt,20,0,Immobile,0.934331,0.09491696931676721,0.85770636,6.5903953
20220217_aa4_cell5_crop.mldatx_tracked - Copie.trxyt,21,2,Mobile,0.9999999,0.2636661346008587,1.0999232,6.546968
20220217_aa4_cell5_crop.mldatx_tracked - Copie.trxyt,22,0,Immobile,0.999997,0.04607362253614203,0.8294854,3.3239132
20220217_aa4_cell5_crop.mldatx_tracked - Copie.trxyt,23,0,Immobile,0.99999976,0.16226452008769773,0.87900858,3.2737658
20220217_aa4_cell5_crop.mldatx_tracked - Copie.trxyt,24,0,Immobile,0.93182117,0.25821223385558595,0.81973989,10.198648
20220217_aa4_cell5_crop.mldatx_tracked - Copie.trxyt,25,0,Immobile,0.9999461,0.11578800673942864,0.82048379,10.339057
20220217_aa4_cell5_crop.mldatx_tracked - Copie.trxyt,26,2,Mobile,0.99999976,0.19569737455604633,1.0024778,10.42948
20220217_aa4_cell5_crop.mldatx_tracked - Copie.trxyt,27,0,Immobile,1.0,0.12649959772698893,1.4876466,4.0151829
20220217_aa4_cell5_crop.mldatx_tracked - Copie.trxyt,29,0,Immobile,1.0,0.18466038940812407,1.5911083,4.0220686
20220217_aa4_cell5_crop.mldatx_tracked - Copie.trxyt,31,0,Immobile,0.99999964,0.08665859269299256,1.4745311,4.0660575
20220217_aa4_cell5_crop.mldatx_tracked - Copie.trxyt,32,0,Immobile,1.0,0.12161575121874633,1.5446743,4.0760625
20220217_aa4_cell5_crop.mldatx_tracked - Copie.trxyt,34,2,Mobile,0.99903107,0.15198909650164827,1.0852703,12.329161
20220217_aa4_cell5_crop.mldatx_tracked - Copie.trxyt,49,0,Immobile,0.9999981,0.12779644940439452,1.4874906,5.5375283
20220217_aa4_cell5_crop.mldatx_tracked - Copie.trxyt,53,2,Mobile,0.99999964,0.679303396836973,1.6091014,5.5637342
20220217_aa4_cell5_crop.mldatx_tracked - Copie.trxyt,54,2,Mobile,0.9999999,0.3110592856421869,0.88130856,6.4755084
20220217_aa4_cell5_crop.mldatx_tracked - Copie.trxyt,56,0,Immobile,0.99935585,0.09237791084739871,1.5097716,5.6168229
20220217_aa4_cell5_crop.mldatx_tracked - Copie.trxyt,57,2,Mobile,0.99999917,1.2145242994607124,0.98769675,7.4840081
20220217_aa4_cell5_crop.mldatx_tracked - Copie.trxyt,58,2,Mobile,0.99894863,0.15571062926043283,1.5733576,5.4938266
20220217_aa4_cell5_crop.mldatx_tracked - Copie.trxyt,59,2,Mobile,0.999984,0.5332394465844399,1.0703913,7.8145096
20220217_aa4_cell5_crop.mldatx_tracked - Copie.trxyt,65,2,Mobile,0.99996805,0.9901742710653716,1.5171146,7.4946336
20220217_aa4_cell5_crop.mldatx_tracked - Copie.trxyt,68,2,Mobile,0.99999964,0.18403412380822134,0.97650986,7.1953243
20220217_aa4_cell5_crop.mldatx_tracked - Copie.trxyt,73,0,Immobile,0.99992,0.05412503074364076,1.6823664,10.70547
20220217_aa4_cell5_crop.mldatx_tracked - Copie.trxyt,82,0,Immobile,0.99984574,0.1292177541818849,1.6984144,2.305325
20220217_aa4_cell5_crop.mldatx_tracked - Copie.trxyt,84,2,Mobile,0.99995494,0.15835089410991648,1.7384451,2.4572769
20220217_aa4_cell5_crop.mldatx_tracked - Copie.trxyt,87,0,Immobile,0.9999999,0.08559164245649234,1.6661708,2.2846054
20220217_aa4_cell5_crop.mldatx_tracked - Copie.trxyt,88,0,Immobile,0.96196425,0.0952564122109374,1.6932917,2.3091233
20220217_aa4_cell5_crop.mldatx_tracked - Copie.trxyt,90,2,Mobile,0.99999964,0.19259575000983292,1.7800886,2.2836469
20220217_aa4_cell5_crop.mldatx_tracked - Copie.trxyt,91,0,Immobile,0.9998598,0.09429884599124201,1.7093593,2.3673451
20220217_aa4_cell5_crop.mldatx_tracked - Copie.trxyt,93,0,Immobile,0.9989768,0.05991110112299725,1.6266687,2.3420486
20220217_aa4_cell5_crop.mldatx_tracked - Copie.trxyt,94,0,Immobile,1.0,0.11472327026793655,1.6748987,2.2659568
20220217_aa4_cell5_crop.mldatx_tracked - Copie.trxyt,95,0,Immobile,0.99989355,0.10257965340339176,1.654838,2.2990328
20220217_aa4_cell5_crop.mldatx_tracked - Copie.trxyt,96,0,Immobile,0.99999857,0.1582794113259838,1.6857431,2.267169
20220217_aa4_cell5_crop.mldatx_tracked - Copie.trxyt,98,0,Immobile,0.88380617,0.05822159837809358,1.7498774,2.286102
20220217_aa4_cell5_crop.mldatx_tracked - Copie.trxyt,99,0,Immobile,0.96128505,0.11459065626001096,1.7011585,2.3090091
20220217_aa4_cell5_crop.mldatx_tracked - Copie.trxyt,101,0,Immobile,0.99999976,0.11169868315271236,1.6936019,2.2318957
20220217_aa4_cell5_crop.mldatx_tracked - Copie.trxyt,102,0,Immobile,1.0,0.11590654336546327,1.7089622,2.2818003
20220217_aa4_cell5_crop.mldatx_tracked - Copie.trxyt,105,0,Immobile,0.99517894,0.06041372474074064,1.7643541,2.2591042
20220217_aa4_cell5_crop.mldatx_tracked - Copie.trxyt,106,2,Mobile,0.9999994,0.22108402557609164,1.7256433,2.4155895
20220217_aa4_cell5_crop.mldatx_tracked - Copie.trxyt,109,0,Immobile,1.0,0.061254940683343896,1.1741935,1.5061676
20220217_aa4_cell5_crop.mldatx_tracked - Copie.trxyt,110,0,Immobile,1.0,0.10755243550682643,1.8280677,5.0905306
20220217_aa4_cell5_crop.mldatx_tracked - Copie.trxyt,115,0,Immobile,0.90578324,0.11342059236721386,0.80334073,7.6944867
20220217_aa4_cell5_crop.mldatx_tracked - Copie.trxyt,117,0,Immobile,0.99999976,0.17410913440626827,1.5307044,4.6596772
20220217_aa4_cell5_crop.mldatx_tracked - Copie.trxyt,120,0,Immobile,1.0,0.04158103349139973,1.0010915,2.9498354
20220217_aa4_cell5_crop.mldatx_tracked - Copie.trxyt,125,0,Immobile,0.9594964,0.1114828090292509,0.81070778,7.9311804
20220217_aa4_cell5_crop.mldatx_tracked - Copie.trxyt,132,0,Immobile,0.9999757,0.09812383908694142,1.263519,8.238397
20220217_aa4_cell5_crop.mldatx_tracked - Copie.trxyt,159,0,Immobile,0.9999993,0.065733171002562,0.82890811,7.94477
20220217_aa4_cell5_crop.mldatx_tracked - Copie.trxyt,160,0,Immobile,0.98767453,0.030716259833573404,0.83723743,7.8789705
20220217_aa4_cell5_crop.mldatx_tracked - Copie.trxyt,163,0,Immobile,0.819216,0.010872280979725542,0.80118452,7.9389656
20220217_aa4_cell5_crop.mldatx_tracked - Copie.trxyt,164,2,Mobile,0.999995,0.1511814928251469,1.160046,11.32081
20220217_aa4_cell5_crop.mldatx_tracked - Copie.trxyt,167,2,Mobile,0.99940896,0.14757534833541816,1.8251585,8.3583607
20220217_aa4_cell5_crop.mldatx_tracked - Copie.trxyt,176,0,Immobile,0.9416667,0.01942687809198626,0.8206499,7.9274724
20220217_aa4_cell5_crop.mldatx_tracked - Copie.trxyt,184,0,Immobile,0.99999976,0.09822777650262657,2.071863,5.2025649
20220217_aa4_cell5_crop.mldatx_tracked - Copie.trxyt,185,0,Immobile,1.0,0.1638852401365058,1.964222,5.107848
20220217_aa4_cell5_crop.mldatx_tracked - Copie.trxyt,186,0,Immobile,1.0,0.11041654773465778,1.2699759,12.417868
20220217_aa4_cell5_crop.mldatx_tracked - Copie.trxyt,188,0,Immobile,0.9999958,0.09848925342279743,2.0314415,5.1816857
20220217_aa4_cell5_crop.mldatx_tracked - Copie.trxyt,190,0,Immobile,0.9784985,0.08933363720486245,1.965154,5.1391865
20220217_aa4_cell5_crop.mldatx_tracked - Copie.trxyt,191,2,Mobile,0.999926,0.1618112899114584,1.9253799,5.0749188
