filename,h2b_id,predicted_class_id,predicted_class_name,probability,maximum_radius,first_x_position,first_y_position
20220713_Field1_110ms_before-crop.rpt_tracked - Copie.trxyt,10,0,Immobile,0.98169047,0.05613231058579369,1.3742098,4.5137653
20220713_Field1_110ms_before-crop.rpt_tracked - Copie.trxyt,23,0,Immobile,0.9983902,0.21712092027037388,1.3388726,0.89633145
20220713_Field1_110ms_before-crop.rpt_tracked - Copie.trxyt,28,2,Mobile,0.99999976,0.2353430023124169,0.98144219,13.38476
20220713_Field1_110ms_before-crop.rpt_tracked - Copie.trxyt,35,2,Mobile,0.99508697,0.13644621685118147,1.1336028,12.924879
20220713_Field1_110ms_before-crop.rpt_tracked - Copie.trxyt,36,0,Immobile,1.0,0.045956860795315725,1.0957159,13.006729
20220713_Field1_110ms_before-crop.rpt_tracked - Copie.trxyt,37,2,Mobile,0.9999995,0.3851418850102651,1.2012427,12.884437
20220713_Field1_110ms_before-crop.rpt_tracked - Copie.trxyt,45,0,Immobile,0.9824154,0.07990269736129087,1.6084068,12.091293
20220713_Field1_110ms_before-crop.rpt_tracked - Copie.trxyt,54,0,Immobile,0.9455512,0.08041348476026956,1.6131589,12.156416
20220713_Field1_110ms_before-crop.rpt_tracked - Copie.trxyt,55,0,Immobile,0.9999399,0.07522593288647254,1.6037088,12.264172
20220713_Field1_110ms_before-crop.rpt_tracked - Copie.trxyt,60,0,Immobile,0.85558134,0.010351857070593504,1.4443933,12.030372
20220713_Field1_110ms_before-crop.rpt_tracked - Copie.trxyt,61,0,Immobile,0.97994643,0.09285014376084746,1.4572596,12.036226
20220713_Field1_110ms_before-crop.rpt_tracked - Copie.trxyt,63,0,Immobile,0.99817264,0.07978340287743371,0.87653824,1.7290709
20220713_Field1_110ms_before-crop.rpt_tracked - Copie.trxyt,64,0,Immobile,0.99779797,0.05188759999884748,0.83014399,1.7278923
20220713_Field1_110ms_before-crop.rpt_tracked - Copie.trxyt,68,0,Immobile,0.99999905,0.08980473137574034,0.92778885,1.6463433
20220713_Field1_110ms_before-crop.rpt_tracked - Copie.trxyt,69,0,Immobile,0.9544081,0.12969565698120503,0.87495654,1.6281547
20220713_Field1_110ms_before-crop.rpt_tracked - Copie.trxyt,71,0,Immobile,1.0,0.08323689283154437,0.86967484,1.6562711
20220713_Field1_110ms_before-crop.rpt_tracked - Copie.trxyt,72,0,Immobile,0.9999994,0.05670930809164935,0.93870766,1.646545
20220713_Field1_110ms_before-crop.rpt_tracked - Copie.trxyt,73,0,Immobile,1.0,0.16716261278517672,0.92018354,1.7595775
20220713_Field1_110ms_before-crop.rpt_tracked - Copie.trxyt,76,0,Immobile,0.9455512,0.07850757693528733,1.4858009,12.09718
