filename,h2b_id,predicted_class_id,predicted_class_name,probability,maximum_radius,first_x_position,first_y_position
20220713_Field7_cell2_before_crop.mldatx_tracked - Copie.trxyt,1,2,Mobile,0.9999981,0.20349998368022051,1.4417763,1.7966237
20220713_Field7_cell2_before_crop.mldatx_tracked - Copie.trxyt,2,0,Immobile,0.85985273,0.018534928946181486,1.3913034,1.6859085
20220713_Field7_cell2_before_crop.mldatx_tracked - Copie.trxyt,11,0,Immobile,0.99999726,0.12015936905202201,1.1258204,1.226601
20220713_Field7_cell2_before_crop.mldatx_tracked - Copie.trxyt,19,2,Mobile,0.99999964,0.24694029013710858,1.8800353,9.9997233
20220713_Field7_cell2_before_crop.mldatx_tracked - Copie.trxyt,20,2,Mobile,0.90362096,0.14289103405228062,1.904637,9.9938248
20220713_Field7_cell2_before_crop.mldatx_tracked - Copie.trxyt,22,0,Immobile,0.9995158,0.41757370731781,1.5533044,4.9923585
20220713_Field7_cell2_before_crop.mldatx_tracked - Copie.trxyt,28,0,Immobile,0.99999785,0.13438808106085864,1.2726352,8.8387156
20220713_Field7_cell2_before_crop.mldatx_tracked - Copie.trxyt,30,0,Immobile,0.9995759,0.12579880697228427,1.4323219,9.4157849
20220713_Field7_cell2_before_crop.mldatx_tracked - Copie.trxyt,31,0,Immobile,0.98323786,0.027071363546375026,2.1954407,6.2584504
20220713_Field7_cell2_before_crop.mldatx_tracked - Copie.trxyt,34,0,Immobile,0.9999995,0.0909927544162166,1.7133795,9.9068738
20220713_Field7_cell2_before_crop.mldatx_tracked - Copie.trxyt,36,0,Immobile,0.99953866,0.0272724415118995,2.1994687,6.3212067
20220713_Field7_cell2_before_crop.mldatx_tracked - Copie.trxyt,38,0,Immobile,0.9455512,0.07426701761414643,2.1943096,6.2487972
20220713_Field7_cell2_before_crop.mldatx_tracked - Copie.trxyt,39,0,Immobile,0.9910816,0.04417382738672352,0.90599527,11.498363
20220713_Field7_cell2_before_crop.mldatx_tracked - Copie.trxyt,40,0,Immobile,0.9989489,0.09423090210435246,2.2153612,6.2549413
20220713_Field7_cell2_before_crop.mldatx_tracked - Copie.trxyt,44,0,Immobile,0.9564279,0.051594721462761804,2.1946617,6.2689327
20220713_Field7_cell2_before_crop.mldatx_tracked - Copie.trxyt,45,0,Immobile,0.9754185,0.1071149638999613,2.1824372,6.2380395
20220713_Field7_cell2_before_crop.mldatx_tracked - Copie.trxyt,58,0,Immobile,0.99999857,0.09647763858138322,1.3586951,3.1052033
20220713_Field7_cell2_before_crop.mldatx_tracked - Copie.trxyt,61,2,Mobile,0.99999547,0.4507368954214419,2.2070447,1.8644204
20220713_Field7_cell2_before_crop.mldatx_tracked - Copie.trxyt,62,2,Mobile,0.99999225,0.6144935036383461,1.6089054,2.6896977
20220713_Field7_cell2_before_crop.mldatx_tracked - Copie.trxyt,67,0,Immobile,0.9907233,0.057102184305856486,0.9913896,4.1117189
20220713_Field7_cell2_before_crop.mldatx_tracked - Copie.trxyt,74,0,Immobile,0.9999317,0.203347362466692,0.91742539,5.9452673
20220713_Field7_cell2_before_crop.mldatx_tracked - Copie.trxyt,75,0,Immobile,0.99999595,0.24823199338080923,1.9269836,3.3748445
20220713_Field7_cell2_before_crop.mldatx_tracked - Copie.trxyt,78,0,Immobile,1.0,0.14382720692052636,1.1875728,6.5554261
20220713_Field7_cell2_before_crop.mldatx_tracked - Copie.trxyt,80,0,Immobile,0.9998271,0.22401186199442666,1.2816249,10.788523
20220713_Field7_cell2_before_crop.mldatx_tracked - Copie.trxyt,83,0,Immobile,0.9995993,0.2430872186807857,1.2185512,10.95298
20220713_Field7_cell2_before_crop.mldatx_tracked - Copie.trxyt,91,2,Mobile,0.9999298,0.17708652356027121,0.88107735,5.877754
20220713_Field7_cell2_before_crop.mldatx_tracked - Copie.trxyt,98,0,Immobile,0.99638164,0.04205740204732084,1.9396778,5.7606813
