filename,h2b_id,predicted_class_id,predicted_class_name,probability,maximum_radius,first_x_position,first_y_position
Field20_befpre_crop.mldatx_tracked - Copie.trxyt,1,0,Immobile,0.99999857,0.18780246488463434,0.98976661,10.097614
Field20_befpre_crop.mldatx_tracked - Copie.trxyt,2,2,Mobile,0.7445904,0.15691869762937766,1.152359,8.8148263
Field20_befpre_crop.mldatx_tracked - Copie.trxyt,4,0,Immobile,0.9999994,0.13723316758349632,1.4613672,12.95135
Field20_befpre_crop.mldatx_tracked - Copie.trxyt,6,2,Mobile,0.9998976,0.1558602999856602,1.3043137,8.8510742
Field20_befpre_crop.mldatx_tracked - Copie.trxyt,7,2,Mobile,0.99569833,0.20263747639958862,0.95785761,9.9803615
Field20_befpre_crop.mldatx_tracked - Copie.trxyt,8,2,Mobile,0.97025406,0.003108192859202839,1.0741346,8.798488
Field20_befpre_crop.mldatx_tracked - Copie.trxyt,10,0,Immobile,1.0,0.14155873806558472,0.92156477,9.9575016
Field20_befpre_crop.mldatx_tracked - Copie.trxyt,11,0,Immobile,0.9710931,0.0515925995348182,2.0442496,11.973301
Field20_befpre_crop.mldatx_tracked - Copie.trxyt,12,0,Immobile,0.945504,0.07726678375925758,1.0980772,8.7583818
Field20_befpre_crop.mldatx_tracked - Copie.trxyt,15,2,Mobile,0.99999964,0.21067486996196008,1.1555206,8.7451369
Field20_befpre_crop.mldatx_tracked - Copie.trxyt,20,0,Immobile,0.99258316,0.08184183228667347,1.2622072,8.8606
Field20_befpre_crop.mldatx_tracked - Copie.trxyt,21,2,Mobile,0.9996892,0.18314780125030192,1.0517504,8.8245962
Field20_befpre_crop.mldatx_tracked - Copie.trxyt,25,0,Immobile,0.99924755,0.0750939025757092,1.2139548,8.7933488
Field20_befpre_crop.mldatx_tracked - Copie.trxyt,26,0,Immobile,0.7903791,0.007917844192076563,1.153882,8.793251
Field20_befpre_crop.mldatx_tracked - Copie.trxyt,29,0,Immobile,0.9646105,0.10523142036226649,1.2343512,8.8006554
Field20_befpre_crop.mldatx_tracked - Copie.trxyt,30,2,Mobile,0.9999969,0.20803019292871902,1.1485706,8.8123577
Field20_befpre_crop.mldatx_tracked - Copie.trxyt,31,2,Mobile,0.99999774,0.26861885170897776,1.1847778,8.7950639
Field20_befpre_crop.mldatx_tracked - Copie.trxyt,33,0,Immobile,0.9999999,0.07196207413367145,1.4812477,5.1195715
Field20_befpre_crop.mldatx_tracked - Copie.trxyt,34,1,Hybrid,0.7741971,0.30394174324393136,1.6492649,11.987765
Field20_befpre_crop.mldatx_tracked - Copie.trxyt,35,0,Immobile,0.99999976,0.10560725752522858,1.6921519,11.860131
Field20_befpre_crop.mldatx_tracked - Copie.trxyt,36,2,Mobile,0.99736756,0.17752900958156229,1.6871599,11.830651
Field20_befpre_crop.mldatx_tracked - Copie.trxyt,37,0,Immobile,0.99999166,0.32543283361738484,1.7073294,11.967091
Field20_befpre_crop.mldatx_tracked - Copie.trxyt,38,1,Hybrid,0.99987304,0.31905602774467345,1.7527514,11.769254
Field20_befpre_crop.mldatx_tracked - Copie.trxyt,40,0,Immobile,0.6150249,0.22595373529687407,1.728695,11.765647
Field20_befpre_crop.mldatx_tracked - Copie.trxyt,45,0,Immobile,0.99694175,0.18146436899722299,1.7964428,11.678697
Field20_befpre_crop.mldatx_tracked - Copie.trxyt,46,1,Hybrid,0.9959623,0.31293115396567545,1.784254,11.890906
Field20_befpre_crop.mldatx_tracked - Copie.trxyt,50,0,Immobile,0.9029206,0.024542815329338812,1.7555794,10.478705
Field20_befpre_crop.mldatx_tracked - Copie.trxyt,51,0,Immobile,0.9999974,0.11966731715318112,1.7932676,10.463025
Field20_befpre_crop.mldatx_tracked - Copie.trxyt,53,0,Immobile,0.9999999,0.08222464275118482,1.6964452,10.532866
Field20_befpre_crop.mldatx_tracked - Copie.trxyt,58,0,Immobile,0.98026824,0.03540365634563686,1.7759361,10.428852
Field20_befpre_crop.mldatx_tracked - Copie.trxyt,60,0,Immobile,0.99999905,0.16154475091196838,1.7795641,10.348501
Field20_befpre_crop.mldatx_tracked - Copie.trxyt,62,0,Immobile,1.0,0.10680307856522689,1.7922981,3.5621034
Field20_befpre_crop.mldatx_tracked - Copie.trxyt,64,2,Mobile,0.99999976,0.27580266725389063,1.6902645,10.965273
Field20_befpre_crop.mldatx_tracked - Copie.trxyt,65,2,Mobile,0.9311355,0.13929467975260207,1.1760484,5.5701631
Field20_befpre_crop.mldatx_tracked - Copie.trxyt,67,2,Mobile,0.99999976,0.3307211626223057,2.0180034,11.789345
Field20_befpre_crop.mldatx_tracked - Copie.trxyt,78,0,Immobile,0.9999999,0.04332511568974749,1.4190961,2.8104147
Field20_befpre_crop.mldatx_tracked - Copie.trxyt,81,0,Immobile,0.9893014,0.04460690195978654,1.085423,1.2081211
Field20_befpre_crop.mldatx_tracked - Copie.trxyt,82,2,Mobile,0.99679834,0.1401006854087444,1.0769439,1.1205864
Field20_befpre_crop.mldatx_tracked - Copie.trxyt,83,2,Mobile,0.99999976,0.2212304672923919,1.146665,1.2685592
Field20_befpre_crop.mldatx_tracked - Copie.trxyt,84,0,Immobile,0.9970114,0.042164018502154316,1.0659441,1.2213105
Field20_befpre_crop.mldatx_tracked - Copie.trxyt,90,0,Immobile,0.9722064,0.05866876619008106,0.95215682,1.2362719
Field20_befpre_crop.mldatx_tracked - Copie.trxyt,91,0,Immobile,0.95386636,0.1035500177694336,1.1331967,1.241335
Field20_befpre_crop.mldatx_tracked - Copie.trxyt,105,2,Mobile,0.99999976,0.1973019796276764,1.6423079,12.373777
Field20_befpre_crop.mldatx_tracked - Copie.trxyt,106,2,Mobile,0.9999987,0.3328295235148165,1.2202846,12.813037
Field20_befpre_crop.mldatx_tracked - Copie.trxyt,108,2,Mobile,0.99999976,0.23084343273961708,1.8789145,11.680826
Field20_befpre_crop.mldatx_tracked - Copie.trxyt,110,2,Mobile,0.9999739,0.17156760941902774,1.5472797,4.2838368
Field20_befpre_crop.mldatx_tracked - Copie.trxyt,112,0,Immobile,0.9998035,0.04927141970270387,2.0576678,1.2771498
Field20_befpre_crop.mldatx_tracked - Copie.trxyt,121,2,Mobile,0.99999845,1.0328415754809106,1.8549683,10.078226
Field20_befpre_crop.mldatx_tracked - Copie.trxyt,122,2,Mobile,1.0,0.23830306485752523,1.3350396,4.3575834
Field20_befpre_crop.mldatx_tracked - Copie.trxyt,126,0,Immobile,0.9994184,0.05412723902066312,2.0683985,1.1941047
Field20_befpre_crop.mldatx_tracked - Copie.trxyt,127,0,Immobile,0.9999963,0.10165897125315583,1.4650764,9.066525
Field20_befpre_crop.mldatx_tracked - Copie.trxyt,128,0,Immobile,1.0,0.10838965290875333,2.0607799,1.2669585
Field20_befpre_crop.mldatx_tracked - Copie.trxyt,129,2,Mobile,0.9999913,0.32202749443685624,1.3473343,9.1111879
Field20_befpre_crop.mldatx_tracked - Copie.trxyt,131,2,Mobile,0.99997413,0.6202815296243547,1.3641175,9.2542139
Field20_befpre_crop.mldatx_tracked - Copie.trxyt,134,0,Immobile,0.94417197,0.08336152085062999,1.8995328,9.3986424
Field20_befpre_crop.mldatx_tracked - Copie.trxyt,137,0,Immobile,0.99999297,0.17883524746248983,1.7129531,4.5435736
Field20_befpre_crop.mldatx_tracked - Copie.trxyt,138,0,Immobile,0.9999994,0.18890522705867635,1.701439,4.5983861
Field20_befpre_crop.mldatx_tracked - Copie.trxyt,140,0,Immobile,1.0,0.18544211668294203,1.7728373,4.7647131
Field20_befpre_crop.mldatx_tracked - Copie.trxyt,141,0,Immobile,1.0,0.09954692499520028,1.2854554,10.271042
Field20_befpre_crop.mldatx_tracked - Copie.trxyt,142,0,Immobile,1.0,0.14204904611312935,1.8338258,7.7646975
Field20_befpre_crop.mldatx_tracked - Copie.trxyt,143,2,Mobile,0.5792423,0.16432911176821352,2.0404471,3.191445
Field20_befpre_crop.mldatx_tracked - Copie.trxyt,144,0,Immobile,0.99999976,0.04065072631385759,0.86272738,9.4224802
Field20_befpre_crop.mldatx_tracked - Copie.trxyt,147,0,Immobile,0.9999999,0.10090576079828088,1.2788689,7.5698287
Field20_befpre_crop.mldatx_tracked - Copie.trxyt,149,2,Mobile,0.9999312,0.13945393119234747,0.99165814,12.461476
Field20_befpre_crop.mldatx_tracked - Copie.trxyt,151,0,Immobile,0.7907272,0.07040268621285359,0.9079586,12.45681
Field20_befpre_crop.mldatx_tracked - Copie.trxyt,154,0,Immobile,0.9590786,0.0845250807748804,1.0746275,12.580849
Field20_befpre_crop.mldatx_tracked - Copie.trxyt,158,2,Mobile,0.9999988,0.6666992465411224,1.9176834,6.9553946
Field20_befpre_crop.mldatx_tracked - Copie.trxyt,163,0,Immobile,0.9961991,0.09484277800496986,1.4517633,2.2616257
Field20_befpre_crop.mldatx_tracked - Copie.trxyt,165,2,Mobile,0.99999976,0.21529586931744893,0.93506091,5.6661063
Field20_befpre_crop.mldatx_tracked - Copie.trxyt,166,0,Immobile,1.0,0.09276534714812838,0.81268725,8.2364217
Field20_befpre_crop.mldatx_tracked - Copie.trxyt,175,2,Mobile,0.999995,0.8109521092520462,1.6424156,5.2598881
Field20_befpre_crop.mldatx_tracked - Copie.trxyt,176,2,Mobile,0.999995,0.673318023126304,0.91511664,6.3184422
Field20_befpre_crop.mldatx_tracked - Copie.trxyt,177,2,Mobile,0.99999917,1.2711468968238133,1.9735247,6.7005231
Field20_befpre_crop.mldatx_tracked - Copie.trxyt,178,0,Immobile,0.99899536,0.024890509424276005,1.2330465,7.4943958
Field20_befpre_crop.mldatx_tracked - Copie.trxyt,179,2,Mobile,0.99999785,0.42195576620215763,1.7171468,3.5350163
Field20_befpre_crop.mldatx_tracked - Copie.trxyt,180,2,Mobile,0.9999993,0.19727691189505675,1.2473586,3.2174351
Field20_befpre_crop.mldatx_tracked - Copie.trxyt,181,2,Mobile,0.9999999,0.27236820710136156,2.0218309,10.883994
Field20_befpre_crop.mldatx_tracked - Copie.trxyt,185,0,Immobile,0.819216,0.0063633593871477755,1.4392333,13.009428
Field20_befpre_crop.mldatx_tracked - Copie.trxyt,190,0,Immobile,0.99555176,0.03696879113644365,1.4608957,12.978234
Field20_befpre_crop.mldatx_tracked - Copie.trxyt,191,0,Immobile,0.89773,0.092210194155797,1.4970072,12.905373
Field20_befpre_crop.mldatx_tracked - Copie.trxyt,192,0,Immobile,0.84373176,0.014774286083936865,1.3949093,12.987112
Field20_befpre_crop.mldatx_tracked - Copie.trxyt,194,2,Mobile,0.99936444,0.14527843975222174,1.3797862,13.029179
Field20_befpre_crop.mldatx_tracked - Copie.trxyt,195,0,Immobile,0.99999905,0.10925301499825929,1.4221073,13.076008
Field20_befpre_crop.mldatx_tracked - Copie.trxyt,196,0,Immobile,0.98899055,0.07957952498199564,1.4282714,12.916485
Field20_befpre_crop.mldatx_tracked - Copie.trxyt,197,2,Mobile,0.99999976,0.2566779307434902,1.268471,12.975597
Field20_befpre_crop.mldatx_tracked - Copie.trxyt,198,0,Immobile,0.9551754,0.16150588298823687,1.4293443,13.054853
Field20_befpre_crop.mldatx_tracked - Copie.trxyt,201,0,Immobile,0.9691872,0.05057605713141312,1.4938905,13.044112
Field20_befpre_crop.mldatx_tracked - Copie.trxyt,202,0,Immobile,0.9943298,0.07720232451351441,1.4372426,12.998499
Field20_befpre_crop.mldatx_tracked - Copie.trxyt,203,2,Mobile,0.89374655,0.13749625750964883,1.4325544,13.099319
Field20_befpre_crop.mldatx_tracked - Copie.trxyt,206,0,Immobile,0.7615281,0.10865974430965761,1.4219967,12.921925
Field20_befpre_crop.mldatx_tracked - Copie.trxyt,208,0,Immobile,0.9997116,0.11623170713574683,1.5709313,13.031456
Field20_befpre_crop.mldatx_tracked - Copie.trxyt,211,2,Mobile,0.99893767,0.14907126948154695,1.4476243,13.004369
Field20_befpre_crop.mldatx_tracked - Copie.trxyt,214,0,Immobile,0.99996996,0.08730828660837422,1.5471084,13.077826
Field20_befpre_crop.mldatx_tracked - Copie.trxyt,215,0,Immobile,0.9966954,0.11278653813558698,1.4897787,13.082966
Field20_befpre_crop.mldatx_tracked - Copie.trxyt,219,0,Immobile,0.7903791,0.011741439843988418,1.5762188,13.130664
Field20_befpre_crop.mldatx_tracked - Copie.trxyt,221,0,Immobile,0.9864016,0.08491969562474853,1.4908176,13.073326
Field20_befpre_crop.mldatx_tracked - Copie.trxyt,223,0,Immobile,0.94854516,0.06931955269049217,1.4675879,12.969251
Field20_befpre_crop.mldatx_tracked - Copie.trxyt,227,2,Mobile,0.98881835,0.11860775224309725,1.6108717,13.078644
Field20_befpre_crop.mldatx_tracked - Copie.trxyt,236,0,Immobile,1.0,0.08506608385984392,1.4614053,12.991163
Field20_befpre_crop.mldatx_tracked - Copie.trxyt,239,2,Mobile,0.98352605,0.14193808102535446,1.5788049,12.979295
Field20_befpre_crop.mldatx_tracked - Copie.trxyt,241,2,Mobile,0.9999999,0.19616021426517577,1.4818931,13.071454
Field20_befpre_crop.mldatx_tracked - Copie.trxyt,243,0,Immobile,0.96391666,0.05114619419077027,1.5211034,4.1036627
Field20_befpre_crop.mldatx_tracked - Copie.trxyt,250,0,Immobile,0.99941814,0.048121867352483916,1.5463164,4.0229848
Field20_befpre_crop.mldatx_tracked - Copie.trxyt,256,0,Immobile,0.9598121,0.0728504716981296,1.526008,12.903288
Field20_befpre_crop.mldatx_tracked - Copie.trxyt,257,0,Immobile,0.9998264,0.06327480294113963,1.5637672,12.996121
Field20_befpre_crop.mldatx_tracked - Copie.trxyt,258,2,Mobile,0.9999964,0.1727426827351307,1.5318215,4.0190887
Field20_befpre_crop.mldatx_tracked - Copie.trxyt,262,0,Immobile,0.9999999,0.13130072932760117,1.5174302,4.051819
Field20_befpre_crop.mldatx_tracked - Copie.trxyt,264,0,Immobile,0.9996307,0.05105061272355112,1.5656864,4.0260363
Field20_befpre_crop.mldatx_tracked - Copie.trxyt,266,2,Mobile,0.9992318,0.15736295017967333,1.5527365,12.980061
Field20_befpre_crop.mldatx_tracked - Copie.trxyt,267,0,Immobile,0.9995178,0.06558219063107,1.5832019,4.0604093
Field20_befpre_crop.mldatx_tracked - Copie.trxyt,268,2,Mobile,0.8803098,0.14011147872476384,1.464222,12.982721
Field20_befpre_crop.mldatx_tracked - Copie.trxyt,273,0,Immobile,0.9863972,0.10176484994009459,1.62967,4.0887044
Field20_befpre_crop.mldatx_tracked - Copie.trxyt,274,0,Immobile,0.9999994,0.0915630364776095,1.5218319,13.117589
Field20_befpre_crop.mldatx_tracked - Copie.trxyt,278,2,Mobile,0.9943269,0.8458419685552476,1.5847421,4.1092043
Field20_befpre_crop.mldatx_tracked - Copie.trxyt,280,0,Immobile,0.98592526,0.030774018437799106,1.5439742,13.059625
Field20_befpre_crop.mldatx_tracked - Copie.trxyt,282,0,Immobile,0.9455512,0.0800110144360771,1.4533422,12.994432
Field20_befpre_crop.mldatx_tracked - Copie.trxyt,285,0,Immobile,0.9994629,0.04164823885460097,1.9494605,11.561504
Field20_befpre_crop.mldatx_tracked - Copie.trxyt,289,0,Immobile,0.9779573,0.05710866170170688,1.4260502,12.956274
Field20_befpre_crop.mldatx_tracked - Copie.trxyt,290,0,Immobile,0.99757975,0.039445649084531895,1.4685885,4.0596352
Field20_befpre_crop.mldatx_tracked - Copie.trxyt,291,2,Mobile,0.9995178,0.17674666224673113,1.5629861,13.074169
Field20_befpre_crop.mldatx_tracked - Copie.trxyt,293,0,Immobile,0.99999976,0.18694227645904538,1.5657917,13.05948
