filename,h2b_id,predicted_class_id,predicted_class_name,probability,maximum_radius,first_x_position,first_y_position
Field2_cell1_crop.mldatx_tracked - Copie.trxyt,2,0,Immobile,0.7907272,0.06314842850594114,1.681354,4.5378198
Field2_cell1_crop.mldatx_tracked - Copie.trxyt,3,0,Immobile,0.9800434,0.0543551852107969,1.5019212,4.5581586
Field2_cell1_crop.mldatx_tracked - Copie.trxyt,4,0,Immobile,0.97056705,0.11650372905469614,1.6486208,4.6662292
Field2_cell1_crop.mldatx_tracked - Copie.trxyt,5,0,Immobile,0.99545234,0.03313675113646476,1.6623392,4.5584938
Field2_cell1_crop.mldatx_tracked - Copie.trxyt,6,0,Immobile,0.9626838,0.06352780066089186,1.6586053,4.5564421
Field2_cell1_crop.mldatx_tracked - Copie.trxyt,10,2,Mobile,0.9979861,0.20861182817635207,1.7853987,4.6301412
Field2_cell1_crop.mldatx_tracked - Copie.trxyt,12,2,Mobile,0.9998795,0.15855020664146074,1.6072499,4.456775
Field2_cell1_crop.mldatx_tracked - Copie.trxyt,15,2,Mobile,0.99793255,0.1232361650538104,1.7900359,4.5481616
Field2_cell1_crop.mldatx_tracked - Copie.trxyt,16,0,Immobile,0.9967637,0.08802334905432732,1.8701073,4.6090551
Field2_cell1_crop.mldatx_tracked - Copie.trxyt,17,0,Immobile,0.9999738,0.15935694119585767,1.6798494,4.5311586
Field2_cell1_crop.mldatx_tracked - Copie.trxyt,19,0,Immobile,0.93337613,0.11329811759707227,1.8831254,4.6423356
Field2_cell1_crop.mldatx_tracked - Copie.trxyt,21,2,Mobile,0.99994826,0.4858246671022379,1.8249305,4.599483
Field2_cell1_crop.mldatx_tracked - Copie.trxyt,22,0,Immobile,0.9999937,0.17488457513834607,1.6197626,4.5130787
Field2_cell1_crop.mldatx_tracked - Copie.trxyt,24,0,Immobile,0.99787307,0.18775605247501345,1.75855,4.5823071
Field2_cell1_crop.mldatx_tracked - Copie.trxyt,26,2,Mobile,0.9999981,0.2064520263555918,1.8923244,4.6302488
Field2_cell1_crop.mldatx_tracked - Copie.trxyt,27,0,Immobile,0.7132999,0.16319650481508463,1.8276849,4.5994321
Field2_cell1_crop.mldatx_tracked - Copie.trxyt,32,2,Mobile,0.99963844,0.15729933070423424,1.2157661,9.1867222
Field2_cell1_crop.mldatx_tracked - Copie.trxyt,33,0,Immobile,0.99245775,0.0611925799466732,1.8051443,4.681902
Field2_cell1_crop.mldatx_tracked - Copie.trxyt,34,0,Immobile,0.97803336,0.1251795799489674,1.2914568,8.918173
Field2_cell1_crop.mldatx_tracked - Copie.trxyt,36,0,Immobile,0.99960715,0.056551071423509555,0.8523313,3.0890574
Field2_cell1_crop.mldatx_tracked - Copie.trxyt,40,0,Immobile,0.9943298,0.08316793019326861,0.82219336,3.104236
Field2_cell1_crop.mldatx_tracked - Copie.trxyt,41,0,Immobile,0.99999976,0.033796713213098004,0.84666201,3.1098381
Field2_cell1_crop.mldatx_tracked - Copie.trxyt,42,2,Mobile,0.99999726,0.3270599538397357,1.7378352,4.7399
Field2_cell1_crop.mldatx_tracked - Copie.trxyt,43,0,Immobile,0.9626838,0.05910076722217762,1.7748178,4.6818505
Field2_cell1_crop.mldatx_tracked - Copie.trxyt,44,0,Immobile,0.97982717,0.0263139876830271,0.8945246,3.1174686
Field2_cell1_crop.mldatx_tracked - Copie.trxyt,48,2,Mobile,0.9999999,0.15825778420545383,1.8125071,1.4459212
Field2_cell1_crop.mldatx_tracked - Copie.trxyt,50,2,Mobile,0.99999917,0.3692634651505865,0.98613048,1.2972806
Field2_cell1_crop.mldatx_tracked - Copie.trxyt,51,0,Immobile,0.99640274,0.1484758644494115,1.2431664,1.3336497
Field2_cell1_crop.mldatx_tracked - Copie.trxyt,53,2,Mobile,0.99999464,0.24815418813545248,0.89826556,1.4244155
Field2_cell1_crop.mldatx_tracked - Copie.trxyt,58,2,Mobile,0.99818367,0.12854526593702276,1.4233205,5.1133424
Field2_cell1_crop.mldatx_tracked - Copie.trxyt,67,2,Mobile,0.9999999,0.18941393321189431,1.4117179,5.0877508
Field2_cell1_crop.mldatx_tracked - Copie.trxyt,69,2,Mobile,0.832667,0.12208124819356936,1.1135898,6.7839229
Field2_cell1_crop.mldatx_tracked - Copie.trxyt,70,0,Immobile,0.9599878,0.08040629895505735,1.3886596,5.0399554
Field2_cell1_crop.mldatx_tracked - Copie.trxyt,73,2,Mobile,0.99989474,0.21721596100549334,1.3896409,4.8866401
Field2_cell1_crop.mldatx_tracked - Copie.trxyt,74,0,Immobile,0.98030925,0.07754690457916423,1.4217389,5.1047502
Field2_cell1_crop.mldatx_tracked - Copie.trxyt,76,0,Immobile,0.99555176,0.039721780781833145,1.8501103,3.380502
Field2_cell1_crop.mldatx_tracked - Copie.trxyt,81,0,Immobile,0.98592526,0.025518562441681353,1.8748093,3.3017816
Field2_cell1_crop.mldatx_tracked - Copie.trxyt,83,0,Immobile,0.96173507,0.14760508193463381,1.9649572,3.3966933
Field2_cell1_crop.mldatx_tracked - Copie.trxyt,86,2,Mobile,0.9976738,0.13744051220953782,1.1342961,6.8375634
Field2_cell1_crop.mldatx_tracked - Copie.trxyt,92,2,Mobile,0.82308507,0.13087940803445736,1.9783098,3.3637896
Field2_cell1_crop.mldatx_tracked - Copie.trxyt,93,0,Immobile,0.9976896,0.0710303774609147,1.9327577,3.3175524
Field2_cell1_crop.mldatx_tracked - Copie.trxyt,94,0,Immobile,0.91474724,0.09151777529081417,1.9113577,3.3109017
Field2_cell1_crop.mldatx_tracked - Copie.trxyt,109,2,Mobile,0.9995247,0.15779853676663155,1.9449798,3.3533046
Field2_cell1_crop.mldatx_tracked - Copie.trxyt,113,2,Mobile,0.9999136,0.14539725663711806,1.8093417,3.4851407
Field2_cell1_crop.mldatx_tracked - Copie.trxyt,117,2,Mobile,0.99999976,0.2195114015055254,1.855839,7.774219
Field2_cell1_crop.mldatx_tracked - Copie.trxyt,126,2,Mobile,0.99574006,0.13508706894670763,0.97565942,3.6521495
Field2_cell1_crop.mldatx_tracked - Copie.trxyt,129,0,Immobile,0.9324604,0.06466296560922664,1.6113795,4.9938404
