filename,h2b_id,predicted_class_id,predicted_class_name,probability,maximum_radius,first_x_position,first_y_position
Field5-before_crop.mldatx_tracked - Copie.trxyt,1,0,Immobile,0.99999976,0.05543219430204834,1.2116061,8.7198245
Field5-before_crop.mldatx_tracked - Copie.trxyt,2,0,Immobile,0.9899026,0.10696305991233604,1.0028869,12.534224
Field5-before_crop.mldatx_tracked - Copie.trxyt,4,0,Immobile,0.9376523,0.07735618595199688,1.1499338,12.460589
Field5-before_crop.mldatx_tracked - Copie.trxyt,6,0,Immobile,0.84373176,0.01884979427049536,1.1197007,12.508118
Field5-before_crop.mldatx_tracked - Copie.trxyt,9,0,Immobile,0.8542719,0.013274961740434016,1.0823769,12.59487
Field5-before_crop.mldatx_tracked - Copie.trxyt,10,0,Immobile,0.99095714,0.06543501876611993,0.99645212,12.50008
Field5-before_crop.mldatx_tracked - Copie.trxyt,16,0,Immobile,0.9942052,0.04076905497126415,1.5710748,5.3614531
Field5-before_crop.mldatx_tracked - Copie.trxyt,17,0,Immobile,0.9999969,0.11445306201342968,1.510512,5.3143899
Field5-before_crop.mldatx_tracked - Copie.trxyt,18,1,Hybrid,0.8529925,0.2997342502388408,1.562703,5.237031
Field5-before_crop.mldatx_tracked - Copie.trxyt,19,2,Mobile,0.88261306,0.12991151469846704,1.6652304,9.7343697
Field5-before_crop.mldatx_tracked - Copie.trxyt,23,0,Immobile,0.98592526,0.03561875422442587,1.3271537,8.5664557
Field5-before_crop.mldatx_tracked - Copie.trxyt,25,0,Immobile,0.9999999,0.21285516853546194,1.1236924,3.5415721
Field5-before_crop.mldatx_tracked - Copie.trxyt,26,0,Immobile,1.0,0.08841285899958226,1.3532267,1.094789
Field5-before_crop.mldatx_tracked - Copie.trxyt,27,0,Immobile,0.99999833,0.06980277143294537,1.1357393,3.4631538
Field5-before_crop.mldatx_tracked - Copie.trxyt,30,2,Mobile,0.99998593,0.3419440202950771,1.3172475,12.86126
Field5-before_crop.mldatx_tracked - Copie.trxyt,31,2,Mobile,0.99999976,0.2753917866305391,1.1641181,13.141718
Field5-before_crop.mldatx_tracked - Copie.trxyt,34,0,Immobile,0.99999297,0.13947379274472912,1.5893496,8.4792424
Field5-before_crop.mldatx_tracked - Copie.trxyt,35,0,Immobile,0.9999995,0.06944133900766919,0.99389924,4.0646566
Field5-before_crop.mldatx_tracked - Copie.trxyt,36,0,Immobile,0.99999964,0.04133085103873493,0.80142325,1.9651321
Field5-before_crop.mldatx_tracked - Copie.trxyt,37,0,Immobile,0.9848199,0.05106117520406291,1.3942865,2.2209072
Field5-before_crop.mldatx_tracked - Copie.trxyt,38,2,Mobile,0.8473102,0.1266054627265349,1.200235,2.3668165
Field5-before_crop.mldatx_tracked - Copie.trxyt,39,0,Immobile,1.0,0.07294658994099759,1.8253779,9.0436092
Field5-before_crop.mldatx_tracked - Copie.trxyt,53,0,Immobile,1.0,0.1309184544333713,0.95239348,11.557612
Field5-before_crop.mldatx_tracked - Copie.trxyt,54,0,Immobile,0.9999999,0.08015170237150342,2.0546324,6.431575
Field5-before_crop.mldatx_tracked - Copie.trxyt,56,2,Mobile,0.99993277,0.7212031697863923,1.0666139,1.8461868
Field5-before_crop.mldatx_tracked - Copie.trxyt,58,2,Mobile,0.99999857,0.41353607555447963,0.87370126,1.138462
Field5-before_crop.mldatx_tracked - Copie.trxyt,59,0,Immobile,0.95739555,0.07124802097139232,1.3887341,2.7383223
Field5-before_crop.mldatx_tracked - Copie.trxyt,60,0,Immobile,0.9999901,0.11107318118654916,1.3706281,2.8552836
Field5-before_crop.mldatx_tracked - Copie.trxyt,63,2,Mobile,0.9999919,0.909006389523084,1.385463,0.81672883
Field5-before_crop.mldatx_tracked - Copie.trxyt,65,0,Immobile,0.8311573,0.10068095830379253,1.3836412,2.7615431
Field5-before_crop.mldatx_tracked - Copie.trxyt,71,0,Immobile,0.99648595,0.0332833738437075,1.34906,2.8911967
Field5-before_crop.mldatx_tracked - Copie.trxyt,74,0,Immobile,0.94828844,0.09027200560904786,1.3201499,2.7030286
Field5-before_crop.mldatx_tracked - Copie.trxyt,75,0,Immobile,0.9926963,0.09011157479946733,1.3234046,2.8334237
Field5-before_crop.mldatx_tracked - Copie.trxyt,76,2,Mobile,0.999997,1.0908882104158346,0.85520281,4.6965219
Field5-before_crop.mldatx_tracked - Copie.trxyt,77,2,Mobile,0.99999964,0.23683987935805934,1.5374435,3.777134
Field5-before_crop.mldatx_tracked - Copie.trxyt,78,0,Immobile,0.994822,0.08482628745648334,1.4100067,2.8757653
Field5-before_crop.mldatx_tracked - Copie.trxyt,79,2,Mobile,0.9999924,0.4376815223752769,1.6160001,3.4135872
Field5-before_crop.mldatx_tracked - Copie.trxyt,84,2,Mobile,0.9991461,0.13816582501921387,1.5233719,2.6239502
Field5-before_crop.mldatx_tracked - Copie.trxyt,93,2,Mobile,0.999992,0.5439285196720981,1.9817724,2.5721817
Field5-before_crop.mldatx_tracked - Copie.trxyt,94,0,Immobile,0.9724769,0.06260059014498176,1.4716975,2.7268027
Field5-before_crop.mldatx_tracked - Copie.trxyt,97,2,Mobile,0.99999964,0.24449016479866803,1.7681296,7.3050403
Field5-before_crop.mldatx_tracked - Copie.trxyt,103,0,Immobile,0.99735224,0.040282028703752935,2.0544549,10.255438
Field5-before_crop.mldatx_tracked - Copie.trxyt,106,0,Immobile,0.99999976,0.08693045896945463,2.0715998,10.268469
Field5-before_crop.mldatx_tracked - Copie.trxyt,108,2,Mobile,0.99999714,0.2007439083552978,2.0608924,10.098137
Field5-before_crop.mldatx_tracked - Copie.trxyt,109,0,Immobile,0.9998548,0.10206935757361281,1.9929884,10.330054
Field5-before_crop.mldatx_tracked - Copie.trxyt,110,2,Mobile,0.9999999,0.21073805400268916,2.0434235,10.148385
Field5-before_crop.mldatx_tracked - Copie.trxyt,112,0,Immobile,0.85558134,0.016764224855626186,2.0665716,10.293383
Field5-before_crop.mldatx_tracked - Copie.trxyt,113,0,Immobile,0.9700042,0.0587809221298888,2.071795,10.316964
Field5-before_crop.mldatx_tracked - Copie.trxyt,115,0,Immobile,0.9450381,0.059537132415409894,2.0737288,10.241346
Field5-before_crop.mldatx_tracked - Copie.trxyt,116,0,Immobile,1.0,0.07097595881074358,0.9086704,5.3647197
Field5-before_crop.mldatx_tracked - Copie.trxyt,121,2,Mobile,0.99998987,0.16220398247157777,2.0782765,10.207121
Field5-before_crop.mldatx_tracked - Copie.trxyt,124,0,Immobile,0.9784322,0.10856000482111325,2.0376312,10.358879
Field5-before_crop.mldatx_tracked - Copie.trxyt,128,0,Immobile,0.9989987,0.046047970620321614,1.9798851,10.350337
Field5-before_crop.mldatx_tracked - Copie.trxyt,137,0,Immobile,0.99140376,0.021994885340913976,2.0618086,10.299442
Field5-before_crop.mldatx_tracked - Copie.trxyt,138,0,Immobile,0.97174454,0.07725173080494614,2.0799855,10.261518
Field5-before_crop.mldatx_tracked - Copie.trxyt,140,0,Immobile,1.0,0.1295355184879418,1.2720074,6.4090286
Field5-before_crop.mldatx_tracked - Copie.trxyt,142,0,Immobile,0.99635637,0.09119342066075861,2.0574221,10.337844
Field5-before_crop.mldatx_tracked - Copie.trxyt,145,2,Mobile,0.9999994,0.16235013876375382,2.0382256,10.315362
Field5-before_crop.mldatx_tracked - Copie.trxyt,146,0,Immobile,0.9999988,0.0827011848739791,2.0520629,10.288356
Field5-before_crop.mldatx_tracked - Copie.trxyt,147,0,Immobile,0.99999917,0.12280018082502925,2.0009661,7.0393396
Field5-before_crop.mldatx_tracked - Copie.trxyt,152,0,Immobile,0.9598121,0.06889435507565106,2.0778564,10.227546
Field5-before_crop.mldatx_tracked - Copie.trxyt,153,0,Immobile,0.9724046,0.06345915420457487,2.0331631,10.212968
Field5-before_crop.mldatx_tracked - Copie.trxyt,154,2,Mobile,0.9887445,0.14131303829456088,2.0699252,10.184071
Field5-before_crop.mldatx_tracked - Copie.trxyt,156,0,Immobile,0.9575725,0.05157943237997063,2.0308481,10.334724
Field5-before_crop.mldatx_tracked - Copie.trxyt,162,0,Immobile,0.9977737,0.03843056679467546,2.0756692,10.307311
Field5-before_crop.mldatx_tracked - Copie.trxyt,165,0,Immobile,0.9044744,0.07714689901117248,2.0673649,10.365021
Field5-before_crop.mldatx_tracked - Copie.trxyt,166,0,Immobile,0.9999604,0.041069879367365295,2.0383964,10.412878
Field5-before_crop.mldatx_tracked - Copie.trxyt,167,0,Immobile,0.7903791,0.011281249163545594,2.0521228,10.403231
Field5-before_crop.mldatx_tracked - Copie.trxyt,169,0,Immobile,1.0,0.16810016179067183,1.7616647,2.7150432
Field5-before_crop.mldatx_tracked - Copie.trxyt,170,0,Immobile,0.9999336,0.07726486448729458,2.0742727,10.28583
Field5-before_crop.mldatx_tracked - Copie.trxyt,172,0,Immobile,0.9998035,0.04749989326567092,2.0744387,10.31201
Field5-before_crop.mldatx_tracked - Copie.trxyt,174,0,Immobile,0.9996369,0.24665905368076396,1.0208405,2.6949792
Field5-before_crop.mldatx_tracked - Copie.trxyt,175,1,Hybrid,0.99994373,0.2486190310473435,1.1394679,2.7476486
Field5-before_crop.mldatx_tracked - Copie.trxyt,178,2,Mobile,0.9999938,0.6673859160420698,1.4640243,5.9588452
Field5-before_crop.mldatx_tracked - Copie.trxyt,198,0,Immobile,0.9999981,0.07601276636045824,1.0645636,9.8249064
Field5-before_crop.mldatx_tracked - Copie.trxyt,202,0,Immobile,0.99735224,0.03577799234282952,0.82653111,7.1756616
Field5-before_crop.mldatx_tracked - Copie.trxyt,203,0,Immobile,1.0,0.13709851252385685,0.80228221,7.1689964
Field5-before_crop.mldatx_tracked - Copie.trxyt,205,0,Immobile,0.9979214,0.038807462466604326,0.8026144,3.5775932
Field5-before_crop.mldatx_tracked - Copie.trxyt,206,0,Immobile,0.9980919,0.039808576856276916,0.80894691,3.590462
Field5-before_crop.mldatx_tracked - Copie.trxyt,207,0,Immobile,0.99297297,0.06668782050187957,0.80310498,3.5727637
Field5-before_crop.mldatx_tracked - Copie.trxyt,210,0,Immobile,1.0,0.10337740362429325,1.4179378,8.7383804
Field5-before_crop.mldatx_tracked - Copie.trxyt,214,0,Immobile,0.9996954,0.2905582067175183,1.6845635,6.1894921
Field5-before_crop.mldatx_tracked - Copie.trxyt,222,0,Immobile,0.9879808,0.07146689975897925,1.9044677,3.966521
Field5-before_crop.mldatx_tracked - Copie.trxyt,223,0,Immobile,1.0,0.07208438268265865,1.4031321,4.0915258
Field5-before_crop.mldatx_tracked - Copie.trxyt,224,0,Immobile,1.0,0.07255290008621278,1.8668979,1.4944418
Field5-before_crop.mldatx_tracked - Copie.trxyt,227,2,Mobile,0.99908006,0.13990625971002876,1.7697015,1.7403225
Field5-before_crop.mldatx_tracked - Copie.trxyt,228,0,Immobile,0.9999809,0.040219131391913486,1.7272818,1.5824741
Field5-before_crop.mldatx_tracked - Copie.trxyt,229,0,Immobile,0.99759644,0.11473344223778,1.6912675,1.6178655
Field5-before_crop.mldatx_tracked - Copie.trxyt,230,2,Mobile,0.99773264,0.1435341819537425,1.7509798,1.5933012
Field5-before_crop.mldatx_tracked - Copie.trxyt,231,0,Immobile,0.9999999,0.15665050332871572,1.6251545,1.6544464
Field5-before_crop.mldatx_tracked - Copie.trxyt,232,2,Mobile,0.76383764,0.16072025094417944,1.6035453,1.5760343
Field5-before_crop.mldatx_tracked - Copie.trxyt,233,0,Immobile,0.99970883,0.19398013490252033,1.734694,1.5705892
Field5-before_crop.mldatx_tracked - Copie.trxyt,235,2,Mobile,0.99724424,0.172870114767128,1.6752852,1.5050782
Field5-before_crop.mldatx_tracked - Copie.trxyt,236,0,Immobile,0.9842651,0.06806084303973906,1.7558016,1.5454476
Field5-before_crop.mldatx_tracked - Copie.trxyt,237,2,Mobile,0.9999993,0.36634638372690403,1.8528814,1.835045
Field5-before_crop.mldatx_tracked - Copie.trxyt,238,2,Mobile,0.98856914,0.13466095443371834,1.6870071,1.5847142
