filename,h2b_id,predicted_class_id,predicted_class_name,probability,maximum_radius,first_x_position,first_y_position
field1_cell2_no_irtif.mldatx_tracked - Copie.trxyt,2,0,Immobile,0.9989778,0.08781701542212635,1.0545557,2.8614146
field1_cell2_no_irtif.mldatx_tracked - Copie.trxyt,5,0,Immobile,0.9599878,0.07876453601732478,0.95660172,2.9197746
field1_cell2_no_irtif.mldatx_tracked - Copie.trxyt,11,0,Immobile,1.0,0.1456624716563945,1.4448925,3.4694872
field1_cell2_no_irtif.mldatx_tracked - Copie.trxyt,17,0,Immobile,0.98323786,0.033046618345938195,0.82371953,3.6868298
field1_cell2_no_irtif.mldatx_tracked - Copie.trxyt,25,2,Mobile,0.9999999,0.2139593783595384,1.2498701,7.5473284
field1_cell2_no_irtif.mldatx_tracked - Copie.trxyt,30,0,Immobile,0.9786699,0.054331512121880185,1.2338413,7.5115052
field1_cell2_no_irtif.mldatx_tracked - Copie.trxyt,36,1,Hybrid,1.0,0.7439555770139571,1.4326267,7.398584
field1_cell2_no_irtif.mldatx_tracked - Copie.trxyt,37,0,Immobile,0.9989532,0.052290704938927894,1.3732143,6.713128
field1_cell2_no_irtif.mldatx_tracked - Copie.trxyt,38,0,Immobile,0.9673768,0.13882469188127147,1.3715505,6.7659353
field1_cell2_no_irtif.mldatx_tracked - Copie.trxyt,40,0,Immobile,0.9994629,0.04578685881167255,1.3443647,6.6870642
field1_cell2_no_irtif.mldatx_tracked - Copie.trxyt,44,0,Immobile,0.9998728,0.1560568415288803,1.2437753,6.6114514
field1_cell2_no_irtif.mldatx_tracked - Copie.trxyt,45,2,Mobile,0.9997179,0.7506722038300674,1.246061,7.503881
field1_cell2_no_irtif.mldatx_tracked - Copie.trxyt,46,0,Immobile,0.9739865,0.17291626264296267,1.3478659,6.7645348
field1_cell2_no_irtif.mldatx_tracked - Copie.trxyt,49,1,Hybrid,1.0,0.7402308480870146,1.3672613,6.7714152
field1_cell2_no_irtif.mldatx_tracked - Copie.trxyt,51,0,Immobile,0.9808709,0.0791785551030079,1.1529992,7.5269693
field1_cell2_no_irtif.mldatx_tracked - Copie.trxyt,53,1,Hybrid,0.79689026,0.8808126658901432,1.2289471,6.6689434
field1_cell2_no_irtif.mldatx_tracked - Copie.trxyt,54,0,Immobile,0.9998598,0.036628299687809555,1.3364766,6.7441342
field1_cell2_no_irtif.mldatx_tracked - Copie.trxyt,60,2,Mobile,0.9985569,0.14651822865367253,1.2498735,7.4162688
field1_cell2_no_irtif.mldatx_tracked - Copie.trxyt,64,0,Immobile,0.99923027,0.053625763671019004,1.1778851,7.5283427
field1_cell2_no_irtif.mldatx_tracked - Copie.trxyt,67,0,Immobile,0.97858495,0.11041074096463607,1.2621388,7.4123602
field1_cell2_no_irtif.mldatx_tracked - Copie.trxyt,68,0,Immobile,0.94650745,0.11903347157791379,1.3310947,7.4275293
field1_cell2_no_irtif.mldatx_tracked - Copie.trxyt,70,0,Immobile,0.9531069,0.14914282315301,1.2216979,7.448087
field1_cell2_no_irtif.mldatx_tracked - Copie.trxyt,71,0,Immobile,0.9999981,0.22874360166144547,1.3665201,7.4523065
field1_cell2_no_irtif.mldatx_tracked - Copie.trxyt,75,0,Immobile,0.77585673,0.2341149575690753,1.2673007,7.4525067
field1_cell2_no_irtif.mldatx_tracked - Copie.trxyt,77,0,Immobile,0.99142003,0.20272132450262842,1.2780877,7.4593403
field1_cell2_no_irtif.mldatx_tracked - Copie.trxyt,81,0,Immobile,0.9935068,0.08735768137473586,1.2548921,7.4318451
field1_cell2_no_irtif.mldatx_tracked - Copie.trxyt,88,2,Mobile,0.9999993,0.19255838519599672,1.3451311,7.5414105
field1_cell2_no_irtif.mldatx_tracked - Copie.trxyt,89,0,Immobile,0.99998724,0.11919582823811406,2.2607694,3.6719907
field1_cell2_no_irtif.mldatx_tracked - Copie.trxyt,96,0,Immobile,0.9999995,0.22615413099099002,2.3163224,3.6779429
field1_cell2_no_irtif.mldatx_tracked - Copie.trxyt,98,0,Immobile,0.86734235,0.17300361360171207,1.5577664,11.169365
field1_cell2_no_irtif.mldatx_tracked - Copie.trxyt,104,0,Immobile,0.9758699,0.11605664860239603,1.3087474,7.5002271
field1_cell2_no_irtif.mldatx_tracked - Copie.trxyt,108,0,Immobile,1.0,0.10849554491238597,0.89252175,4.4127897
field1_cell2_no_irtif.mldatx_tracked - Copie.trxyt,118,2,Mobile,0.99102753,0.12658871082716056,0.83302131,3.4650839
field1_cell2_no_irtif.mldatx_tracked - Copie.trxyt,119,0,Immobile,0.9958444,0.038308414082157,0.81331801,3.4786448
field1_cell2_no_irtif.mldatx_tracked - Copie.trxyt,121,0,Immobile,0.98735136,0.17235039076971218,0.86683491,3.4863345
field1_cell2_no_irtif.mldatx_tracked - Copie.trxyt,122,2,Mobile,0.99999845,0.2724032947276887,1.7621076,6.2852408
field1_cell2_no_irtif.mldatx_tracked - Copie.trxyt,127,0,Immobile,0.932242,0.1281825058694865,1.0660292,3.3852013
field1_cell2_no_irtif.mldatx_tracked - Copie.trxyt,131,0,Immobile,0.9999715,0.18855445397258594,0.9241086,3.5215491
field1_cell2_no_irtif.mldatx_tracked - Copie.trxyt,136,2,Mobile,0.99985206,0.17593294701779305,0.96652564,3.5515817
field1_cell2_no_irtif.mldatx_tracked - Copie.trxyt,137,0,Immobile,0.99999774,0.21507825540181516,0.86101408,3.4686009
field1_cell2_no_irtif.mldatx_tracked - Copie.trxyt,141,2,Mobile,0.99999917,0.33008662147503,1.7010274,6.2201542
field1_cell2_no_irtif.mldatx_tracked - Copie.trxyt,142,2,Mobile,0.71996874,0.13311747972009108,0.833023,3.3954262
field1_cell2_no_irtif.mldatx_tracked - Copie.trxyt,144,0,Immobile,1.0,0.09592798927528925,2.2726028,1.8859428
field1_cell2_no_irtif.mldatx_tracked - Copie.trxyt,149,0,Immobile,0.84463984,0.11534844674747441,0.81676034,3.3830506
field1_cell2_no_irtif.mldatx_tracked - Copie.trxyt,152,2,Mobile,0.99998283,0.18902679806379363,1.2491298,7.2986039
field1_cell2_no_irtif.mldatx_tracked - Copie.trxyt,154,0,Immobile,0.9725562,0.08219889956992661,1.0601123,3.3598603
field1_cell2_no_irtif.mldatx_tracked - Copie.trxyt,157,0,Immobile,0.9999182,0.20358480571236773,0.83090985,3.4017721
field1_cell2_no_irtif.mldatx_tracked - Copie.trxyt,165,2,Mobile,1.0,0.226613061769289,1.060173,3.4997626
field1_cell2_no_irtif.mldatx_tracked - Copie.trxyt,166,0,Immobile,0.9999944,0.16000574909258752,0.95687355,3.4334095
field1_cell2_no_irtif.mldatx_tracked - Copie.trxyt,170,2,Mobile,0.7974006,0.13138334773597615,0.97004165,3.5434153
