filename,h2b_id,predicted_class_id,predicted_class_name,probability,maximum_radius,first_x_position,first_y_position
field3_before_crop.rpt_tracked - Copie.trxyt,10,2,Mobile,0.99999964,0.43107355980817247,1.6506673,6.0867718
field3_before_crop.rpt_tracked - Copie.trxyt,11,2,Mobile,0.9999994,0.168101094679511,1.1956249,6.3485385
field3_before_crop.rpt_tracked - Copie.trxyt,15,0,Immobile,0.98870915,0.10182676561388726,0.91024154,7.8333372
field3_before_crop.rpt_tracked - Copie.trxyt,23,2,Mobile,0.991462,0.1514337897490567,0.81337121,7.7438232
field3_before_crop.rpt_tracked - Copie.trxyt,24,0,Immobile,0.9933541,0.07491175515031014,0.94822768,7.7703093
field3_before_crop.rpt_tracked - Copie.trxyt,29,2,Mobile,0.99860865,0.1576866001954824,1.1683999,7.6940488
field3_before_crop.rpt_tracked - Copie.trxyt,30,2,Mobile,0.99999976,0.20235679801877177,2.0728556,2.0882038
field3_before_crop.rpt_tracked - Copie.trxyt,35,2,Mobile,0.98052704,0.137120484106415,0.90186371,7.7951105
field3_before_crop.rpt_tracked - Copie.trxyt,42,2,Mobile,0.5630177,0.009304361571327597,2.0295482,2.1813373
field3_before_crop.rpt_tracked - Copie.trxyt,43,0,Immobile,0.99995613,0.10943886438267708,1.9336064,2.1121543
field3_before_crop.rpt_tracked - Copie.trxyt,46,0,Immobile,0.97538775,0.035325310450723145,2.0333333,2.111813
field3_before_crop.rpt_tracked - Copie.trxyt,49,2,Mobile,0.99999166,0.3451382114164845,1.9851374,2.1225563
field3_before_crop.rpt_tracked - Copie.trxyt,51,0,Immobile,0.9999356,0.12411451626320737,1.8275149,2.1185765
field3_before_crop.rpt_tracked - Copie.trxyt,53,2,Mobile,0.9999999,0.3625314107313874,1.0383717,3.2523149
field3_before_crop.rpt_tracked - Copie.trxyt,56,2,Mobile,0.9999999,0.3011098186978464,1.5005936,2.0738666
field3_before_crop.rpt_tracked - Copie.trxyt,61,0,Immobile,0.9999937,0.15515646556254112,1.6910013,2.1424498
field3_before_crop.rpt_tracked - Copie.trxyt,67,0,Immobile,0.9999988,0.10427827064772406,2.028245,1.1985663
field3_before_crop.rpt_tracked - Copie.trxyt,72,0,Immobile,0.9913885,0.10281533285580528,1.6017525,3.8767507
field3_before_crop.rpt_tracked - Copie.trxyt,73,0,Immobile,0.9449728,0.11998210292739485,1.6073003,3.8568972
