filename,h2b_id,predicted_class_id,predicted_class_name,probability,maximum_radius,first_x_position,first_y_position
field6_no_ir_crop.mldatx_tracked - Copie.trxyt,2,0,Immobile,1.0,0.08089822471185648,1.9286702,5.5398622
field6_no_ir_crop.mldatx_tracked - Copie.trxyt,4,2,Mobile,0.99999857,0.2244772764837012,1.475395,2.8954426
field6_no_ir_crop.mldatx_tracked - Copie.trxyt,5,0,Immobile,0.9976382,0.2201758309171101,1.80712,5.4413058
field6_no_ir_crop.mldatx_tracked - Copie.trxyt,6,2,Mobile,0.9999939,0.2538718656552749,2.0496477,5.5099487
field6_no_ir_crop.mldatx_tracked - Copie.trxyt,7,0,Immobile,0.99999034,0.12575687648299805,1.9483858,5.4791922
field6_no_ir_crop.mldatx_tracked - Copie.trxyt,8,0,Immobile,0.9999999,0.07224749816291219,1.8965475,5.4636902
field6_no_ir_crop.mldatx_tracked - Copie.trxyt,10,2,Mobile,0.9934504,0.14671237789341424,1.9450042,5.5974297
field6_no_ir_crop.mldatx_tracked - Copie.trxyt,11,2,Mobile,0.9412504,0.1572413802363741,1.9585253,5.5129845
field6_no_ir_crop.mldatx_tracked - Copie.trxyt,13,0,Immobile,0.9999902,0.14479537090010866,1.9403102,5.5007639
field6_no_ir_crop.mldatx_tracked - Copie.trxyt,15,0,Immobile,0.9999993,0.1288568914237805,2.0391122,5.5125001
field6_no_ir_crop.mldatx_tracked - Copie.trxyt,18,0,Immobile,0.9879775,0.11338128342200067,1.9986203,5.4866425
field6_no_ir_crop.mldatx_tracked - Copie.trxyt,21,2,Mobile,0.9999958,0.19109553329172818,1.9737732,5.4965079
field6_no_ir_crop.mldatx_tracked - Copie.trxyt,22,0,Immobile,0.9999994,0.13697133483944726,1.9022428,5.4715959
field6_no_ir_crop.mldatx_tracked - Copie.trxyt,24,2,Mobile,0.8243602,0.11733818369729425,1.955824,5.474327
field6_no_ir_crop.mldatx_tracked - Copie.trxyt,25,2,Mobile,0.99644816,0.140174301836321,1.9989507,5.5105889
field6_no_ir_crop.mldatx_tracked - Copie.trxyt,26,0,Immobile,0.9984876,0.07292605434068095,1.8708342,5.454765
field6_no_ir_crop.mldatx_tracked - Copie.trxyt,28,2,Mobile,0.99999917,0.2910170206853375,1.7082754,5.4006874
field6_no_ir_crop.mldatx_tracked - Copie.trxyt,29,0,Immobile,1.0,0.09621489875590977,1.8979621,5.4855219
field6_no_ir_crop.mldatx_tracked - Copie.trxyt,30,0,Immobile,0.9657903,0.02995524430963643,1.9061996,5.5201334
field6_no_ir_crop.mldatx_tracked - Copie.trxyt,32,2,Mobile,0.6874857,0.16879866986232447,1.7259956,5.5527143
field6_no_ir_crop.mldatx_tracked - Copie.trxyt,33,0,Immobile,0.99975795,0.14203388497288225,1.9284151,5.4737953
field6_no_ir_crop.mldatx_tracked - Copie.trxyt,34,0,Immobile,0.92411005,0.05020677474494843,1.74488,5.4602483
field6_no_ir_crop.mldatx_tracked - Copie.trxyt,35,2,Mobile,0.99999976,0.3112020594289503,1.745852,5.3816319
field6_no_ir_crop.mldatx_tracked - Copie.trxyt,36,0,Immobile,0.7432971,0.16448906764830876,1.9497601,5.4708281
field6_no_ir_crop.mldatx_tracked - Copie.trxyt,38,0,Immobile,0.97562647,0.08888115612665043,1.9901409,5.5091671
field6_no_ir_crop.mldatx_tracked - Copie.trxyt,39,0,Immobile,0.97907126,0.08764498602897987,1.9286233,5.4353266
field6_no_ir_crop.mldatx_tracked - Copie.trxyt,40,0,Immobile,0.966655,0.07027902736983514,1.9732375,5.4587935
field6_no_ir_crop.mldatx_tracked - Copie.trxyt,41,0,Immobile,0.999476,0.061606310245785625,1.9946106,5.4919349
field6_no_ir_crop.mldatx_tracked - Copie.trxyt,42,2,Mobile,0.999882,0.13047628500355923,1.9232825,5.4625026
field6_no_ir_crop.mldatx_tracked - Copie.trxyt,43,2,Mobile,0.9999341,0.1659148593310738,1.8288001,5.5053228
field6_no_ir_crop.mldatx_tracked - Copie.trxyt,45,0,Immobile,0.9999771,0.16637358367508326,1.9467117,5.5717007
field6_no_ir_crop.mldatx_tracked - Copie.trxyt,47,2,Mobile,0.99999857,0.230229104348538,2.055395,5.4666772
field6_no_ir_crop.mldatx_tracked - Copie.trxyt,48,0,Immobile,0.9837924,0.08343606354718566,1.8168763,5.4238984
field6_no_ir_crop.mldatx_tracked - Copie.trxyt,51,0,Immobile,0.9416905,0.058230477732627836,1.973362,5.4287996
field6_no_ir_crop.mldatx_tracked - Copie.trxyt,52,0,Immobile,0.99999905,0.17913900008663658,1.9734106,5.4859554
field6_no_ir_crop.mldatx_tracked - Copie.trxyt,53,0,Immobile,0.9999939,0.1397305224838513,1.9651326,5.5396389
field6_no_ir_crop.mldatx_tracked - Copie.trxyt,54,0,Immobile,0.98294353,0.1784901759591547,2.0359384,5.4890732
field6_no_ir_crop.mldatx_tracked - Copie.trxyt,55,0,Immobile,0.99953926,0.13447320695038106,1.9450784,5.4987004
field6_no_ir_crop.mldatx_tracked - Copie.trxyt,56,0,Immobile,0.9999689,0.036150211296754525,1.9307591,5.4407626
field6_no_ir_crop.mldatx_tracked - Copie.trxyt,61,2,Mobile,0.99383587,0.13705836181981013,1.1074655,2.6599666
field6_no_ir_crop.mldatx_tracked - Copie.trxyt,67,2,Mobile,0.92391634,0.1310307774383561,1.4570138,2.6232682
field6_no_ir_crop.mldatx_tracked - Copie.trxyt,68,0,Immobile,0.996775,0.1460653305074479,1.8161319,1.5791386
field6_no_ir_crop.mldatx_tracked - Copie.trxyt,69,2,Mobile,0.80319464,0.14551450325909082,1.8256246,1.6737949
field6_no_ir_crop.mldatx_tracked - Copie.trxyt,70,0,Immobile,0.9995639,0.165126377666592,1.7443344,1.6902852
field6_no_ir_crop.mldatx_tracked - Copie.trxyt,83,0,Immobile,0.96844894,0.11524077657830152,1.2788847,4.5912129
field6_no_ir_crop.mldatx_tracked - Copie.trxyt,88,2,Mobile,0.9999995,0.3212283732391334,1.0898641,4.7553158
field6_no_ir_crop.mldatx_tracked - Copie.trxyt,89,0,Immobile,0.9704339,0.09553307188549945,0.93565446,1.6154206
field6_no_ir_crop.mldatx_tracked - Copie.trxyt,91,2,Mobile,0.892233,0.12714483505785779,1.3075589,4.6529754
field6_no_ir_crop.mldatx_tracked - Copie.trxyt,92,0,Immobile,1.0,0.1558483317208426,1.2803691,4.4628221
field6_no_ir_crop.mldatx_tracked - Copie.trxyt,93,0,Immobile,0.9998555,0.11553993611874472,0.96122205,1.7214795
field6_no_ir_crop.mldatx_tracked - Copie.trxyt,96,0,Immobile,0.9303124,0.09370473702316003,0.86952484,1.6665011
field6_no_ir_crop.mldatx_tracked - Copie.trxyt,97,2,Mobile,0.9999988,0.23773547723281105,0.84337658,4.9069247
field6_no_ir_crop.mldatx_tracked - Copie.trxyt,99,0,Immobile,0.9938589,0.03969329855797435,0.90687177,4.9117308
field6_no_ir_crop.mldatx_tracked - Copie.trxyt,102,2,Mobile,0.99893767,0.15711800726482908,0.80461382,1.6046687
field6_no_ir_crop.mldatx_tracked - Copie.trxyt,103,0,Immobile,0.8311201,0.12149021336255401,0.81287678,1.6367361
field6_no_ir_crop.mldatx_tracked - Copie.trxyt,104,0,Immobile,0.9805966,0.05864810460431007,0.8824677,1.6354567
field6_no_ir_crop.mldatx_tracked - Copie.trxyt,105,0,Immobile,0.9993875,0.05335517949843665,0.82427527,1.6561403
field6_no_ir_crop.mldatx_tracked - Copie.trxyt,106,0,Immobile,1.0,0.09900353090965984,1.4489088,9.099072
field6_no_ir_crop.mldatx_tracked - Copie.trxyt,107,0,Immobile,0.9998287,0.18188941452135135,1.3296653,2.8001304
field6_no_ir_crop.mldatx_tracked - Copie.trxyt,112,0,Immobile,0.99547064,0.039780203799684166,0.96710606,7.4032254
field6_no_ir_crop.mldatx_tracked - Copie.trxyt,114,0,Immobile,0.9991474,0.08080449814465797,1.3499706,2.8168784
field6_no_ir_crop.mldatx_tracked - Copie.trxyt,115,0,Immobile,0.8542719,0.009522916763786199,1.3207619,2.8004782
field6_no_ir_crop.mldatx_tracked - Copie.trxyt,117,2,Mobile,0.9998286,0.16313454334094893,1.279832,2.7642003
field6_no_ir_crop.mldatx_tracked - Copie.trxyt,118,0,Immobile,0.99999654,0.222045983876133,1.3824347,2.8368143
