filename,h2b_id,predicted_class_id,predicted_class_name,probability,maximum_radius,first_x_position,first_y_position
field7-before_crop.mldatx_tracked - Copie.trxyt,5,2,Mobile,0.9580879,0.13296862616006117,0.83422079,3.6990345
field7-before_crop.mldatx_tracked - Copie.trxyt,6,2,Mobile,0.5630177,0.004108249416832014,0.83311077,3.731291
field7-before_crop.mldatx_tracked - Copie.trxyt,11,2,Mobile,0.9999962,0.39374827604850526,1.5937478,5.3270151
field7-before_crop.mldatx_tracked - Copie.trxyt,15,2,Mobile,0.9973002,0.14867058142793413,1.250583,4.5500275
field7-before_crop.mldatx_tracked - Copie.trxyt,16,2,Mobile,0.9999944,0.23621320620600353,1.7365375,1.9844231
field7-before_crop.mldatx_tracked - Copie.trxyt,18,0,Immobile,0.98486185,0.0949966288172903,1.39819,4.6378752
field7-before_crop.mldatx_tracked - Copie.trxyt,19,2,Mobile,0.9902063,0.14012461234144424,1.3510425,4.4228166
field7-before_crop.mldatx_tracked - Copie.trxyt,20,0,Immobile,0.9999999,0.15845494146150815,1.7664322,2.1186439
field7-before_crop.mldatx_tracked - Copie.trxyt,21,2,Mobile,0.98960984,0.15531308147487108,1.3565159,4.6072463
field7-before_crop.mldatx_tracked - Copie.trxyt,22,0,Immobile,1.0,0.12907957458870054,1.7532137,2.1090674
field7-before_crop.mldatx_tracked - Copie.trxyt,23,2,Mobile,0.9459389,0.15104494707768307,1.4511019,4.6125301
field7-before_crop.mldatx_tracked - Copie.trxyt,24,0,Immobile,0.99988127,0.07594173039706172,1.3763942,4.6348619
field7-before_crop.mldatx_tracked - Copie.trxyt,25,2,Mobile,1.0,0.2743684266211403,1.4112043,4.4081399
field7-before_crop.mldatx_tracked - Copie.trxyt,26,0,Immobile,0.9999329,0.06790451817736479,1.5188573,4.5774587
field7-before_crop.mldatx_tracked - Copie.trxyt,27,0,Immobile,0.9892663,0.0637414852547383,1.4964981,4.591738
field7-before_crop.mldatx_tracked - Copie.trxyt,28,0,Immobile,0.99963427,0.12759076711369077,1.4142252,4.6927572
field7-before_crop.mldatx_tracked - Copie.trxyt,31,0,Immobile,0.9599878,0.07881208757957121,1.3959246,4.6459681
field7-before_crop.mldatx_tracked - Copie.trxyt,34,0,Immobile,0.99999976,0.07249114024099781,1.4631366,4.5016619
field7-before_crop.mldatx_tracked - Copie.trxyt,35,0,Immobile,0.96704423,0.021147615619733925,1.457493,8.3593353
field7-before_crop.mldatx_tracked - Copie.trxyt,36,2,Mobile,0.9999932,0.18059288775192703,1.416821,4.6010225
field7-before_crop.mldatx_tracked - Copie.trxyt,37,2,Mobile,0.8709867,0.16610926776600898,1.4513094,8.2755813
field7-before_crop.mldatx_tracked - Copie.trxyt,40,2,Mobile,0.99991226,0.16261153345076723,1.4816974,4.5154248
field7-before_crop.mldatx_tracked - Copie.trxyt,43,0,Immobile,0.99767834,0.09159261191220705,1.4628412,8.4026743
field7-before_crop.mldatx_tracked - Copie.trxyt,44,0,Immobile,0.98253065,0.11077258373081299,1.472528,4.7523523
field7-before_crop.mldatx_tracked - Copie.trxyt,45,2,Mobile,0.9995322,0.16496018182679725,1.3417494,4.5069463
field7-before_crop.mldatx_tracked - Copie.trxyt,46,2,Mobile,0.99903107,0.14675426763000898,1.4426163,8.4150781
field7-before_crop.mldatx_tracked - Copie.trxyt,47,2,Mobile,0.9999995,0.296914267100286,1.398409,4.5575061
field7-before_crop.mldatx_tracked - Copie.trxyt,48,2,Mobile,0.99923503,0.15390959302135765,1.3609888,4.6906835
field7-before_crop.mldatx_tracked - Copie.trxyt,49,0,Immobile,0.99910825,0.030598391525372748,1.4002916,4.6559544
field7-before_crop.mldatx_tracked - Copie.trxyt,51,0,Immobile,0.84373176,0.015250901776616116,1.3113738,4.6230279
field7-before_crop.mldatx_tracked - Copie.trxyt,54,2,Mobile,0.9969951,0.15835106149091652,1.2666198,4.6640302
field7-before_crop.mldatx_tracked - Copie.trxyt,55,2,Mobile,0.9962469,0.12840011934297413,1.4656632,4.6476314
field7-before_crop.mldatx_tracked - Copie.trxyt,56,0,Immobile,0.98392254,0.05241899446126391,1.5474984,2.9274912
field7-before_crop.mldatx_tracked - Copie.trxyt,57,0,Immobile,0.99999976,0.1372576628240844,1.1791316,6.460233
field7-before_crop.mldatx_tracked - Copie.trxyt,60,0,Immobile,0.97903925,0.09832904242618236,1.6749472,3.2248645
field7-before_crop.mldatx_tracked - Copie.trxyt,62,2,Mobile,0.9999938,0.6532739038361857,1.7174323,3.2371513
field7-before_crop.mldatx_tracked - Copie.trxyt,64,1,Hybrid,0.9999943,0.3185223751650532,0.97839647,5.0441779
field7-before_crop.mldatx_tracked - Copie.trxyt,65,0,Immobile,0.9786735,0.03801476315130743,1.7560503,3.2359734
field7-before_crop.mldatx_tracked - Copie.trxyt,66,0,Immobile,1.0,0.0840290409421054,2.0145252,3.8347615
field7-before_crop.mldatx_tracked - Copie.trxyt,67,0,Immobile,0.99998605,0.24534776469959937,1.5919053,3.2535583
field7-before_crop.mldatx_tracked - Copie.trxyt,69,1,Hybrid,0.9884459,0.27292699893858885,0.99023822,5.0731716
field7-before_crop.mldatx_tracked - Copie.trxyt,70,0,Immobile,0.9999956,0.12488537176905426,0.98078433,5.0754508
field7-before_crop.mldatx_tracked - Copie.trxyt,71,0,Immobile,0.9970114,0.045133925870679825,1.5065128,1.5156164
field7-before_crop.mldatx_tracked - Copie.trxyt,75,0,Immobile,0.9943298,0.07642757844211477,0.90810084,5.0763686
