filename,h2b_id,predicted_class_id,predicted_class_name,probability,maximum_radius,first_x_position,first_y_position
field8_cell1_before_crop.rpt_tracked - Copie.trxyt,6,0,Immobile,0.9935401,0.06882254053970982,1.1733209,8.2615515
field8_cell1_before_crop.rpt_tracked - Copie.trxyt,9,0,Immobile,0.99989116,0.08056448817345005,2.0527124,5.7908147
field8_cell1_before_crop.rpt_tracked - Copie.trxyt,11,0,Immobile,0.9999993,0.05150463863575782,1.3346219,1.6831794
field8_cell1_before_crop.rpt_tracked - Copie.trxyt,12,2,Mobile,0.99933594,0.14201608667770696,1.3650271,1.6811393
field8_cell1_before_crop.rpt_tracked - Copie.trxyt,13,0,Immobile,0.9787541,0.07618215344980742,1.7220087,2.3133276
field8_cell1_before_crop.rpt_tracked - Copie.trxyt,16,0,Immobile,0.9943298,0.08331892423675417,1.231921,1.6773792
field8_cell1_before_crop.rpt_tracked - Copie.trxyt,17,0,Immobile,0.99996436,0.15234924474850547,1.4775995,4.944229
field8_cell1_before_crop.rpt_tracked - Copie.trxyt,19,2,Mobile,1.0,0.2276087993323857,1.7065516,8.4074893
field8_cell1_before_crop.rpt_tracked - Copie.trxyt,23,0,Immobile,0.99999297,0.07700655346534857,0.91094536,13.393066
field8_cell1_before_crop.rpt_tracked - Copie.trxyt,24,0,Immobile,0.85985273,0.019089525595205485,2.079897,5.1890678
field8_cell1_before_crop.rpt_tracked - Copie.trxyt,26,0,Immobile,1.0,0.08754723984947164,0.87117256,13.374176
field8_cell1_before_crop.rpt_tracked - Copie.trxyt,28,0,Immobile,0.8203395,0.10918385877555353,2.0591365,5.2498845
field8_cell1_before_crop.rpt_tracked - Copie.trxyt,33,0,Immobile,1.0,0.10426500450983402,0.88427263,13.328491
field8_cell1_before_crop.rpt_tracked - Copie.trxyt,34,2,Mobile,0.99999714,0.16512448825731482,1.4706372,0.84536831
field8_cell1_before_crop.rpt_tracked - Copie.trxyt,35,1,Hybrid,0.9952396,0.18914833970006226,1.4767494,14.215037
field8_cell1_before_crop.rpt_tracked - Copie.trxyt,38,0,Immobile,0.99997854,0.15672920524088696,1.2901887,12.654451
field8_cell1_before_crop.rpt_tracked - Copie.trxyt,40,0,Immobile,0.99945015,0.24427846552917817,1.4869693,14.212086
field8_cell1_before_crop.rpt_tracked - Copie.trxyt,41,0,Immobile,0.9801588,0.07479224794107966,1.80931,8.5036609
field8_cell1_before_crop.rpt_tracked - Copie.trxyt,42,0,Immobile,1.0,0.06148482636138697,1.4748406,14.210085
field8_cell1_before_crop.rpt_tracked - Copie.trxyt,44,2,Mobile,0.99998605,0.7047312746841673,1.3266303,9.6040279
field8_cell1_before_crop.rpt_tracked - Copie.trxyt,45,2,Mobile,0.9999988,0.22932631769781703,0.9891462,4.2011712
field8_cell1_before_crop.rpt_tracked - Copie.trxyt,47,2,Mobile,0.9393452,0.26922715859847796,1.8113069,12.352356
field8_cell1_before_crop.rpt_tracked - Copie.trxyt,48,0,Immobile,0.99962854,0.04643882032308752,1.6402635,12.348651
field8_cell1_before_crop.rpt_tracked - Copie.trxyt,49,0,Immobile,0.9999119,0.09631981072261342,1.6968609,12.407838
field8_cell1_before_crop.rpt_tracked - Copie.trxyt,50,2,Mobile,0.95485604,0.14767657867532707,1.6479436,12.401732
field8_cell1_before_crop.rpt_tracked - Copie.trxyt,51,0,Immobile,0.9999299,0.06358089659048569,1.5781572,12.405702
field8_cell1_before_crop.rpt_tracked - Copie.trxyt,53,0,Immobile,0.9933541,0.0796438350799987,1.3030765,11.576866
