filename,h2b_id,predicted_class_id,predicted_class_name,probability,maximum_radius,first_x_position,first_y_position
field9_before_crop.mldatx_tracked - Copie.trxyt,3,0,Immobile,0.9953727,0.08793196147294792,1.199212,3.4017469
field9_before_crop.mldatx_tracked - Copie.trxyt,5,0,Immobile,0.99851865,0.1293883263662144,1.2272065,3.3897635
field9_before_crop.mldatx_tracked - Copie.trxyt,6,2,Mobile,0.8349466,0.09628844197020742,1.162516,3.468377
field9_before_crop.mldatx_tracked - Copie.trxyt,7,2,Mobile,0.99652547,0.15735257375184566,1.2189023,3.4612227
field9_before_crop.mldatx_tracked - Copie.trxyt,8,2,Mobile,0.99999976,0.31507475577464156,1.1655275,3.5028381
field9_before_crop.mldatx_tracked - Copie.trxyt,9,2,Mobile,0.99999976,0.24744255233508214,1.2112531,3.6608761
field9_before_crop.mldatx_tracked - Copie.trxyt,10,0,Immobile,0.99999654,0.07532111019315894,1.2606559,3.5282936
field9_before_crop.mldatx_tracked - Copie.trxyt,12,2,Mobile,0.9999999,0.19965381039952673,1.1938952,3.5743102
field9_before_crop.mldatx_tracked - Copie.trxyt,13,2,Mobile,0.7221087,0.13050452379967506,1.2184257,3.6175091
field9_before_crop.mldatx_tracked - Copie.trxyt,16,0,Immobile,1.0,0.09396333752741037,1.1403532,3.5559681
field9_before_crop.mldatx_tracked - Copie.trxyt,18,0,Immobile,0.999084,0.05400828167975723,1.1832669,3.4751206
field9_before_crop.mldatx_tracked - Copie.trxyt,20,1,Hybrid,0.90332586,0.30438164945016066,1.1937584,3.5224702
field9_before_crop.mldatx_tracked - Copie.trxyt,27,2,Mobile,0.9918236,0.2336877162028207,1.7502558,4.8532537
field9_before_crop.mldatx_tracked - Copie.trxyt,29,2,Mobile,0.99999344,0.17393937878462395,0.98761333,5.9029467
field9_before_crop.mldatx_tracked - Copie.trxyt,30,0,Immobile,0.99999964,0.12831242419882807,1.323946,2.5271395
field9_before_crop.mldatx_tracked - Copie.trxyt,39,0,Immobile,0.6283506,0.24952236584011872,1.0943949,3.577362
field9_before_crop.mldatx_tracked - Copie.trxyt,40,0,Immobile,0.9989065,0.13676366260586206,1.217611,3.4976793
field9_before_crop.mldatx_tracked - Copie.trxyt,41,2,Mobile,0.9952608,0.17303355593415962,1.1681438,3.3523779
field9_before_crop.mldatx_tracked - Copie.trxyt,47,2,Mobile,0.9969951,0.1595164753069337,1.9182861,0.90499936
field9_before_crop.mldatx_tracked - Copie.trxyt,49,2,Mobile,0.9999988,0.19346959585214948,1.9493084,0.95540139
field9_before_crop.mldatx_tracked - Copie.trxyt,52,2,Mobile,0.95648557,0.12215086955082437,2.0426764,0.93612295
field9_before_crop.mldatx_tracked - Copie.trxyt,56,0,Immobile,0.9044744,0.07361408834908169,2.0243889,0.82773963
field9_before_crop.mldatx_tracked - Copie.trxyt,58,2,Mobile,0.99999404,0.26663876766886313,1.7776378,2.5523632
field9_before_crop.mldatx_tracked - Copie.trxyt,60,0,Immobile,0.9999976,0.08610900383699786,1.298452,8.3326858
field9_before_crop.mldatx_tracked - Copie.trxyt,63,2,Mobile,0.9999783,0.6299988110314575,1.5447151,4.4076834
field9_before_crop.mldatx_tracked - Copie.trxyt,65,2,Mobile,0.980992,0.1331954921400121,1.9695828,4.0457583
